Column_or_Row_Name,Unit,Definition,Data_Type
Wave_568,%,Reflectance at associated wavelength,numeric
Wave_569,%,Reflectance at associated wavelength,numeric
Wave_570,%,Reflectance at associated wavelength,numeric
Wave_571,%,Reflectance at associated wavelength,numeric
Wave_572,%,Reflectance at associated wavelength,numeric
Wave_573,%,Reflectance at associated wavelength,numeric
Wave_574,%,Reflectance at associated wavelength,numeric
Wave_575,%,Reflectance at associated wavelength,numeric
Wave_576,%,Reflectance at associated wavelength,numeric
Wave_577,%,Reflectance at associated wavelength,numeric
Wave_578,%,Reflectance at associated wavelength,numeric
Wave_579,%,Reflectance at associated wavelength,numeric
Wave_580,%,Reflectance at associated wavelength,numeric
Wave_581,%,Reflectance at associated wavelength,numeric
Wave_582,%,Reflectance at associated wavelength,numeric
Wave_583,%,Reflectance at associated wavelength,numeric
Wave_584,%,Reflectance at associated wavelength,numeric
Wave_585,%,Reflectance at associated wavelength,numeric
Wave_586,%,Reflectance at associated wavelength,numeric
Wave_587,%,Reflectance at associated wavelength,numeric
Wave_588,%,Reflectance at associated wavelength,numeric
Wave_589,%,Reflectance at associated wavelength,numeric
Wave_590,%,Reflectance at associated wavelength,numeric
Wave_591,%,Reflectance at associated wavelength,numeric
Wave_592,%,Reflectance at associated wavelength,numeric
Wave_593,%,Reflectance at associated wavelength,numeric
Wave_594,%,Reflectance at associated wavelength,numeric
Wave_595,%,Reflectance at associated wavelength,numeric
Wave_596,%,Reflectance at associated wavelength,numeric
Wave_597,%,Reflectance at associated wavelength,numeric
Wave_598,%,Reflectance at associated wavelength,numeric
Wave_599,%,Reflectance at associated wavelength,numeric
Wave_600,%,Reflectance at associated wavelength,numeric
Wave_601,%,Reflectance at associated wavelength,numeric
Wave_602,%,Reflectance at associated wavelength,numeric
Wave_603,%,Reflectance at associated wavelength,numeric
Wave_604,%,Reflectance at associated wavelength,numeric
Wave_605,%,Reflectance at associated wavelength,numeric
Wave_606,%,Reflectance at associated wavelength,numeric
Wave_607,%,Reflectance at associated wavelength,numeric
Wave_608,%,Reflectance at associated wavelength,numeric
Wave_609,%,Reflectance at associated wavelength,numeric
Wave_610,%,Reflectance at associated wavelength,numeric
Wave_611,%,Reflectance at associated wavelength,numeric
Wave_612,%,Reflectance at associated wavelength,numeric
Wave_613,%,Reflectance at associated wavelength,numeric
Wave_614,%,Reflectance at associated wavelength,numeric
Wave_615,%,Reflectance at associated wavelength,numeric
Wave_616,%,Reflectance at associated wavelength,numeric
Wave_617,%,Reflectance at associated wavelength,numeric
Wave_618,%,Reflectance at associated wavelength,numeric
Wave_619,%,Reflectance at associated wavelength,numeric
Wave_620,%,Reflectance at associated wavelength,numeric
Wave_621,%,Reflectance at associated wavelength,numeric
Wave_622,%,Reflectance at associated wavelength,numeric
Wave_623,%,Reflectance at associated wavelength,numeric
Wave_624,%,Reflectance at associated wavelength,numeric
Wave_625,%,Reflectance at associated wavelength,numeric
Wave_626,%,Reflectance at associated wavelength,numeric
Wave_627,%,Reflectance at associated wavelength,numeric
Wave_628,%,Reflectance at associated wavelength,numeric
Wave_629,%,Reflectance at associated wavelength,numeric
Wave_630,%,Reflectance at associated wavelength,numeric
Wave_631,%,Reflectance at associated wavelength,numeric
Wave_632,%,Reflectance at associated wavelength,numeric
Wave_633,%,Reflectance at associated wavelength,numeric
Wave_634,%,Reflectance at associated wavelength,numeric
Wave_635,%,Reflectance at associated wavelength,numeric
Wave_636,%,Reflectance at associated wavelength,numeric
Wave_637,%,Reflectance at associated wavelength,numeric
Wave_638,%,Reflectance at associated wavelength,numeric
Wave_639,%,Reflectance at associated wavelength,numeric
Wave_640,%,Reflectance at associated wavelength,numeric
Wave_641,%,Reflectance at associated wavelength,numeric
Wave_642,%,Reflectance at associated wavelength,numeric
Wave_643,%,Reflectance at associated wavelength,numeric
Wave_644,%,Reflectance at associated wavelength,numeric
Wave_645,%,Reflectance at associated wavelength,numeric
Wave_646,%,Reflectance at associated wavelength,numeric
Wave_647,%,Reflectance at associated wavelength,numeric
Wave_648,%,Reflectance at associated wavelength,numeric
Wave_649,%,Reflectance at associated wavelength,numeric
Wave_650,%,Reflectance at associated wavelength,numeric
Wave_651,%,Reflectance at associated wavelength,numeric
Wave_652,%,Reflectance at associated wavelength,numeric
Wave_653,%,Reflectance at associated wavelength,numeric
Wave_654,%,Reflectance at associated wavelength,numeric
Wave_655,%,Reflectance at associated wavelength,numeric
Wave_656,%,Reflectance at associated wavelength,numeric
Wave_657,%,Reflectance at associated wavelength,numeric
Wave_658,%,Reflectance at associated wavelength,numeric
Wave_659,%,Reflectance at associated wavelength,numeric
Wave_660,%,Reflectance at associated wavelength,numeric
Wave_661,%,Reflectance at associated wavelength,numeric
Wave_662,%,Reflectance at associated wavelength,numeric
Wave_663,%,Reflectance at associated wavelength,numeric
Wave_664,%,Reflectance at associated wavelength,numeric
Wave_665,%,Reflectance at associated wavelength,numeric
Wave_666,%,Reflectance at associated wavelength,numeric
Wave_667,%,Reflectance at associated wavelength,numeric
Wave_668,%,Reflectance at associated wavelength,numeric
Wave_669,%,Reflectance at associated wavelength,numeric
Wave_670,%,Reflectance at associated wavelength,numeric
Wave_671,%,Reflectance at associated wavelength,numeric
Wave_672,%,Reflectance at associated wavelength,numeric
Wave_673,%,Reflectance at associated wavelength,numeric
Wave_674,%,Reflectance at associated wavelength,numeric
Wave_675,%,Reflectance at associated wavelength,numeric
Wave_676,%,Reflectance at associated wavelength,numeric
Wave_677,%,Reflectance at associated wavelength,numeric
Wave_678,%,Reflectance at associated wavelength,numeric
Wave_679,%,Reflectance at associated wavelength,numeric
Wave_680,%,Reflectance at associated wavelength,numeric
Wave_681,%,Reflectance at associated wavelength,numeric
Wave_682,%,Reflectance at associated wavelength,numeric
Wave_683,%,Reflectance at associated wavelength,numeric
Wave_684,%,Reflectance at associated wavelength,numeric
Wave_685,%,Reflectance at associated wavelength,numeric
Wave_686,%,Reflectance at associated wavelength,numeric
Wave_687,%,Reflectance at associated wavelength,numeric
Wave_688,%,Reflectance at associated wavelength,numeric
Wave_689,%,Reflectance at associated wavelength,numeric
Wave_690,%,Reflectance at associated wavelength,numeric
Wave_691,%,Reflectance at associated wavelength,numeric
Wave_692,%,Reflectance at associated wavelength,numeric
Wave_693,%,Reflectance at associated wavelength,numeric
Wave_694,%,Reflectance at associated wavelength,numeric
Wave_695,%,Reflectance at associated wavelength,numeric
Wave_696,%,Reflectance at associated wavelength,numeric
Wave_697,%,Reflectance at associated wavelength,numeric
Wave_698,%,Reflectance at associated wavelength,numeric
Wave_699,%,Reflectance at associated wavelength,numeric
Wave_700,%,Reflectance at associated wavelength,numeric
Wave_701,%,Reflectance at associated wavelength,numeric
Wave_702,%,Reflectance at associated wavelength,numeric
Wave_703,%,Reflectance at associated wavelength,numeric
Wave_704,%,Reflectance at associated wavelength,numeric
Wave_705,%,Reflectance at associated wavelength,numeric
Wave_706,%,Reflectance at associated wavelength,numeric
Wave_707,%,Reflectance at associated wavelength,numeric
Wave_708,%,Reflectance at associated wavelength,numeric
Wave_709,%,Reflectance at associated wavelength,numeric
Wave_710,%,Reflectance at associated wavelength,numeric
Wave_711,%,Reflectance at associated wavelength,numeric
Wave_712,%,Reflectance at associated wavelength,numeric
Wave_713,%,Reflectance at associated wavelength,numeric
Wave_714,%,Reflectance at associated wavelength,numeric
Wave_715,%,Reflectance at associated wavelength,numeric
Wave_716,%,Reflectance at associated wavelength,numeric
Wave_717,%,Reflectance at associated wavelength,numeric
Wave_718,%,Reflectance at associated wavelength,numeric
Wave_719,%,Reflectance at associated wavelength,numeric
Wave_720,%,Reflectance at associated wavelength,numeric
Wave_721,%,Reflectance at associated wavelength,numeric
Wave_722,%,Reflectance at associated wavelength,numeric
Wave_723,%,Reflectance at associated wavelength,numeric
Wave_724,%,Reflectance at associated wavelength,numeric
Wave_725,%,Reflectance at associated wavelength,numeric
Wave_726,%,Reflectance at associated wavelength,numeric
Wave_727,%,Reflectance at associated wavelength,numeric
Wave_728,%,Reflectance at associated wavelength,numeric
Wave_729,%,Reflectance at associated wavelength,numeric
Wave_730,%,Reflectance at associated wavelength,numeric
Wave_731,%,Reflectance at associated wavelength,numeric
Wave_732,%,Reflectance at associated wavelength,numeric
Wave_733,%,Reflectance at associated wavelength,numeric
Wave_734,%,Reflectance at associated wavelength,numeric
Wave_735,%,Reflectance at associated wavelength,numeric
Wave_736,%,Reflectance at associated wavelength,numeric
Wave_737,%,Reflectance at associated wavelength,numeric
Wave_738,%,Reflectance at associated wavelength,numeric
Wave_739,%,Reflectance at associated wavelength,numeric
Wave_740,%,Reflectance at associated wavelength,numeric
Wave_741,%,Reflectance at associated wavelength,numeric
Wave_742,%,Reflectance at associated wavelength,numeric
Wave_743,%,Reflectance at associated wavelength,numeric
Wave_744,%,Reflectance at associated wavelength,numeric
Wave_745,%,Reflectance at associated wavelength,numeric
Wave_746,%,Reflectance at associated wavelength,numeric
Wave_747,%,Reflectance at associated wavelength,numeric
Wave_748,%,Reflectance at associated wavelength,numeric
Wave_749,%,Reflectance at associated wavelength,numeric
Wave_750,%,Reflectance at associated wavelength,numeric
Wave_751,%,Reflectance at associated wavelength,numeric
