SampleID,LMA,LWC,Cmass,Nmass,Carea,Narea,CNratio,CNmolarRatio
BNL17533,64.81,70.91,432.1,14.9,28,0.97,0.29,0.34
BNL17534,102.39,67.94,478.9,19.1,49.03,1.96,0.25,0.29
BNL17535,66.97,75.31,459.1,17.7,30.75,1.19,0.26,0.3
BNL17536,85.05,51.94,507.8,34.8,43.19,2.96,0.15,0.17
BNL17537,111.94,60.93,522.6,17.7,58.5,1.98,0.3,0.34
BNL17538,82.76,50.42,505.2,33.6,41.81,2.78,0.15,0.18
BNL17539,189.59,53.32,502.4,15.6,95.25,2.96,0.32,0.38
BNL17540,173.32,49.35,524.2,21.7,90.85,3.76,0.24,0.28
BNL17541,141.17,50.72,488.9,26.1,69.02,3.68,0.19,0.22
BNL17542,111.9,57.24,502.9,26.6,56.28,2.98,0.19,0.22
BNL17543,199.64,51.75,508.5,15.4,101.52,3.07,0.33,0.39
BNL17544,60.27,73.58,437.5,12.9,26.37,0.78,0.34,0.4
BNL17556,190.77,56.15,502.5,14.5,95.86,2.77,0.35,0.4
BNL17557,106.47,62.42,472.6,16.9,50.32,1.8,0.28,0.33
BNL17558,125.63,54.46,508.9,23.4,63.93,2.94,0.22,0.25
BNL17559,89.45,64.88,516.1,20.4,46.16,1.82,0.25,0.3
BNL17560,61.62,73.7,408.5,18.2,25.17,1.12,0.22,0.26
BNL17561,204.48,58.61,500.3,15.3,102.3,3.13,0.33,0.38
BNL17562,88.97,55.28,493.7,26.3,43.92,2.34,0.19,0.22
BNL17563,111.35,64.1,490.5,26,54.62,2.9,0.19,0.22
BNL17564,120.41,69.49,499.4,24,60.13,2.89,0.21,0.24
BNL17565,166.98,63.28,495.5,15.3,82.74,2.55,0.32,0.38
BNL17566,118.41,64.91,491,23.8,58.14,2.82,0.21,0.24
BNL17567,72.57,59.29,481.5,17.8,34.94,1.29,0.27,0.32
BNL17568,115.36,66.32,499.7,13.1,57.64,1.51,0.38,0.44
BNL17569,74.87,58,487,20.3,36.46,1.52,0.24,0.28
BNL17570,121.28,63.37,479.4,19,58.14,2.3,0.25,0.29
BNL17571,122.51,65.36,500.9,13.3,61.37,1.63,0.38,0.44
BNL17583,68.25,64.03,532.7,23.4,36.35,1.6,0.23,0.27
BNL17584,71.3,71.28,459.1,27.3,32.73,1.95,0.17,0.2
BNL17585,83.91,62.98,508.9,19.1,42.7,1.6,0.27,0.31
BNL17586,133.05,54.76,496,15.8,65.99,2.1,0.31,0.37
BNL17587,84.8,65.67,510.1,18.6,43.26,1.58,0.27,0.32
BNL17588,148.49,52.15,508.5,14.2,75.51,2.11,0.36,0.42
BNL17589,80.33,61.44,507,20.9,40.73,1.68,0.24,0.28
BNL17590,131.02,55.45,506.8,13.8,66.4,1.81,0.37,0.43
BNL17591,78.8,65.4,507.9,19.4,40.02,1.53,0.26,0.31
BNL17592,94.86,53.44,498,16,47.24,1.52,0.31,0.36
BNL17593,63.87,73.83,452.1,22.7,28.88,1.45,0.2,0.23
BNL17595,216.58,61.25,518.4,11.4,112.27,2.47,0.45,0.53
BNL17596,146.04,50.56,510.1,15.9,74.5,2.32,0.32,0.37
BNL17597,194.93,59.17,530.3,11.6,103.37,2.26,0.46,0.53
BNL17598,111.28,62,530.2,14.2,59,1.58,0.37,0.44
BNL17611,141.81,54.54,502.1,15.7,71.2,2.23,0.32,0.37
BNL17612,231.37,48.29,534.4,15.6,123.64,3.61,0.34,0.4
BNL17613,80.36,65.15,511.1,19.4,41.07,1.56,0.26,0.31
BNL17614,160,61.33,481.9,17.2,77.11,2.75,0.28,0.33
BNL17617,188.08,53.21,526.8,14,99.08,2.63,0.38,0.44
BNL17619,63.66,71.91,454.3,22.3,28.92,1.42,0.2,0.24
BNL17620,62.39,72.47,464,18.9,28.95,1.18,0.25,0.29
BNL17621,111.93,56.83,546.6,18.9,61.18,2.12,0.29,0.34
BNL17622,131.78,55.19,483.3,17.5,63.69,2.31,0.28,0.32
BNL17634,139.04,62.21,502.1,13.6,69.81,1.89,0.37,0.43
BNL17635,219.95,53.47,522.5,15.9,114.92,3.5,0.33,0.38
BNL17636,276.93,51.26,525.7,14,145.58,3.88,0.38,0.44
BNL17637,142.6,58.36,501.7,12.2,71.54,1.74,0.41,0.48
BNL17638,111.41,67.59,481.4,16.1,53.63,1.79,0.3,0.35
BNL17639,56.34,74.71,446.5,20.7,25.16,1.17,0.22,0.25
BNL17640,56.66,72.01,468.4,24.6,26.54,1.39,0.19,0.22
BNL17641,49.66,75.63,461.8,22.4,22.93,1.11,0.21,0.24
BNL17642,77.41,57.18,496.8,20.7,38.46,1.6,0.24,0.28
BNL17644,202.06,59.82,535,14.6,108.1,2.95,0.37,0.43
BNL17654,160.3,56.13,506.4,15.5,81.18,2.48,0.33,0.38
