SampleID,SampleID_num,Record,A,Ci,CO2s,Patm,Qin,RHs,Tleaf,gsw
20190718_DN_11859_2,11859,87,23.90519255,304.1857982,368.3216553,100.6125412,1499.649048,85.37112427,29.77801704,834.9737607
20190718_DN_11859_2,11859,88,25.58521808,308.4731447,369.6056213,100.6095963,1499.935669,85.69897461,29.54702568,975.1087351
20190718_DN_11859_2,11859,89,37.12569507,444.8896245,550.3619385,100.6085587,1500.571655,74.36733246,29.73487282,788.061883
20190718_DN_11859_2,11859,90,43.53244544,610.7883012,740.682373,100.6070786,1501.067505,73.40328217,30.04380035,756.3185873
20190719_DD_ST75_1,ST75,91,17.83446207,311.5062489,375.4753418,100.8067932,1500.115601,77.13371277,30.23285103,600.8022468
20190719_DD_ST75_1,ST75,92,11.10211935,242.4414335,284.3026733,100.806366,1501.058594,72.58937836,30.10122299,593.6775055
20190719_DD_ST75_1,ST75,93,3.364406611,178.7815362,194.1346741,100.8052826,1499.301636,73.20549011,30.19303131,585.1585163
20190719_DD_ST75_1,ST75,94,-4.678615482,117.0301506,104.8233414,100.8035126,1500.153687,72.1246109,30.18302917,603.9669857
20190719_DD_ST75_1,ST75,95,-8.414018257,85.5747883,59.81977844,100.8033676,1499.042725,71.08569336,30.20383644,583.7356457
20190719_DD_ST75_1,ST75,96,17.2515682,309.8371233,375.757019,100.8005142,1500.717773,65.09977722,30.06287003,587.324763
20190719_DD_ST75_1,ST75,97,17.63558635,305.7185303,375.1964111,100.8010483,1500.308105,64.09832001,30.11271667,562.3198863
20190719_DD_ST75_1,ST75,98,26.78698568,456.1695962,562.3498535,100.8033676,1500.334595,63.48345566,30.07134819,556.8254832
20190719_DD_ST75_1,ST75,99,30.95424252,627.1730529,755.3095093,100.8034821,1499.312988,62.86844254,30.00160408,543.1203351
20190719_DD_ST75_2,ST75,100,18.19268879,314.5757477,373.9218445,100.7941284,1499.395386,71.33274841,30.85505486,706.1960357
20190719_DD_ST75_2,ST75,101,10.18620529,250.0238367,284.8632202,100.7924728,1499.174438,73.00406647,30.57407379,707.1157562
20190719_DD_ST75_2,ST75,102,0.840063211,189.9587351,196.9632111,100.7933197,1499.208862,71.68406677,30.22506523,702.9163724
20190719_DD_ST75_2,ST75,103,-8.869164296,131.7081602,109.5053864,100.794281,1500.674561,72.00498199,29.88320732,700.6735963
20190719_DD_ST75_2,ST75,104,-13.47238367,103.5863561,65.69841003,100.7980499,1499.97644,68.59893799,29.79306793,659.7643741
20190719_DD_ST75_2,ST75,105,15.60987353,321.7207458,379.1078796,100.8020248,1501.199341,66.07656097,29.9265976,619.2188979
20190719_DD_ST75_2,ST75,106,17.19084638,312.7199051,376.2486877,100.8021317,1499.538696,65.79614258,30.12195396,604.3861908
20190719_DD_ST75_2,ST75,107,28.55059405,459.8402499,560.4375,100.8018036,1498.637451,67.98220062,30.14660263,630.5264811
20190719_DD_ST75_2,ST75,108,34.0798503,631.8755768,751.9481201,100.8007584,1499.754639,69.09418488,30.13982582,644.4626649
20190719_DD_106B_1_1,106B_1,109,16.16584621,319.6156829,376.8131104,100.7951584,1499.684082,69.41977692,30.81427383,655.392155
20190719_DD_106B_1_1,106B_1,110,8.467573439,255.2968209,286.7515564,100.7943878,1499.333374,70.42832184,30.66581154,675.9798991
20190719_DD_106B_1_1,106B_1,111,-0.212005932,194.0100295,198.3339081,100.7912445,1499.409424,70.73392487,30.59471893,672.1414301
20190719_DD_106B_1_1,106B_1,112,-9.468892065,134.8285265,110.1028748,100.7893143,1499.84021,70.79315948,30.62132835,665.9842954
20190719_DD_106B_1_1,106B_1,113,-13.75539358,105.1172977,66.14231873,100.7854614,1500.385864,70.62590027,30.6574192,651.3323237
20190719_DD_106B_1_1,106B_1,114,15.34847309,321.7299912,377.6768799,100.7820358,1501.095825,70.32209778,30.6001339,633.6206431
20190719_DD_106B_1_1,106B_1,115,15.88338955,318.7215663,377.1985168,100.7832718,1501.068115,70.15560913,30.58483696,620.0548239
20190719_DD_106B_1_1,106B_1,116,27.31777215,458.6187505,561.319458,100.7841492,1499.416138,66.45233154,30.46668816,591.7394938
20190719_DD_106B_1_1,106B_1,117,33.29225902,621.2493041,752.2939453,100.7842255,1500.418213,65.93937683,30.3842392,567.1444453
20190719_DD_106B_1_2,106B_1,118,15.53966406,313.765847,377.3223572,100.7804718,1499.162109,62.81741333,31.06538582,556.8945994
20190719_DD_106B_1_2,106B_1,119,8.015583664,252.2437959,287.3777771,100.7759171,1499.783325,63.77716827,30.9254303,564.8898417
20190719_DD_106B_1_2,106B_1,120,-0.488689474,194.3220835,198.4863586,100.7726517,1500.060913,64.15620422,30.69250107,564.0892907
20190719_DD_106B_1_2,106B_1,121,-9.592040003,138.3847582,110.0498428,100.7692719,1499.809204,64.38787079,30.75260544,571.093466
20190719_DD_106B_1_2,106B_1,122,-13.63019559,110.8020286,67.70219421,100.7714233,1500.076538,62.35567474,30.92310143,565.2089243
20190719_DD_106B_1_2,106B_1,123,15.4969491,314.1755878,377.4006348,100.7726822,1500.244995,62.25375366,30.92105103,562.1495178
20190719_DD_106B_1_2,106B_1,124,15.7586196,312.4931419,376.7980347,100.769989,1499.761597,62.2021904,30.9218235,559.3596494
20190719_DD_106B_1_2,106B_1,125,26.9065227,454.1066799,561.7982178,100.7670898,1500.738037,58.84280396,30.66522598,561.8523112
20190719_DD_106B_1_2,106B_1,126,33.20746781,612.707759,751.6531982,100.7634659,1499.956787,58.22272873,30.56395912,538.5264058
20190725_DD_112107_1,112107,127,23.35498099,301.6455919,368.1330566,100.9764252,1500.233398,67.61886597,30.39020348,797.8545462
20190725_DD_112107_1,112107,128,15.56718077,234.2100628,278.7554626,100.9753418,1500.219116,71.15872955,30.2058754,803.2154991
20190725_DD_112107_1,112107,129,6.070702141,172.023084,190.8506317,100.9758835,1499.160156,72.72839355,30.11962128,808.5946116
20190725_DD_112107_1,112107,130,-4.033562377,111.7927847,103.7811584,100.9761276,1499.617554,73.14550781,30.06694603,815.8320593
20190725_DD_112107_1,112107,131,-8.917554499,82.01683194,60.9358139,100.9771042,1499.099854,73.33522797,30.08549309,808.0648914
20190725_DD_112107_1,112107,132,23.52395052,302.5388436,368.4677124,100.9794388,1500.968994,73.21321106,30.08065414,799.7628811
20190725_DD_112107_1,112107,133,23.40832423,302.554888,368.5299683,100.9816437,1499.964355,73.29164124,30.16305923,794.0962726
20190725_DD_112107_1,112107,134,34.82806341,454.7705272,553.4949341,100.9853668,1500.232178,73.77854919,30.19808769,787.4990403
20190725_DD_112107_1,112107,135,40.3134936,627.6519138,745.0949097,100.9869156,1500.17041,73.55471802,30.44270134,777.3327133
20190725_DD_112107_2,112107,136,22.33056795,292.3440133,369.6809998,100.9875183,1501.011963,69.18070984,32.00992584,621.1376226
20190725_DD_112107_2,112107,137,14.25023356,229.3161726,280.1305542,100.9867249,1500.030518,69.89684296,31.94947624,613.8772256
20190725_DD_112107_2,112107,138,5.06308951,171.8093346,192.0631561,100.9844284,1499.157959,69.83539581,31.97487068,612.3384047
20190725_DD_112107_2,112107,139,-4.378493942,115.5907609,104.3641739,100.9798508,1499.816772,69.58406067,32.06088638,608.2189991
20190725_DD_112107_2,112107,140,-8.92036889,87.0828366,60.23981094,100.9755783,1501.061646,69.27484131,31.99893951,598.8391792
20190725_DD_112107_2,112107,141,19.60303818,303.4534721,374.9313354,100.9758148,1500.181763,69.00720978,31.85034943,593.2853913
20190725_DD_112107_2,112107,142,21.94112623,291.7953602,370.4620361,100.9780426,1500.101563,69.44456482,31.90413475,595.4044331
20190725_DD_112107_2,112107,143,32.90834677,437.2407217,555.4516602,100.981926,1498.983643,69.05529022,32.05788422,595.1329379
20190725_DD_112107_2,112107,144,38.59186251,605.3356247,746.6773071,100.9815521,1499.052734,68.66937256,32.31296921,595.3951634
20190725_DD_6_4_1,6_4,145,15.55512803,280.1544801,378.7489929,100.9828415,1500.305664,57.24585724,31.87644196,315.3054528
20190725_DD_6_4_1,6_4,146,8.660833547,230.7140981,287.2662354,100.9800415,1499.991089,57.31374359,31.80236626,321.5525978
20190725_DD_6_4_1,6_4,147,1.568308195,181.659782,196.7966003,100.9735413,1500.078613,56.82926178,31.84879684,321.297103
20190725_DD_6_4_1,6_4,148,-5.695466334,133.5718706,106.207901,100.9733734,1499.974731,56.89486694,31.8095417,320.7303633
20190725_DD_6_4_1,6_4,149,-9.112082616,107.6547713,60.44458389,100.9740067,1500.92749,57.83132172,31.55819511,323.0558118
20190725_DD_6_4_1,6_4,150,14.23784444,291.9865588,381.3348999,100.9760818,1499.644531,57.88837433,31.3616066,322.4388843
20190725_DD_6_4_1,6_4,151,15.09117873,285.2764824,379.3803711,100.9742889,1499.532104,57.30709076,31.50129128,322.3954816
20190725_DD_6_4_1,6_4,152,26.56882084,401.085803,563.9892578,100.970047,1499.626099,56.92550659,31.55915833,321.1618933
20190725_DD_6_4_1,6_4,153,33.88825642,543.5755292,753.8161621,100.9650345,1499.012451,56.05917358,31.83848763,319.9810457
20190725_DD_6_4_2,6_4,154,19.14538999,272.4524199,373.6846924,100.9668198,1500.667603,57.04920959,32.11815643,383.482976
20190725_DD_6_4_2,6_4,155,11.54011026,220.9369196,283.5687866,100.9614105,1499.715698,57.34277344,31.97910118,385.3853261
20190725_DD_6_4_2,6_4,156,3.352577806,172.455633,194.2980499,100.9558487,1500.370483,57.46831894,31.88844109,386.0918999
