SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Photosynthetic_pathway,Plant_type,Soil,LMA,Narea,Nmass
20190726_DM_14492_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,132.81,3.54,26.65
20190725_DD_47_5,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,94.61,2.6,27.49
20190902_DN_11822_redo_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,84.32,2.4,28.42
20190902_DN_11822_redo_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,122.54,3.18,25.93
20190902_DN_433_redo_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,105.44,2.44,23.12
20190902_DN_433_redo_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,100.78,2.27,22.48
20190902_DN_11840_redo_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,75.63,2.1,27.82
20190902_DN_11840_redo_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,87.74,2.49,28.43
20190902_DN_11867_redo_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,81.36,2.14,26.28
20190902_DN_11867_redo_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,80.66,2.07,25.63
20190902_DN_11859_redo_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,118.09,2.22,18.8
20190902_DN_11859_redo_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,92.5,2.24,24.21
20190904_DD_ST75_redo_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,77.98,2.05,26.31
20190904_DD_ST75_redo_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,79.74,2.07,25.96
20190904_DD_112107_redo_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,89,2.37,26.63
20190904_DD_112107_redo_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,101.18,2.66,26.32
20190904_DM_14492_redo_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,149.91,3.24,21.64
20190904_DM_14492_redo_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,144.37,2.99,20.71
20200714_DD_S7C2,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,78.87,1.87,23.7
20200714_DD_120_4,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,70.28,1.39,19.78
