Species,Year,Species_ID,Species,Family,Maxium Canopy Height (m),Growth Environment,BNL_UID,LMA,Training (1)/Validation(0),Age_adj_final,Mature/Immature,Vcmax25-sq,Vcmax25
6,2016,TOCOPI_SU,Tocoyena pittieri,Rubiaceae,27, Sunlit,BNL10643,,0,M,Mature,6.086282344,37.04283277
6,2016,TOCOPI_SU,Tocoyena pittieri,Rubiaceae,27, Sunlit,BNL10937,,1,M,Mature,6.582878538,43.33428985
6,2016,TOCOPI_SU,Tocoyena pittieri,Rubiaceae,27, Sunlit,BNL11144,,1,O,Mature,5.041349049,25.41520023
6,2016,TOCOPI_SU,Tocoyena pittieri,Rubiaceae,27, Sunlit,BNL11146,,0,YM,Immature,7.000360241,49.00504351
6,2016,TOCOPI_SU,Tocoyena pittieri,Rubiaceae,27, Sunlit,BNL11521,,0,Y,Immature,5.872388434,34.48494592
6,2016,TOCOPI_SU,Tocoyena pittieri,Rubiaceae,27, Sunlit,BNL11538,,1,Y,Immature,5.741813559,32.96842294
6,2016,TOCOPI_SU,Tocoyena pittieri,Rubiaceae,27, Sunlit,BNL11540,,1,Y,Immature,5.770614905,33.29999638
6,2016,TOCOPI_SU,Tocoyena pittieri,Rubiaceae,27, Sunlit,BNL11543,,0,M,Mature,6.486486363,42.07450534
7,2016,TACHVE_SU,Tachigali versicolor,Fabaceae,30, Sunlit,BNL10805,,1,M,Mature,6.639788092,44.08678591
7,2016,TACHVE_SU,Tachigali versicolor,Fabaceae,30, Sunlit,BNL11028,,0,M,Mature,6.272450742,39.34363832
7,2016,TACHVE_SU,Tachigali versicolor,Fabaceae,30, Sunlit,BNL11143,,1,M,Mature,6.254864025,39.12332397
7,2016,TACHVE_SU,Tachigali versicolor,Fabaceae,30, Sunlit,BNL11539,,0,M,Mature,6.07903417,36.95465645
7,2016,TACHVE_SU,Tachigali versicolor,Fabaceae,30, Sunlit,BNL11638,,1,Y,Immature,5.053428163,25.5371362
7,2016,TACHVE_SU,Tachigali versicolor,Fabaceae,30, Sunlit,BNL11639,,1,YM,Immature,6.118363033,37.4343662
7,2016,TACHVE_SU,Tachigali versicolor,Fabaceae,30, Sunlit,BNL11642,,1,M,Mature,6.490047766,42.12072001
9,2016,CARAGU_SU,Carapa guianensis,Meliaceae,34, Sunlit,BNL10702,,0,Y,Immature,5.605063065,31.41673196
9,2016,CARAGU_SU,Carapa guianensis,Meliaceae,34, Sunlit,BNL10788,,0,M,Mature,5.926272358,35.12070406
9,2016,CARAGU_SU,Carapa guianensis,Meliaceae,34, Sunlit,BNL10807,,1,M,Mature,5.078790127,25.79410916
9,2016,CARAGU_SU,Carapa guianensis,Meliaceae,34, Sunlit,BNL10928,,1,Y,Immature,5.397668529,29.13482555
10,2016,APEIME_SU,Apeiba membranacea,Tiliaceae,29, Sunlit,BNL10638,,0,M,Mature,8.245550468,67.98910252
10,2016,APEIME_SU,Apeiba membranacea,Tiliaceae,29, Sunlit,BNL10703,,1,M,Mature,8.210576683,67.41356947
10,2016,APEIME_SU,Apeiba membranacea,Tiliaceae,29, Sunlit,BNL10786,,1,O,Mature,5.457049141,29.77938532
10,2016,APEIME_SU,Apeiba membranacea,Tiliaceae,29, Sunlit,BNL10787,,1,M,Mature,7.860645155,61.78974225
10,2016,APEIME_SU,Apeiba membranacea,Tiliaceae,29, Sunlit,BNL10803,,1,M,Mature,7.701352949,59.31083725
11,2016,ALBIED_SU,Albizia adinocephala,Fabaceae,29, Sunlit,BNL11593,,0,Y,Immature,6.28686587,39.52468247
11,2016,ALBIED_SU,Albizia adinocephala,Fabaceae,29, Sunlit,BNL11646,,1,Y,Immature,6.103225057,37.24935609
11,2016,ALBIED_SU,Albizia adinocephala,Fabaceae,29, Sunlit,BNL11651,,1,Y,Immature,5.111171193,26.12407096
11,2016,ALBIED_SU,Albizia adinocephala,Fabaceae,29, Sunlit,BNL11653,,1,M,Mature,7.380178875,54.46704023
12,2016,ANACEX_SU,Anacardium excelsum,Anacardiacea,39, Sunlit,BNL10541,,0,M,Mature,7.414099355,54.96886925
12,2016,ANACEX_SU,Anacardium excelsum,Anacardiacea,39, Sunlit,BNL10551,,1,M,Mature,7.313671324,53.48978824
12,2016,ANACEX_SU,Anacardium excelsum,Anacardiacea,39, Sunlit,BNL10555,,0,Y,Immature,6.479684294,41.98630855
12,2016,ANACEX_SU,Anacardium excelsum,Anacardiacea,39, Sunlit,BNL10559,,1,Y,Immature,6.754564589,45.62414279
13,2016,ANTITR_SU,Pittoniotis trichantha,Rubiaceae,19, Sunlit,BNL10535,,1,M,Mature,5.491886915,30.16082189
13,2016,ANTITR_SU,Pittoniotis trichantha,Rubiaceae,19, Sunlit,BNL10543,,0,MO,Mature,5.648933261,31.91044699
13,2016,ANTITR_SU,Pittoniotis trichantha,Rubiaceae,19, Sunlit,BNL10544,,1,S,Mature,6.168458396,38.04987898
13,2016,ANTITR_SU,Pittoniotis trichantha,Rubiaceae,19, Sunlit,BNL10552,,0,S,Mature,4.905816166,24.06703225
14,2016,CAL2CA_SU,Calycophyllum candidissimum,Rubiaceae,20, Sunlit,BNL10554,,1,M,Mature,7.05250987,49.73789546
14,2016,CAL2CA_SU,Calycophyllum candidissimum,Rubiaceae,20, Sunlit,BNL10662,,0,M,Mature,8.01815259,64.29077095
14,2016,CAL2CA_SU,Calycophyllum candidissimum,Rubiaceae,20, Sunlit,BNL10684,,1,M,Mature,7.943782444,63.10367952
