Sample_ID,Sample_date,Location,Sample_type,Species,Leaf_age,Leaf_age_revised,C_pc,H_pc,N_pc,C:N,Molar Ratio,C _mg_gDW-1,H_mg_gDW-1,N_mg_gDW-1,C_g_m-2,H_g_m-2,N_g_m-2,LMA_gDW_m2,SLA_cm2_g,H2O_pc,Canopy_position
BNL11844,2017-02-16,PA-SLZ,ACi,MICOBO,O,O,51.27,5.57,1.85,27.71351351,32.31908796,512.7,55.7,18.5,63.96,6.95,2.31,124.75,141.43,-9999,sunlit
BNL11846,2017-02-16,PA-SLZ,ACi,VOCHFE,O,M,44.84,6.22,1.35,33.21481481,38.73462385,448.4,62.2,13.5,72.02,9.99,2.17,160.61,110.28,-9999,sunlit
BNL11847,2017-02-16,PA-SLZ,ACi,VOCHFE,O,M,46.89,5.97,1.57,29.86624204,34.829568,468.9,59.7,15.7,66.19,8.43,2.22,141.16,176.79,-9999,sunlit
BNL11851,2017-02-16,PA-SLZ,ACi,TERMAM,O,O,51.5,5.66,1.79,28.77094972,33.55225436,515,56.6,17.9,62.85,6.91,2.18,122.04,87.02,-9999,sunlit
BNL11852,2017-02-16,PA-SLZ,ACi,TERMAM,O,O,51.13,5.73,1.9,26.91052632,31.38265621,511.3,57.3,19,63.53,7.12,2.36,124.24,81.94,-9999,sunlit
BNL11853,2017-02-16,PA-SLZ,ACi,MICOBO,Y,Y,48.03,5.29,1.9,25.27894737,29.47993307,480.3,52.9,19,32.60,3.59,1.29,67.88,80.49,-9999,sunlit
BNL11855,2017-02-16,PA-SLZ,ACi,VOCHFE,Y,Y,43.85,5.57,2.03,21.60098522,25.19074822,438.5,55.7,20.3,41.76,5.30,1.93,95.24,70.84,-9999,sunlit
BNL11856,2017-02-16,PA-SLZ,ACi,TERMAM,O,O,49.02,5.44,1.95,25.13846154,29.31610058,490.2,54.4,19.5,56.24,6.24,2.24,114.72,105.00,-9999,sunlit
BNL11857,2017-02-16,PA-SLZ,ACi,TERMAM,O,O,51.22,5.37,2.19,23.38812785,27.27488743,512.2,53.7,21.9,58.86,6.17,2.52,114.92,103.13,-9999,sunlit
BNL11858,2017-02-16,PA-SLZ,ACi,MICOBO,M,M,51.47,5.59,2.3,22.37826087,26.09719554,514.7,55.9,23,48.90,5.31,2.19,95.01,105.25,-9999,sunlit
BNL11859,2017-02-16,PA-SLZ,ACi,GUATDU,O,M,47.67,5.91,2.05,23.25365854,27.11807131,476.7,59.1,20.5,46.23,5.73,1.99,96.97,147.32,-9999,sunlit
BNL11860,2017-02-16,PA-SLZ,ACi,MICOBO,M,M,46.91,5.33,1.63,28.7791411,33.56180703,469.1,53.3,16.3,45.96,5.22,1.60,97.98,89.73,-9999,sunlit
BNL11861,2017-02-16,PA-SLZ,ACi,TERMAM,M,Y,50.09,5.33,1.78,28.14044944,32.81697429,500.9,53.3,17.8,54.86,5.84,1.95,109.52,102.06,-9999,sunlit
BNL11862,2017-02-16,PA-SLZ,ACi,TERMAM,Y,Y,53.66,5.8,2.32,23.12931034,26.97305829,536.6,58,23.2,52.64,5.69,2.28,98.11,81.48,-9999,sunlit
BNL11863,2017-02-16,PA-SLZ,ACi,GUATDU,M,Y,48.95,6.13,1.74,28.13218391,32.80733515,489.5,61.3,17.4,43.86,5.49,1.56,89.61,111.59,-9999,sunlit
BNL11864,2017-02-16,PA-SLZ,ACi,MICOBO,O,O,52.68,5.61,1.99,26.47236181,30.87167527,526.8,56.1,19.9,58.71,6.25,2.22,111.45,132.89,-9999,sunlit
BNL11865,2017-02-16,PA-SLZ,ACi,VOCHFE,M,Y,49.4,5.79,1.85,26.7027027,31.1402954,494,57.9,18.5,37.17,4.36,1.39,75.25,83.83,-9999,sunlit
BNL11866,2017-02-16,PA-SLZ,ACi,TERMAM,M,M,50.47,5.92,2.1,24.03333333,28.02731648,504.7,59.2,21,50.81,5.96,2.11,100.67,91.30,-9999,sunlit
BNL11867,2017-02-16,PA-SLZ,ACi,TERMAM,M,M,50.28,5.8,1.98,25.39393939,29.61403506,502.8,58,19.8,59.42,6.85,2.34,118.18,84.62,-9999,sunlit
BNL11868,2017-02-16,PA-SLZ,ACi,VOCHFE,M,M,49.57,6.33,1.64,30.22560976,35.24865729,495.7,63.3,16.4,59.13,7.55,1.96,119.28,101.93,-9999,sunlit
BNL11869,2017-02-16,PA-SLZ,ACi,MICOBO,O,O,52.8,5.81,1.67,31.61676647,36.87100359,528,58.1,16.7,64.80,7.13,2.05,122.73,99.33,-9999,sunlit
BNL11870,2017-02-17,PA-SLZ,ACi,VOCHFE,M,M,46.23,5.98,1.61,28.71428571,33.48617364,462.3,59.8,16.1,56.33,7.29,1.96,121.85,80.26,59.62,sunlit
BNL11871,2017-02-17,PA-SLZ,ACi,MICOBO,M,M,50.15,5.78,2.44,20.55327869,23.96892842,501.5,57.8,24.4,47.55,5.48,2.31,94.82,80.52,54.53,sunlit
