BNL_barcode,Sample_date,Location,Species,C_pc,H_pc,N_pc,C:N,Molar Ratio,C _mg_gDW-1,H_mg_gDW-1,N_mg_gDW-1,C_g_m-2,H_g_m-2,N_g_m-2,Gasex_type,Canopy_position,LMA_g_m-2,SLA_cm2_g,H20_pc
BNL10627,2016-02-17,PA-SLZ,TOCOPI,51.38,6.67,1.7,30.22,35.25,513.8,66.7,17,42.52,5.52,1.41,Diurnal 1,sunlit,82.76,120.83,62.76
BNL10630,2016-02-17,PA-SLZ,CARAGU,52.23,5.31,1.55,33.70,39.30,522.3,53.1,15.5,82.68,8.41,2.45,Diurnal 1,sunlit,158.29,63.17,48.39
BNL10631,2016-02-17,PA-SLZ,VOCHFE,49.84,6.22,1.73,28.81,33.60,498.4,62.2,17.3,56.89,7.10,1.97,Diurnal 1,sunlit,114.14,87.61,64.84
BNL10632,2016-02-17,PA-SLZ,TACHVE,53.03,6.43,2.52,21.04,24.54,530.3,64.3,25.2,52.06,6.31,2.47,Diurnal 1,sunlit,98.17,101.87,42.71
BNL10634,2016-02-16,PA-SLZ,TOCOPI,51.31,6.11,1.86,27.59,32.17,513.1,61.1,18.6,50.40,6.00,1.83,ACi,sunlit,98.22,101.81,60.76
BNL10635,2016-02-16,PA-SLZ,VOCHFE,49.45,6.14,1.69,29.26,34.12,494.5,61.4,16.9,52.48,6.52,1.79,ACi,sunlit,106.12,94.24,62.58
BNL10636,2016-02-16,PA-SLZ,TERMAM,48.75,5.5,1.56,31.25,36.44,487.5,55,15.6,71.69,8.09,2.29,ACi,sunlit,147.06,68.00,48.78
BNL10637,2016-02-16,PA-SLZ,MICOBO,53.91,6.45,1.75,30.81,35.93,539.1,64.5,17.5,58.33,6.98,1.89,ACi,sunlit,108.20,92.42,50.94
BNL10638,2016-02-16,PA-SLZ,APEIME,50.14,6.2,1.94,25.85,30.14,501.4,62,19.4,53.50,6.62,2.07,ACi,sunlit,106.70,93.72,58.62
BNL10640,2016-02-16,PA-SLZ,GUATDU,49.15,5.71,2.12,23.18,27.04,491.5,57.1,21.2,40.75,4.73,1.76,ACi,sunlit,82.91,120.62,51.49
BNL10641,2016-02-16,PA-SLZ,VOCHFE,48.54,6.22,1.61,30.15,35.16,485.4,62.2,16.1,51.73,6.63,1.72,ACi,sunlit,106.58,93.82,63.22
BNL10642,2016-02-16,PA-SLZ,MICOBO,53.4,5.58,1.84,29.02,33.84,534,55.8,18.4,55.93,5.84,1.93,ACi,sunlit,104.73,95.48,52.52
BNL10643,2016-02-16,PA-SLZ,TOCOPI,51.32,6.47,1.91,26.87,31.33,513.2,64.7,19.1,43.70,5.51,1.63,ACi,sunlit,85.14,117.45,59.78
BNL10652,2016-02-17,PA-SLZ,VIROSP,52.93,5.62,1.68,31.51,36.74,529.3,56.2,16.8,78.78,8.37,2.50,Diurnal 1,sunlit,148.85,67.18,54.58
BNL10652,2016-02-17,PA-SLZ,VIROSP,38.7,5.69,2.35,16.47,19.20,387,56.9,23.5,57.60,8.47,3.50,Diurnal 1,sunlit,148.85,67.18,54.58
BNL10658,2016-02-17,PA-SLZ,TERMAM,49.97,5.56,2.01,24.86,28.99,499.7,55.6,20.1,57.02,6.34,2.29,Diurnal 1,sunlit,114.11,87.64,51.89
BNL10660,2016-02-13,PA-PNM,LUEHSE,49.83,5.53,2.39,20.85,24.31,498.3,55.3,23.9,54.28,6.02,2.60,ACi,sunlit,108.93,91.80,55.24
BNL10661,2016-02-14,PA-PNM,CECRPE,47.3,6.09,2.47,19.15,22.33,473,60.9,24.7,38.33,4.93,2.00,ACi,sunlit,81.03,123.42,63.66
BNL10662,2016-02-13,PA-PNM,CAL2CA,49.72,6.56,2.4,20.72,24.16,497.2,65.6,24,42.80,5.65,2.07,ACi,sunlit,86.07,116.18,58.36
BNL10663,2016-02-13,PA-PNM,LUEHSE,50.96,6,2.35,21.69,25.29,509.6,60,23.5,55.14,6.49,2.54,ACi,sunlit,108.20,92.42,55.67
BNL10664,2016-02-13,PA-PNM,FICUIN,40.54,5.59,2.34,17.32,20.20,405.4,55.9,23.4,52.76,7.27,3.05,ACi,sunlit,130.14,76.84,60.83
BNL10665,2016-02-13,PA-PNM,LUEHSE,51.06,5.95,2.24,22.79,26.58,510.6,59.5,22.4,57.37,6.69,2.52,ACi,sunlit,112.36,89.00,55.94
BNL10684,2016-02-13,PA-PNM,CAL2CA,49.67,5.99,2.13,23.32,27.19,496.7,59.9,21.3,38.75,4.67,1.66,ACi,sunlit,78.01,128.18,62.12
BNL10688,2016-02-16,PA-SLZ,MICOBO,52.46,5.48,1.76,29.81,34.76,524.6,54.8,17.6,51.47,5.38,1.73,ACi,sunlit,98.11,101.93,53.55
BNL10689,2016-02-16,PA-SLZ,APEIME,50.03,6.04,1.63,30.69,35.79,500.3,60.4,16.3,54.18,6.54,1.77,ACi,sunlit,108.30,92.34,61.32
BNL10690,2016-02-16,PA-SLZ,GUATDU,49.36,5.92,2.05,24.08,28.08,493.6,59.2,20.5,38.55,4.62,1.60,ACi,sunlit,78.09,128.05,57.03
BNL10691,2016-02-16,PA-SLZ,TERMAM,46.64,4.79,1.39,33.55,39.13,466.4,47.9,13.9,58.83,6.04,1.75,ACi,sunlit,126.13,79.28,50.62
BNL10699,2016-02-17,PA-SLZ,VOCHFE,52.34,5.89,1.58,33.13,38.63,523.4,58.9,15.8,74.49,8.38,2.25,ACi,sunlit,142.32,70.26,58.44
BNL10701,2016-02-17,PA-SLZ,TACHVE,52.92,6.23,2.14,24.73,28.84,529.2,62.3,21.4,56.11,6.61,2.27,ACi,sunlit,106.03,94.31,43.92
BNL10702,2016-02-17,PA-SLZ,CARAGU,53,6.13,1.36,38.97,45.45,530,61.3,13.6,70.32,8.13,1.80,ACi,sunlit,132.68,75.37,59.86
BNL10703,2016-02-17,PA-SLZ,APEIME,51.35,6.51,1.82,28.21,32.90,513.5,65.1,18.2,58.29,7.39,2.07,ACi,sunlit,113.52,88.09,57.89
BNL10723,2016-02-16,PA-SLZ,VOCHFE,44.54,5.95,1.29,34.53,40.27,445.4,59.5,12.9,54.84,7.33,1.59,ACi,sunlit,123.12,81.22,62.02
BNL10724,2016-02-16,PA-SLZ,TERMAM,47.84,4.69,1.41,33.93,39.57,478.4,46.9,14.1,49.12,4.82,1.45,ACi,sunlit,102.68,97.39,52.66
BNL10727,2016-02-16,PA-SLZ,GUATDU,44.1,6.6,1.92,22.97,26.79,441,66,19.2,48.45,7.25,2.11,ACi,sunlit,109.86,91.02,49.71
BNL10749,2016-02-16,PA-SLZ,MICOBO,53.59,5.4,1.65,32.48,37.88,535.9,54,16.5,53.10,5.35,1.64,ACi,sunlit,99.09,100.92,49.56
BNL10750,2016-02-16,PA-SLZ,GUATDU,47.1,5.89,1.88,25.05,29.22,471,58.9,18.8,44.11,5.52,1.76,ACi,sunlit,93.65,106.78,46.04
BNL10784,2016-03-11,PA-SLZ,TERMAM,49.48,5.26,1.58,31.32,36.52,494.8,52.6,15.8,60.63,6.45,1.94,ACi,sunlit,122.54,81.60,53.98
BNL10786,2016-02-17,PA-SLZ,APEIME,51.88,6.02,1.58,32.84,38.29,518.8,60.2,15.8,58.29,6.76,1.78,ACi,sunlit,112.36,89.00,57.52
BNL10787,2016-02-17,PA-SLZ,APEIME,54.03,6.64,1.75,30.87,36.01,540.3,66.4,17.5,75.38,9.26,2.44,ACi,sunlit,139.51,71.68,52.92
BNL10788,2016-02-17,PA-SLZ,CARAGU,53.26,5.71,1.36,39.16,45.67,532.6,57.1,13.6,65.64,7.04,1.68,ACi,sunlit,123.24,81.14,56.25
BNL10803,2016-02-17,PA-SLZ,APEIME,53.46,6.69,1.78,30.03,35.02,534.6,66.9,17.8,72.65,9.09,2.42,ACi,sunlit,135.89,73.59,51.43
BNL10805,2016-02-17,PA-SLZ,TACHVE,52.79,6.23,2.12,24.90,29.04,527.9,62.3,21.2,51.96,6.13,2.09,ACi,sunlit,98.43,101.59,46.05
BNL10807,2016-02-17,PA-SLZ,CARAGU,53.02,6.11,1.43,37.08,43.24,530.2,61.1,14.3,65.63,7.56,1.77,ACi,sunlit,123.78,80.79,57.19
BNL10880,2016-03-11,PA-SLZ,CARAGU,52.35,5.93,1.06,49.39,57.59,523.5,59.3,10.6,73.15,8.29,1.48,ACi,sunlit,139.73,71.57,55.53
BNL10882,2016-03-11,PA-SLZ,MICOBO,52.63,6.24,1.76,29.90,34.87,526.3,62.4,17.6,62.65,7.43,2.10,ACi,sunlit,119.04,84.00,51.38
