remark,SampleID,Obs,HHMMSS,data_qc,is_compound,leaf_number,tree_tag,scientist,site,species,branch_number,tree_id,FTime,EBal.,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status
NA,t34b1l1,11,14:04:42,OK,NA,NA,NA,NA,NA,NA,NA,t34,5442.5,1,15.4,0.0272,229,0.853,3.02,37.3,6,1.42,1,2.84,31.64,34.47,30.98,1199.89,1177.99,32.607,33.706,70,72.36,449.9,1967,31,100.4,-4.77,0.242,0.8,-0.22,2.74,1,0,0.16,111115
NA,t34b1l1,12,14:12:04,OK,NA,NA,NA,NA,NA,NA,NA,t34,5884.5,1,17.3,0.0244,288,0.78,3.08,37.37,6,1.42,1,2.84,31.65,34.51,30.98,1500.01,1475.43,32.416,33.42,69.53,71.68,449.9,1964,30,100.4,-7.38,0.24,0.8,-0.22,2.74,1,0,0.16,111115
NA,t34b1l1,13,14:19:26,OK,NA,NA,NA,NA,NA,NA,NA,t34,6326.5,1,19,0.0202,397,0.664,3.15,37.53,6,1.42,1,2.84,31.66,34.63,30.98,2000.02,1972.92,32.368,33.223,69.36,71.19,449.9,1964,29,100.4,-13,0.246,0.8,-0.22,2.74,1,0,0.16,111115
NA,t34b1l1,2,12:58:24,OK,NA,NA,NA,NA,NA,NA,NA,t34,1464.5,1,9.12,0.07,162,1.86,2.61,36.33,6,1.42,1,2.84,31.53,33.93,30.98,399.96,386.83,32.109,34.507,69.44,74.63,449.9,1984,20,100.5,-0.481,0.206,0.8,-0.22,2.74,1,0,0.16,111115
NA,t34b1l1,3,13:05:46,OK,NA,NA,NA,NA,NA,NA,NA,t34,1906.5,1,8.28,0.116,161,2.69,2.31,35.74,6,1.42,1,2.84,31.54,33.73,30.98,300.05,287.98,32.045,35.502,69.25,76.72,449.9,1981,37,100.5,-0.383,0.19,1,-0.22,2.74,1,0,0.16,111115
NA,t34b1l1,4,13:13:08,OK,NA,NA,NA,NA,NA,NA,NA,t34,2349,1,5.42,0.165,131,3.37,2.07,35.24,6,1.42,1,2.84,31.56,33.57,30.99,199.96,191.88,32.036,36.369,69.16,78.51,449.9,1978,36,100.5,-0.357,0.173,0.8,-0.22,2.74,1,0,0.16,111115
NA,t34b1l1,5,13:20:30,OK,NA,NA,NA,NA,NA,NA,NA,t34,2791,1,1.38,0.218,83.9,3.94,1.86,34.81,6,1.42,1,2.84,31.56,33.41,30.98,99.85,97.5,32.026,37.083,69.11,80.02,449.9,1977,36,100.5,-0.354,0.171,0.8,-0.22,2.74,1,0,0.16,111115
NA,t34b1l1,6,13:27:52,OK,NA,NA,NA,NA,NA,NA,NA,t34,3233,1,-0.843,0.252,55,4.26,1.76,34.6,6,1.42,1,2.84,31.57,33.36,30.98,49.93,50.77,31.977,37.45,68.94,80.73,449.9,1975,32,100.5,-0.473,0.166,1,-0.22,2.74,1,0,0.16,111115
NA,t34b1l1,7,13:35:14,OK,NA,NA,NA,NA,NA,NA,NA,t34,3674.5,1,11.4,0.118,210,2.79,2.37,35.92,6,1.42,1,2.84,31.63,34.01,30.98,399.99,383.3,31.992,35.583,68.72,76.44,449.9,1972,32,100.5,-0.529,0.204,0.8,-0.22,2.74,1,0,0.16,111115
NA,t34b1l1,8,13:42:36,OK,NA,NA,NA,NA,NA,NA,NA,t34,4116.5,1,11.1,0.0463,176,1.38,2.9,37.01,6,1.42,1,2.84,31.66,34.45,30.98,600.02,584.11,32.141,33.923,68.93,72.76,449.9,1969,37,100.5,-1.16,0.23,0.8,-0.22,2.74,1,0,0.16,111115
NA,t34b1l1,9,13:49:58,OK,NA,NA,NA,NA,NA,NA,NA,t34,4558.5,1,12.5,0.0347,174,1.07,2.99,37.22,6,1.42,1,2.84,31.67,34.51,30.98,800.08,782.25,32.332,33.714,69.33,72.3,449.9,1967,60,100.5,-2.22,0.237,0.2,-0.22,2.74,1,0,0.16,111115
NA,t9b1l1,1,14:36:36,OK,NA,NA,NA,NA,NA,NA,NA,t9,377,1,10.9,0.172,263,3.62,2.17,32.81,6,1.42,1,2.84,30.49,31,31,399.81,381.3,22.839,28.129,52.48,64.63,399.3,2000,2,100.7,0.108,0.0842,1,-0.22,2.74,1,0,0.16,111115
NA,t9b1l1,10,15:00:20,OK,NA,NA,NA,NA,NA,NA,NA,t9,1801,1,20.9,0.32,1020,5,1.68,31.63,6,1.42,1,2.84,30.5,30.45,31,1200.04,1160.08,22.455,29.728,51.55,68.25,400.3,1999,2,100.6,-3.44,0.0616,1,-0.22,2.74,1,0,0.16,111115
NA,t9b1l1,11,15:02:46,OK,NA,NA,NA,NA,NA,NA,NA,t9,1947,1,21.6,0.319,1300,5,1.69,31.64,6,1.42,1,2.84,30.5,30.46,31,1500.05,1456.82,22.443,29.709,51.5,68.18,400.3,1999,2,100.6,-6.08,0.0618,1,-0.22,2.74,1,0,0.16,111115
NA,t9b1l1,2,14:38:59,OK,NA,NA,NA,NA,NA,NA,NA,t9,520,1,8.16,0.201,209,3.96,2.04,32.52,6,1.42,1,2.84,30.49,30.87,31,299.92,285.95,22.776,28.558,52.32,65.6,399.3,2000,2,100.7,0.146,0.0799,1,-0.22,2.74,1,0,0.16,111115
NA,t9b1l1,3,14:41:21,OK,NA,NA,NA,NA,NA,NA,NA,t9,662,1,4.63,0.226,151,4.22,1.95,32.31,6,1.42,1,2.84,30.49,30.78,31,199.85,191.68,22.724,28.887,52.21,66.37,399.3,2000,2,100.7,0.156,0.0726,1,-0.22,2.74,1,0,0.16,111115
NA,t9b1l1,4,14:43:51,OK,NA,NA,NA,NA,NA,NA,NA,t9,812,1,0.715,0.252,90.3,4.47,1.87,32.1,6,1.42,1,2.84,30.48,30.69,31,99.82,98.09,22.66,29.174,52.07,67.04,399.3,1999,2,100.7,0.0662,0.0674,1,-0.22,2.74,1,0,0.16,111115
NA,t9b1l1,5,14:46:21,OK,NA,NA,NA,NA,NA,NA,NA,t9,962,1,-1.28,0.274,57.9,4.65,1.8,31.94,6,1.42,1,2.84,30.48,30.61,31,49.87,51.43,22.607,29.389,51.95,67.54,399.3,1999,2,100.6,0.0568,0.0628,1,-0.22,2.74,1,0,0.16,111115
NA,t9b1l1,7,14:52:10,OK,NA,NA,NA,NA,NA,NA,NA,t9,1311,1,15.4,0.31,472,4.92,1.7,31.66,6,1.42,1,2.84,30.48,30.44,31,599.87,572.63,22.473,29.63,51.65,68.1,400.3,2000,2,100.6,-0.383,0.0562,1,-0.22,2.74,1,0,0.16,111115
NA,t9b1l1,8,14:54:33,OK,NA,NA,NA,NA,NA,NA,NA,t9,1454,1,18.1,0.316,648,4.96,1.69,31.61,6,1.42,1,2.84,30.48,30.42,31,799.91,767.13,22.443,29.657,51.59,68.17,400.2,1999,2,100.6,-1.18,0.0583,1,-0.22,2.74,1,0,0.16,111125
NA,t9b1l1,9,14:57:35,OK,NA,NA,NA,NA,NA,NA,NA,t9,1636,1,19.9,0.319,829,4.99,1.68,31.62,6,1.42,1,2.84,30.49,30.43,31,999.79,962.74,22.454,29.706,51.57,68.23,400.2,1999,2,100.6,-2.27,0.0525,1,-0.22,2.74,1,0,0.16,111125
