Site,Plot,USDA_Species,Tree_Plant_Number,Leaf_Number,Canopy_Position,Leaf_Age,Sample_Name,Rep,Date,Leaf_Area_sq_cm,Mean.Tair,Mean.Tleaf,PercCV.Tleaf,Mean.RH_R,Mean.RH_S,Mean.VpdA,Mean.VpdL,PercCV.VpdL,Mean.PARi,Mean.PARo,Mean.Ci_over_Ca,PercCV.Ci_Ca,Mean.Cond,PercCV.Cond,Leaf_Absorption,Mean.Fs,Mean.qP,Mean.Fv_Prime_over_Fm_Prime,Mean.PhiPS2,Max.ETR,Max.Fs,Max.qP,Max.Fv_Prime_over_Fm_Prime,Max.PhiPS2,Meas.Photo.atCO2R.400,Meas.CiCa.atCO2R.400,Mod.Photo.atCi.388,Mod.Photo.atCi.388.timesCiCa,Est.Photo.stomata.limit,Est.Ci.colimit,Fitted.Vcmax,Fitted.Jmax,Fitted.Rd,RMSE.DEoptim,RMSE.photo
CVARS,Plot1,Grape,-9999,3,Top,New,CVARS_Plot1_Grape_L3TN_GE,3,6/8/13,2,21.81579304,26.54859693,0.788697308,57.71283259,62.48610633,1.38732455,1.844863864,5.938508757,2000.197798,39.39310156,0.752340479,21.91218234,0.102657442,11.34646272,0.842459646,650.8582241,0.434760144,0.348981552,0.155520602,146.9779244,665.8692932,0.462929651,0.376374998,0.174388533,10.20684895,0.604580656,16.08726905,9.2700961,6.817172947,379,65.0214374,119.5720533,2.429304863,1.495523574,2.550569885
CVARS,Plot1,Grape,-9999,4,Top,New,CVARS_Plot1_Grape_L4TN_GE,1,6/7/13,2,31.54462106,35.30972072,0.348607914,40.84789385,48.81059102,2.903339284,3.474752451,0.481570999,2000.674508,29.01222747,0.874371248,40.43977853,0.159943003,7.518730334,0.925485875,577.9665615,0.5861186,0.399047593,0.237766005,-9999,-9999,-9999,-9999,-9999,15.55620166,0.500503349,39.488017,15.80311454,23.68490246,-9999,277.191678,-9999,1.834258361,0.211627135,0.211627135
CVARS,Plot1,Grape,-9999,4,Top,New,CVARS_Plot1_Grape_L4TN_GE,2,6/7/13,2,32.34015356,35.26235853,1.333466507,35.49235344,46.10930906,3.041194654,3.488729713,5.159929872,1999.906546,50.29173946,0.77800217,27.96150786,0.224578533,9.819831878,0.925528449,587.3158569,0.626971914,0.430094162,0.271909533,264.124381,584.1269124,0.632556154,0.446471244,0.285352289,19.95445443,0.624164407,35.08052691,19.66308028,15.41744664,71,244.3349389,220.0172578,1.628145334,1.814927637,4.070573228
CVARS,Plot1,Grape,-9999,5,Top,New,CVARS_Plot1_Grape_L5TN_GE,1,6/8/13,2,23.8909328,28.99788761,0.716710464,57.69568491,64.95576668,1.533554945,2.090955815,10.8896916,2000.0578,42.7534771,0.709042127,32.80449078,0.153244631,22.43086406,0.867694158,604.721138,0.515110405,0.358195698,0.186528304,185.4827043,613.4216919,0.534978713,0.398932427,0.213747878,12.76382609,0.404961717,35.27776492,11.53774176,23.74002316,146,157.2530467,165.2306093,2.66664638,0.94060662,2.843653332
CVARS,Plot1,Grape,-9999,6,Top,New,CVARS_Plot1_Grape_L6TN_GE,1,6/8/13,2,23.54443795,28.45103591,0.287965331,61.38930293,66.28827231,1.443117113,1.964928106,1.849028432,1999.508405,8.708794594,0.715340337,30.94696525,0.109311926,11.3094761,0.901035532,645.6756156,0.374802387,0.385629775,0.145410379,136.4852421,664.1845296,0.373255866,0.406165759,0.151564571,14.59215008,0.512802459,28.22031544,13.51955128,14.70076415,51,119.9501602,120.3106211,1.846547177,0.437974781,2.586575218
CVARS,Plot1,Grape,-9999,7,Top,New,CVARS_Plot1_Grape_L7TN_GE,1,6/8/13,2,23.45411658,28.20091725,1.663877126,67.38896561,73.7663765,1.202372534,1.702709787,7.794969027,1999.089218,17.09321749,0.704765724,31.04567545,0.16854287,34.53759399,0.85924523,691.5571136,0.447355851,0.407530982,0.182754604,177.5401115,740.6792196,0.443498516,0.470558859,0.206561657,14.66927377,0.514887659,29.71627137,14.08351839,15.63275298,201,126.7123206,159.5230061,2.579417812,0.513036835,2.609464754
CVARS,Plot1,Grape,-9999,8,Top,New,CVARS_Plot1_Grape_L8TN_GE,1,6/8/13,2,24.36296245,28.49304771,0.507710018,59.13854817,66.16939654,1.435400006,1.88009605,1.264734619,1999.449602,13.60514246,0.821410497,15.03943931,0.173335124,2.07052327,0.845036822,766.191476,0.36033849,0.389904013,0.141522717,152.0392347,746.5984497,0.429837405,0.417829245,0.179725271,10.27357236,0.73627598,13.89231776,10.23036922,3.66194854,51,59.44951462,123.6342183,0.965738557,1.276710479,2.480773586
CVARS,Plot2,CAAN4,1,1,Top,New,CVARS_Plot2_CAAN4_L1T1_GE,1,6/6/13,2,26.3115871,29.20138168,0.934894073,56.56654453,68.75256252,1.377397851,1.704419152,4.18388134,2000.027039,2.206823751,0.811662159,16.32069014,0.387800638,27.48381648,0.931865588,820.8017426,0.636306373,0.466418366,0.302243794,346.8027266,861.8904724,0.687985871,0.541195747,0.37233246,27.72383565,0.679175512,27.12965621,18.19117455,8.938481652,843,121.0267206,282.2757945,1.657192011,0.100030062,7.328729114
CVARS,Plot2,CAAN4,1,1,Top,New,CVARS_Plot2_CAAN4_L1T1_GE,2,6/6/13,2,31.40655637,32.1658144,0.397130183,43.56801367,57.32776213,2.070657551,2.173184604,1.106424768,2000.183594,2.707396299,0.79187722,19.45635849,0.455310416,3.525654748,0.931861725,795.2635193,0.678877623,0.462587226,0.316912247,348.8787818,845.2665609,0.70565953,0.530290297,0.374203093,30.71032046,0.667991751,49.18493654,31.69111781,17.49381873,61,264.9574988,311.2732628,1.571756248,0.566053577,5.041208085
CVARS,Plot2,CAAN4,1,1,Top,New,CVARS_Plot2_CAAN4_L1T1_GE,3,6/6/13,2,34.25819254,33.96296072,0.365187291,36.93144751,50.79124021,2.622874219,2.578835115,1.275920826,2000.149506,2.948093116,0.790743434,20.96142839,0.452798081,5.669225212,0.93185678,792.1798859,0.683853301,0.459268688,0.31730291,351.169471,847.7769165,0.711167243,0.529950242,0.376879253,30.6602141,0.659512183,51.51764859,32.18007486,19.33757374,245,315.2408861,318.9799684,1.047920529,0.509183356,5.126772489
CVARS,Plot2,CAAN4,1,1,Top,New,CVARS_Plot2_CAAN4_L1T1_GE,4,6/6/13,2,37.07598925,35.59325171,0.302472011,32.63690662,46.78946162,3.117222931,2.874394512,1.735530723,1999.552521,2043.570465,0.786889687,20.18784122,0.485380505,4.123290856,0.931854589,823.8057022,0.69478396,0.474950567,0.332762394,363.6488773,898.4131877,0.711470831,0.548724002,0.390388168,32.27336423,0.664280217,57.18674097,35.78369637,21.4030446,199,390.3018559,327.6574434,-0.064528034,0.515112838,5.270461436
CVARS,Plot2,CAAN4,2,1,Top,New,CVARS_Plot2_CAAN4_L1T2_GE,1,6/6/13,2,26.00767064,28.9560833,2.7169814,-0.374033566,16.43340707,3.127829384,3.460077178,10.15290644,1999.471893,1.979155421,0.613192835,20.90067417,0.259306827,43.02936681,0.937590136,1061.508949,0.639710776,0.472375724,0.304834783,352.4406084,1171.800008,0.677549162,0.555067642,0.376108266,26.27895047,0.547608773,51.2804756,27.77653583,23.50393977,237,214.3406234,279.5497166,0.517034975,0.571543066,3.840204627
CVARS,Plot2,CAAN4,2,2,Top,New,CVARS_Plot2_CAAN4_L2T2_GE,1,6/6/13,2,27.23407173,30.30711722,1.166002353,55.3815093,67.8081646,1.509388327,1.877145572,13.80400686,1999.779282,1.476132527,0.770591292,21.13529832,0.379107289,16.66448357,0.927841684,1036.197708,0.638603891,0.478644407,0.309567273,354.0485943,1202.070272,0.668304554,0.571324127,0.381835139,26.80138332,0.630979943,49.08636642,30.3205208,18.76584562,242,229.8382571,282.158587,1.425928953,0.534135558,4.929705296
CVARS,Plot2,CAAN4,2,2,Top,New,CVARS_Plot2_CAAN4_L2T2_GE,2,6/6/13,2,31.75477624,32.31424522,0.686731249,45.55847693,57.90844298,2.057199276,2.133683859,4.07863688,1999.877884,1.628002122,0.78262113,18.86522503,0.42430357,6.707040748,0.927837619,1072.218605,0.673255044,0.495702723,0.336142469,366.5560805,1240.906413,0.686445905,0.575870264,0.395310089,29.94615428,0.673542899,47.97592609,31.34281059,16.6331155,278,258.6419686,304.0206072,1.012185154,0.633744743,4.934343748
CVARS,Plot2,CAAN4,2,2,Top,New,CVARS_Plot2_CAAN4_L2T2_GE,3,6/6/13,2,34.20623016,33.8561964,0.360507912,40.40221262,52.15712929,2.533175355,2.481241428,3.6490917,1999.792862,2.042134792,0.781645527,23.47812071,0.396724524,7.541797737,0.927826206,1069.646919,0.683684148,0.496654428,0.341742284,370.1466121,1244.368164,0.69350818,0.57538215,0.399014312,29.23301857,0.631628521,52.13917202,30.59056999,21.54860203,228,320.7331696,315.3557169,1.793082161,0.400467622,5.036241434
CVARS,Plot2,CAAN4,2,2,Top,New,CVARS_Plot2_CAAN4_L2T2_GE,4,6/6/13,2,37.04498911,35.58237696,0.59108121,35.60865211,47.8065567,3.05117643,2.811970589,3.063640289,2000.085739,2068.189728,0.78171583,20.2184637,0.424916881,5.70353553,0.927836918,1102.971283,0.692818879,0.506877425,0.352476817,369.8657098,1274.790772,0.690405324,0.577185391,0.398477642,29.51479894,0.661563708,50.26744922,31.17590397,19.09154525,240,344.9728853,315.722052,0.260690548,1.098015675,5.137116222
CVARS,Plot1,CAAN4,-9999,1,Top,New,CVARS_Plot1_CAAN_L1T_GE,1,4/15/14,2,24.77664648,27.19547272,0.332197885,71.64513942,81.05384173,0.828350133,1.077348064,2.334630509,1999.736974,4.888755526,0.834158785,12.43848631,0.426888915,6.934021748,0.938633144,777.0066092,0.661408775,0.407765106,0.271576739,299.1380072,820.8578084,0.675284658,0.471922366,0.318672362,23.23203512,0.716574725,32.02996324,23.43435209,8.595611145,392,122.18658,221.4061851,1.316714049,0.870612404,3.961917195
CVARS,Plot1,CAAN4,-9999,1,Top,New,CVARS_Plot1_CAAN_L1T_GE,2,4/15/14,2,30.44649983,30.34931231,0.644465282,53.60012245,64.62545395,1.534126647,1.522059089,2.95503548,1999.364258,4.874057531,0.831442223,13.54063913,0.495333548,2.562109208,0.938629628,806.1788712,0.68345876,0.433002799,0.297314495,331.439554,899.1074016,0.692696404,0.509942139,0.353228707,26.64626464,0.742944456,36.51927971,27.0734438,9.44583591,56,171.675071,259.5602235,1.103521667,0.283060997,4.488342426
CVARS,Plot1,CAAN4,-9999,1,Top,New,CVARS_Plot1_CAAN_L1T_GE,3,4/15/14,2,34.57839394,32.87461567,0.913523883,44.34422207,54.89963007,2.233108587,1.988022374,4.004260138,1999.678223,1402.361941,0.811072186,16.28734764,0.457579609,11.63310645,0.938629031,840.2756805,0.700578031,0.45443349,0.319325422,346.8238584,934.5039876,0.702685485,0.525914198,0.369561532,28.03058387,0.720969974,41.48290918,29.06816345,12.41474574,291,235.5139882,274.635102,1.250062601,0.287223967,4.44721111
CVARS,Plot1,CAAN4,-9999,4,Top,New,CVARS_Plot1_CAAN_L4T_GE,1,4/15/14,2,26.26254654,29.16474104,0.920468522,65.45870591,73.48026657,1.21381794,1.542390636,4.95810603,1999.248596,5.302036047,0.745284865,8.137294172,0.274480074,18.24704357,0.911468732,872.1862183,0.686951989,0.478357709,0.328234931,311.6367168,906.1623128,0.681911536,0.501630237,0.342038197,15.11113545,0.677165523,-9999,-9999,-9999,-9999,-9999,347.2768641,-9999,1.159728538,8.190115692
CVARS,Plot1,CAAN4,-9999,4,Top,New,CVARS_Plot1_CAAN_L4T_GE,2,4/15/14,2,26.27317476,28.78891993,0.655116907,63.95209503,74.37699318,1.141840727,1.422539247,3.798593641,1999.044647,5.324406505,0.872390113,22.11736905,0.390390796,11.7865594,0.911468732,763.000061,0.683465093,0.375654673,0.258303943,-9999,-9999,-9999,-9999,-9999,21.58611827,0.714809145,33.0313408,23.26002148,9.771319321,-9999,147.6380982,-9999,3.11754691,0.051074301,0.639492209
CVARS,Plot1,CAAN4,-9999,4,Top,New,CVARS_Plot1_CAAN_L4T_GE,3,4/15/14,2,25.30753756,27.9910202,0.546828275,65.64118004,78.31279945,0.97023088,1.256967041,2.542498304,1998.274659,5.395769835,0.866974139,18.41703968,0.512682286,6.203023039,0.911468732,756.404892,0.675351343,0.381394986,0.25916792,-9999,-9999,-9999,-9999,-9999,26.07065801,0.738367038,37.38203916,27.74499951,9.637039647,-9999,154.4530254,-9999,2.571710444,0.055468239,0.323817653
CVARS,Plot1,CAAN4,-9999,4,Top,New,CVARS_Plot1_CAAN_L4T_GE,4,4/15/14,2,36.41032314,32.53633451,0.736440569,34.44192982,46.85019875,2.625717125,2.062211982,2.292592593,2000.0793,1950.935471,0.861416495,15.7630746,0.578238645,3.844591755,0.911450681,822.4456787,0.72415904,0.450210431,0.326456384,333.4513314,897.5005493,0.711610681,0.514042997,0.365789573,27.3999684,0.759593267,40.32420259,29.63825416,10.68594843,288,233.0941928,275.5842169,3.083927928,0.180074488,4.51030232
CVARS,Plot1,CAAN4,-9999,6,Top,New,CVARS_Plot1_CAAN_L6T_GE,1,4/15/14,2,25.97811699,28.63274829,2.122750162,57.4658076,68.39849938,1.339456184,1.634021552,7.504140093,2000.313463,5.211821132,0.773660971,17.9654746,0.352750443,22.54646169,0.927640802,824.9352892,0.678232601,0.440688527,0.299021845,331.3336953,912.0408935,0.663678945,0.53804475,0.357028739,22.34724008,0.651465247,36.03926957,23.36991932,12.66935024,444,152.5826038,273.1954486,1.695337756,0.777410456,4.280583351
CVARS,Plot1,CAAN4,-9999,6,Top,New,CVARS_Plot1_CAAN_L6T_GE,2,4/15/14,2,35.46344328,32.9957571,0.834153621,32.28586412,42.91697789,2.924014722,2.561378498,7.340489809,2000.274353,1166.343126,0.770668383,20.31676916,0.377672348,22.09505678,0.927636572,837.3931351,0.708685619,0.472839868,0.336881311,361.8252099,908.2502289,0.715427319,0.545081302,0.38993901,27.20494876,0.704520389,42.04164293,28.56497583,13.47666709,334,242.1139604,300.5550103,1.48268957,1.348385576,5.670291914
CVARS,Plot1,Lemon,-9999,1,Top,-9999,CVARS_Plot1_Lemon_L1T_GE,1,4/17/14,2,26.83588314,30.15200353,0.547080242,74.15736675,79.68713284,1.081183011,1.473401048,4.57538416,1999.676651,1.603503898,0.772136032,20.57196694,0.202326606,16.12642439,0.953123999,675.2198029,0.528635998,0.35011564,0.18525499,196.9835996,665.8434042,0.514243623,0.401947081,0.20669482,15.91675787,0.649367728,26.86433752,17.11419089,9.750146628,238,125.3380893,154.003909,0.999044767,0.60407155,2.594579254
CVARS,Plot1,Lemon,-9999,3,Top,-9999,CVARS_Plot1_Lemon_L3T_GE,1,4/17/14,2,26.73288727,29.36260681,0.277126502,63.18340073,68.60601654,1.388779039,1.690014188,2.608551511,1998.669824,1.866935492,0.798345936,22.82058366,0.173619756,28.58959241,0.901196979,657.944397,0.385846735,0.273479393,0.106334064,-9999,-9999,-9999,-9999,-9999,11.97505434,0.684653544,17.19166291,11.62990425,5.561758667,-9999,77.31154593,-9999,0.99253741,0.3019879,0.294041619
CVARS,Plot1,Lemon,-9999,3,Top,-9999,CVARS_Plot1_Lemon_L3T_GE,2,4/17/14,2,29.52676621,31.14931411,0.868745536,56.18462906,62.77859345,1.741769706,1.947926751,5.039264258,2000.188061,1.649421311,0.836550915,20.18948294,0.214248085,10.9948132,0.901185001,625.7262207,0.43278143,0.264302733,0.116543146,-9999,-9999,-9999,-9999,-9999,12.94754603,0.728009171,18.68336366,13.32824324,5.355120426,-9999,95.32121483,-9999,1.016827304,0.226394252,0.554222969
CVARS,Plot1,PHDA4,-9999,1,Top,-9999,CVARS_Plot1_PHDA4_L1T_GE,1,4/16/14,2,26.81469663,29.62876829,0.963423986,64.27114317,69.34935421,1.390075003,1.716414943,6.218829587,1999.826877,96.05932978,0.78644535,22.22607256,0.158273883,10.14999192,0.884743178,765.5081923,0.350264982,0.45673621,0.16147729,171.0763198,755.6915894,0.385145955,0.501973812,0.193306589,12.75858384,0.658719795,17.21925147,10.795839,6.423412466,54,82.92573276,144.6805815,1.917064799,1.294554276,2.945824344
CVARS,Plot1,PHDA4,-9999,1,Top,-9999,CVARS_Plot1_PHDA4_L1T_GE,2,4/16/14,2,31.2502017,32.44072342,0.298972368,49.09443617,55.71413899,2.184337137,2.346377573,4.220123117,1999.042282,3.391909599,0.79033026,20.46489927,0.194731761,10.02998643,0.884739856,673.6288605,0.401047824,0.425048059,0.17219279,183.2762074,675.6752116,0.440327143,0.47011137,0.207209929,13.77876834,0.667022874,21.3528723,13.49842358,7.854448717,62,120.3714926,154.6973494,1.230279994,1.277361702,2.771602886
CVARS,Plot1,PHDA4,-9999,1,Top,-9999,CVARS_Plot1_PHDA4_L1T_GE,3,4/16/14,2,35.41897822,35.18860865,0.588792637,34.95297432,41.43101168,3.349436103,3.313179538,4.719136245,1999.935303,3.834300309,0.757906221,27.19103985,0.170013659,12.69943284,0.8847356,638.5492172,0.463836299,0.414051992,0.194852375,221.348882,640.0373535,0.538328794,0.464574164,0.250170133,13.63319684,0.636260252,21.69078601,12.53053026,9.160255746,376,149.6195664,174.6874804,0.93427858,0.598625486,2.836681656
CVARS,Plot1,PHDA4,-9999,4,Top,-9999,CVARS_Plot1_PHDA4_L4T_GE,1,4/16/14,2,29.30441499,31.07353568,0.265965835,37.94239473,48.48839569,2.322668932,2.546102563,5.724423673,1999.480469,7.314639926,0.792975379,16.92978842,0.257522571,4.506021409,0.856379676,538.0012512,0.536411154,0.432506565,0.234569474,245.6236896,544.8140462,0.583048732,0.49221603,0.286991589,16.87595256,0.689862144,24.62908911,16.60469433,8.02439478,58,123.5266602,178.6134207,1.047627051,0.494009797,2.927841616
CVARS,Plot1,PHDA4,-9999,4,Top,-9999,CVARS_Plot1_PHDA4_L4T_GE,2,4/16/14,2,34.97342873,33.66253376,0.547817149,18.17391062,28.54030776,3.827096305,3.631636585,3.949811775,2000.011078,8.76486063,0.767027054,18.97840854,0.244271788,13.92057295,0.856377488,515.0587387,0.553557502,0.423588266,0.238066659,258.6691336,527.6795044,0.622125856,0.485078507,0.301893961,16.37509353,0.680313136,26.67579856,17.3862877,9.289510863,341,159.2549873,192.4600299,0.511538907,1.131763416,3.321199581
CVARS,Plot1,PHDA4,-9999,4,Top,-9999,CVARS_Plot1_PHDA4_L4T_GE,3,4/16/14,2,36.08178473,34.03160477,1.101796205,14.01273012,24.4451797,4.200787955,3.887745585,3.994303058,1999.583435,10.03844273,0.771180964,20.32385815,0.24340354,13.75543024,0.85637531,503.3441238,0.556037507,0.409510885,0.231764868,261.2757196,519.0890706,0.62944293,0.485055199,0.305320417,15.53402366,0.659704171,25.92297317,16.11127257,9.8117006,67,160.7305639,195.2537593,0.72473493,0.803450014,3.238140918
CVARS,Plot1,PHDA4,-9999,7,Top,-9999,CVARS_Plot1_PHDA4_L7T_GE,1,4/16/14,2,30.79513383,32.66784191,0.531189249,14.33781397,22.1897831,3.713595927,3.969302666,1.940300012,2000.559601,1626.069825,0.742423935,31.75092498,0.13153501,14.04005362,0.867997256,610.1585846,0.44966321,0.411937788,0.187745258,205.815221,599.1927287,0.522462172,0.453672637,0.237040411,11.98004522,0.621537089,19.34934886,10.98046681,8.368882046,380,113.0290926,152.383163,1.490581085,0.434644873,2.466630175
CVARS,Plot1,CAAN4,-9999,1,Top,New,CVARS_Plot1_CAAN_L1T_GE,1,6/6/14,2,35.80006256,35.18004379,0.015589896,31.07383919,42.02505493,3.322064553,3.223522268,3.471362081,1999.294555,4.085128975,0.819605348,27.08675783,0.31228738,26.09649579,0.909871111,828.3699341,0.574973234,0.407233024,0.237550883,-9999,-9999,-9999,-9999,-9999,23.63684206,0.670172263,37.64076026,23.71639952,13.92436074,-9999,252.3505427,-9999,0.549966247,0.449843691,0.756244973
