unique,Variety,Row,Position,SampleID,leaf.area.cm2,leaf.dry.mass.g,lma.g.m2,leafn,leafc
71,m,r19,p1,m_r19_p1,56.949,0.334,58.64896662,3.549,42.22
72,m,r19,p10,m_r19_p10,58.704,0.422,71.8860725,2.6025,41.139
73,m,r19,p2,m_r19_p2,268.717,2.085,77.59092279,3.8653,43.742
74,m,r19,p3,m_r19_p3,195.676,1.539,78.65042213,3.759,42.905
75,m,r19,p4,m_r19_p4,206.906,1.725,83.37119272,3.3547,43.459
76,m,r19,p5,m_r19_p5,62.799,0.433,68.95014252,3.0557,42.325
77,m,r19,p6,m_r19_p6,62.46,0.39,62.43996158,3.0181,42.494
78,m,r19,p7,m_r19_p7,68.672,0.429,62.47087605,3.1399,42.117
79,m,r19,p8,m_r19_p8,70,0.442,63.14285714,3.2175,43.304
80,m,r19,p9,m_r19_p9,80.304,0.58,72.22554294,3.1011,43.01
81,m,r20,p1,m_r20_p1,34.741,0.253,72.82461645,2.8732,44.463
82,m,r20,p10,m_r20_p10,59.427,0.515,86.66094536,3.1769,44.998
83,m,r20,p2,m_r20_p2,266.019,2.261,84.99392901,3.4605,45.357
84,m,r20,p3,m_r20_p3,222.772,1.881,84.43610508,2.6076,46.093
85,m,r20,p4,m_r20_p4,67.917,0.432,63.60704978,3.8184,45.2
86,m,r20,p5,m_r20_p5,191.159,1.39,72.71433728,3.7651,44.759
87,m,r20,p6,m_r20_p6,67.669,0.479,70.78573645,3.2092,45.406
88,m,r20,p7,m_r20_p7,47.652,0.332,69.67178712,3.3939,43.219
89,m,r20,p8,m_r20_p8,60.483,0.426,70.43301424,3.6095,44.933
90,m,r20,p9,m_r20_p9,62.362,0.412,66.06587345,3.0884,44.039
91,pn,r37,p1,pn_r37_p1,145.499,0.875,60.13787036,3.1056,45.192
92,pn,r37,p10,pn_r37_p10,209.883,1.922,91.57482979,4.1159,44.07
93,pn,r37,p2,pn_r37_p2,174.533,1.37,78.49518429,3.4768,44.694
94,pn,r37,p3,pn_r37_p3,103.025,0.718,69.69182237,3.1242,44.804
95,pn,r37,p4,pn_r37_p4,139.395,1.264,90.67757093,3.3062,43.157
96,pn,r37,p5,pn_r37_p5,203.918,1.821,89.30060122,3.6262,44.686
97,pn,r37,p6,pn_r37_p6,59.385,0.466,78.47099436,3.1724,43.968
98,pn,r37,p7,pn_r37_p7,108.562,1.078,99.29809694,3.4701,44.96
99,pn,r37,p8,pn_r37_p8,97.631,0.67,68.62574387,3.3282,45.828
100,pn,r37,p9,pn_r37_p9,111.248,0.774,69.57428448,4.0361,44.666
101,pn,r38,p1,pn_r38_p1,192.853,1.56,80.89062654,3.9476,44.658
102,pn,r38,p10,pn_r38_p10,117.144,0.842,71.87734754,3.4302,44.855
103,pn,r38,p2,pn_r38_p2,178.353,1.107,62.06792148,3.7183,44.904
104,pn,r38,p3,pn_r38_p3,62.149,0.535,86.08344463,2.0361,44.797
105,pn,r38,p4,pn_r38_p4,141.123,1.009,71.49791317,3.3091,43.644
106,pn,r38,P5,pn_r38_p5,77.384,0.553,71.46180089,3.3227,44.356
107,pn,r38,p6,pn_r38_p6,222.499,1.832,82.33744871,3.9902,44.951
108,pn,r38,p7,pn_r38_p7,89.924,0.643,71.5048263,3.1402,43.15
109,pn,r38,p8,pn_r38_p8,169.629,1.491,87.89770617,3.6981,44.793
110,pn,r38,p9,pn_r38_p9,65.178,0.426,65.35947712,3.2557,44.041
111,pn,r39,p1,pn_r39_p1,188.625,1.262,66.90523526,3.4759,44.636
112,pn,r39,p10,pn_r39_p10,192.909,1.446,74.95762251,4.3295,44.512
113,pn,r39,p2,pn_r39_p2,131.451,0.926,70.44450023,3.7183,44.904
114,pn,r39,p3,pn_r39_p3,124.857,0.924,74.00466133,3.0298,44.556
115,pn,r39,p4,pn_r39_p4,173.873,1.168,67.17546715,3.2317,44.194
116,pn,r39,p5,pn_r39_p5,,,,3.3097,44.207
117,pn,r39,p6,pn_r39_p6,86.255,0.562,65.15564315,3.4004,44.053
118,pn,r39,p7,pn_r39_p7,218.467,1.686,77.17412698,2.4504,42.738
119,pn,r39,p8,pn_r39_p8,55.815,0.447,80.08599839,3.4515,45.029
120,pn,r39,p9,pn_r39_p9,249.764,2.075,83.07842603,3.2557,44.041
121,sb,r29,p1,sb_r29_p1,60.579,0.453,74.77838855,3.8979,44.672
122,sb,r29,p10,sb_r29_p10,199.72,1.808,90.52673743,3.8979,44.672
123,sb,r29,p2,sb_r29_p2,168.39,1.507,89.49462557,3.355,44.499
124,sb,r29,p3,sb_r29_p3,231.78,1.715,73.99257917,3.7641,45
125,sb,r29,p4,sb_r29_p4,136.646,0.761,55.69134845,3.3511,44.53
126,sb,r29,p5,sb_r29_p5,153.627,1.213,78.95747492,3.5362,43.933
127,sb,r29,p6,sb_r29_p6,39.075,0.229,58.60524632,3.1353,43.545
128,sb,r29,p7,sb_r29_p7,250.093,2.311,92.40562511,3.6506,44.674
129,sb,r29,p8,sb_r29_p8,196.565,1.532,77.93859538,4.1329,44.03
