SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Plant_type
vio_r26_p7,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r26_p8,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r26_p9,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r27_p1,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r27_p10,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r27_p2,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r27_P3,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r27_P4,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r27_p5,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r27_p6,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r27_p7,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r27_p8,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r27_p9,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
