SampleID,SampleID_num,Record,A,Ci,Patm,Qin,Tleaf,Ca,Pci,Pca,gsw,RHs,VPDleaf,CO2s,CO2r
cf_r3_p1,1,99,31.83078287,894.7149609,99.89033639,1500,28.11740936,1211.658929,89.46284991,121.1541839,0.182481824,58.49733229,1.712630723,1211.658929,1269.215357
cf_r3_p1,1,100,32.11860075,902.7533447,99.89029429,1500,28.1229681,1224.928571,90.26657261,122.4809683,0.1809911,58.48798177,1.713392822,1224.928571,1282.658214
cf_r3_p1,1,101,32.2698607,914.6958184,99.89008468,1500,28.12487569,1238.274286,91.46051234,123.8151507,0.181195659,58.48611717,1.713067107,1238.274286,1296.282143
cf_r3_p1,1,102,32.08343699,928.6017235,99.89008612,1500,28.13265336,1251.668929,92.8509663,125.1544839,0.180679459,58.48671088,1.712530646,1251.668929,1309.761429
cf_r3_p1,1,103,32.38505019,939.5961891,99.88967852,1500,28.13720122,1265.054286,93.94992089,126.4923713,0.181127507,58.48818961,1.712949404,1265.054286,1323.230357
cf_r3_p1,1,104,32.24872279,954.9163278,99.88916516,1500,28.14118416,1278.420714,95.48128641,127.8282199,0.181852306,58.48728905,1.713894167,1278.420714,1336.681786
cf_r3_p1,1,105,32.34745757,965.6868235,99.88892095,1500,28.15057316,1291.742857,96.55798346,129.1599744,0.181036739,58.47214206,1.715916134,1291.742857,1349.966429
cf_r3_p1,1,106,32.40065163,972.1023291,99.88866997,1500,28.17244718,1305.028214,97.19921896,130.4880354,0.177276273,58.45252936,1.71751378,1305.028214,1363.363571
cf_r3_p1,1,107,32.54980641,985.6383432,99.88882159,1500,28.17338929,1318.332143,98.55281645,131.8184774,0.178493806,58.44650621,1.718105873,1318.332143,1376.735357
cf_r3_p1,1,108,32.27288121,1000.214982,99.88941028,1500,28.18137219,1331.642857,100.0109062,133.150184,0.177946266,58.46497235,1.718356636,1331.642857,1390.158929
cf_r3_p1,1,109,32.54214521,1010.328059,99.88934376,1500,28.18659409,1345.020357,101.0220396,134.4877029,0.177674268,58.5074944,1.718021836,1345.020357,1403.695
cf_r3_p1,1,110,32.4921561,1023.715818,99.88902635,1500,28.19012171,1358.441429,102.3603479,135.8292357,0.177591968,58.55506094,1.717087366,1358.441429,1417.189643
cf_r3_p1,1,111,32.5646111,1031.044585,99.88890446,1500,28.20465222,1371.859643,103.0930185,137.1707428,0.174533855,58.59351038,1.716060356,1371.859643,1430.704286
cf_r3_p1,1,112,32.7837691,1044.388222,99.88895621,1500,28.19513546,1385.298929,104.4272882,138.5145938,0.175897537,58.64547005,1.715226365,1385.298929,1444.256429
cf_r3_p1,1,113,32.56173468,1058.308392,99.88959755,1500,28.19188951,1398.718571,105.8198302,139.857307,0.175171546,58.70731677,1.713390893,1398.718571,1457.750714
cf_r3_p1,1,114,33.12994061,1067.706714,99.89003172,1500,28.178922,1412.141429,106.7600282,141.2000663,0.176095302,58.77768287,1.711187861,1412.141429,1471.304643
cf_r3_p1,1,115,32.90826934,1083.976673,99.89019047,1500,28.16484174,1425.554286,108.387034,142.5414445,0.176768187,58.84670698,1.708202265,1425.554286,1484.796071
cf_r3_p1,1,116,32.89011125,1097.45085,99.89004557,1500,28.15508948,1438.91,109.7341605,143.8766765,0.176920933,58.89225854,1.704833136,1438.91,1498.038214
cf_r3_p1,1,117,33.00447552,1109.663058,99.88998651,1500,28.14621222,1452.174643,110.9551942,145.202923,0.177111771,58.91938823,1.702497886,1452.174643,1511.370714
cf_r3_p1,1,118,32.95756905,1123.398413,99.89072831,1500,28.13766366,1465.414286,112.3294255,146.5278417,0.17734526,58.93844108,1.700483187,1465.414286,1524.651429
cf_r3_p1,1,119,32.94974342,1139.579136,99.89073737,1500,28.12377005,1478.671071,113.9473581,147.8534107,0.179304797,58.96049266,1.699999876,1478.671071,1538.067143
cf_r3_p1,1,120,33.30628734,1151.828383,99.89043338,1500,28.11431791,1491.981429,115.1718192,149.1838696,0.180857498,58.98134789,1.699392568,1491.981429,1551.648929
cf_r3_p1,1,121,33.10913472,1168.466029,99.89027982,1500,28.11745525,1508.123333,116.8352452,150.797674,0.18032874,58.98973139,1.69868796,1508.123333,1567.823333
cf_r3_p1,1,122,32.8718166,1180.134716,99.88967279,1500,28.12107016,1518.622857,118.0012841,151.8466027,0.179910161,58.98263222,1.699115736,1518.622857,1578.324286
cf_r3_p1,1,123,33.33334,1187.598728,99.88934,1500,28.12855447,1531.919643,118.747213,153.175634,0.179123564,58.9543728,1.699843668,1531.919643,1591.598929
cf_r3_p1,1,124,33.20475812,1199.905496,99.88995354,1500,28.13697456,1545.180357,119.9784948,154.5025122,0.178073174,58.91599142,1.700980039,1545.180357,1604.861429
cf_r3_p1,1,125,33.35796895,1211.640092,99.89036092,1500,28.13978805,1559.430741,121.1523301,155.9280426,0.177660891,58.88604239,1.702774319,1559.430741,1619.279259
cf_r3_p1,1,126,33.35254638,1222.133279,99.89053417,1500,28.14245206,1571.786786,122.2017594,157.1638004,0.176741494,58.86880531,1.704241747,1571.786786,1631.728929
cf_r3_p1,1,127,33.31725277,1229.93741,99.89077994,1500,28.15231816,1585.06,122.9824009,158.4913857,0.173581244,58.8715905,1.704725506,1585.06,1645.081429
cf_r3_p1,1,128,33.57859755,1241.20032,99.89029133,1500,28.14448539,1598.353571,124.1079816,159.8198393,0.174009667,58.90030536,1.703755426,1598.353571,1658.502143
cf_r3_p1,1,129,33.06513091,1260.29746,99.8895892,1500,28.13573155,1611.688214,126.0166253,161.1520425,0.17476767,58.93776563,1.702137383,1611.688214,1671.888571
cf_r3_p1,1,130,33.56896946,1270.397809,99.8892588,1500,28.12812834,1625.041071,127.0261353,162.4866523,0.175779442,58.97969016,1.699967904,1625.041071,1685.384643
cf_r3_p1,1,131,33.44602214,1286.395329,99.88934488,1500,28.12092919,1638.449286,128.6258262,163.8274707,0.17684308,59.00878389,1.699001798,1638.449286,1698.944286
cf_r3_p1,1,132,33.15368819,1301.549549,99.8899698,1500,28.12000203,1651.910357,130.1419001,165.1744667,0.176473773,59.01669768,1.698874256,1651.910357,1712.458929
cf_r3_p1,1,133,33.41731638,1311.479691,99.88993214,1500,28.12018107,1665.393929,131.1347653,166.522626,0.176045053,59.00765318,1.699958342,1665.393929,1725.993571
cf_r3_p1,1,134,33.37580631,1323.755391,99.88991898,1500,28.12134912,1678.862143,132.3621943,167.8692896,0.175354646,58.99188221,1.701090997,1678.862143,1739.421429
cf_r3_p1,1,135,33.42359409,1335.042542,99.88967726,1500,28.12979261,1693.816429,133.4904729,169.3641581,0.173737953,58.97456916,1.701730912,1693.816429,1754.374643
cf_r3_p2,3,136,-3.018815875,34.83734287,99.88616473,1500,27.920286,12.92975,3.483252303,1.292796113,0.221611958,57.431637,1.713370826,12.92975,9.9562225
cf_r3_p2,3,137,-3.050370279,35.04139891,99.88597362,1500,27.91543198,12.94995714,3.503648387,1.294814073,0.22211091,57.43598554,1.711830231,12.94995714,10.19202286
cf_r3_p2,3,138,-2.973869908,34.7736228,99.88466611,1500,27.91282879,13.34035,3.476829065,1.33383044,0.222999445,57.41177191,1.710485622,13.34035,13.221075
cf_r3_p2,3,139,-2.723631792,35.79836731,99.88415986,1500,27.91045345,16.18612857,3.57926968,1.618356467,0.221940487,57.39914852,1.710751876,16.18612857,22.52431429
cf_r3_p2,3,140,-2.40864389,39.13850891,99.88360592,1500,27.91164865,21.890375,3.913209251,2.188678627,0.220490825,57.43045019,1.708311095,21.890375,32.8821625
cf_r3_p2,3,141,-1.883307295,44.23204513,99.88382912,1500,27.90319161,31.14917143,4.422489242,3.114413433,0.220761604,57.4735228,1.70821027,31.14917143,45.72152857
cf_r3_p2,3,142,-1.337791239,49.28739679,99.8841847,1500,27.89455943,40.49965,4.927960184,4.049324486,0.220778785,57.49757269,1.704798685,40.49965,57.4288625
cf_r3_p2,3,143,-0.69192947,56.2297297,99.88575264,1500,27.89292627,52.54004286,5.622171845,5.253255728,0.220242923,57.53309379,1.70178849,52.54004286,71.30244286
cf_r3_p2,3,144,-0.054511837,61.84064693,99.88450534,1500,27.88832106,63.17335,6.183106493,6.316356151,0.220331885,57.56737679,1.701633103,63.17335,82.3808
cf_r3_p2,3,145,0.534115825,69.56440487,99.88382161,1500,27.89354242,75.6347,6.955315047,7.562246353,0.218549005,57.59917998,1.699379579,75.6347,96.11955714
cf_r3_p2,3,146,1.319967469,74.39582265,99.88414068,1500,27.8932584,86.595075,7.438402398,8.658134162,0.21955158,57.63890489,1.69626793,86.595075,108.275125
cf_r3_p2,3,147,2.017507178,81.98103074,99.88473429,1500,27.8985972,99.71334286,8.196851575,9.96981209,0.219807917,57.65778978,1.695052754,99.71334286,122.6605714
