Obs,Curve,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
11,c1,13:11:13,3239.50001,0,16.30921269,0.133052484,1261.38035,0.806151952,0.631610874,19.48801422,6,1.420000017,1,2.840000033,19.58575249,19.48801422,20.15542412,1500.202271,1479.188232,15.21545219,16.16773987,67.552742,71.77941895,499.7134705,1000.208862,280.5793762,101.5372772,-16.15029144,0.199756831,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832855784,0.000806152,292.6380142,292.7357525,160.0334144,1.498298432,2.273239159,22.38822254,6.220482674,19.53688335,2.280154813,0.12709801,1.641628285,0.638526528,0.079950596,128.0771262,0.852751747,72.93710155,1471.435614,0.008084259
1,c2,13:51:50,5676.000011,0,13.4808022,0.147033741,227.1896867,0.846626167,0.601901546,20.2433033,6,1.420000017,1,2.840000033,19.9337635,20.2433033,20.14640808,399.9029846,383.3258667,16.54665565,17.54542732,71.85832214,76.18731689,499.6768188,1000.295898,448.7466736,101.4681168,8.563194275,0.198360652,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832794698,0.000846626,293.3933033,293.0837635,160.0473402,1.422992346,2.382203014,23.47735516,5.931927833,20.0885334,2.359509286,0.139796152,1.780301468,0.579207817,0.087995245,23.05250966,0.592680292,75.47406848,376.917739,0.02699398
2,c2,13:54:24,5830.000011,0,10.15363251,0.157286597,177.5349298,0.895650135,0.597304844,20.19519424,6,1.420000017,1,2.840000033,19.89634895,20.19519424,20.14466858,300.4429932,287.9419861,16.46486473,17.52141953,71.66902924,76.25646973,499.7130737,999.9175415,298.0889587,101.4657288,9.489646912,0.170637339,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832855123,0.00089565,293.3451942,293.046349,159.9868031,1.397985041,2.375128445,23.40818397,5.886764442,20.0457716,2.353272668,0.149032774,1.777823601,0.575449067,0.093853465,18.01371103,0.616564928,75.67353756,283.1154355,0.027139505
3,c2,13:56:57,5983.500011,0,6.547707675,0.112875118,93.79418834,0.641803601,0.587546096,20.22243881,6,1.420000017,1,2.840000033,19.8932476,20.22243881,20.14827919,199.1156616,191.1062927,16.89960289,17.65663528,73.56500244,76.85089111,499.6918335,999.8425903,816.8577271,101.4681702,9.977592468,0.164793223,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832819722,0.000641804,293.3724388,293.0432476,159.9748109,1.527334618,2.37913257,23.44708263,5.790447343,20.05784321,2.355031793,0.108560411,1.791586474,0.56344532,0.068225148,9.517124664,0.490795918,75.74981164,187.9938261,0.026383187
4,c2,13:59:31,6137.500011,0,2.541006624,0.173877597,70.88758062,0.986367362,0.598195111,20.36715698,6,1.420000017,1,2.840000033,19.95214272,20.36715698,20.1508503,99.4589386,96.29385376,16.59898949,17.76230431,71.99494171,77.03369141,499.6999207,999.3670654,397.3812561,101.4680252,10.22815704,0.192775935,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832833201,0.000986367,293.517157,293.1021427,159.8987269,1.333820445,2.400501052,23.65770938,5.895405078,20.15964985,2.369913375,0.163846195,1.802305941,0.567607434,0.103260237,7.192822817,0.736158933,76.02148011,95.08598091,0.020315412
5,c2,14:02:05,6291.000011,0,0.385959375,0.155750935,45.34329065,0.929814835,0.625722092,20.44266701,6,1.420000017,1,2.840000033,19.97880173,20.44266701,20.14780807,50.49017334,49.97095108,16.50568008,17.60248184,71.46108246,76.21115112,499.697113,999.350769,514.0656128,101.4626846,10.30914307,0.16701147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832828522,0.000929815,293.592667,293.1288017,159.8961195,1.357020342,2.411717156,23.76949875,6.16701691,20.21073437,2.377411648,0.147653348,1.785995064,0.591416584,0.092978229,4.600651999,0.907392989,74.88427118,49.78748448,0.005805131
6,c2,14:04:39,6445.500011,0,13.29222784,0.150369756,232.7716141,0.894474944,0.622483546,20.32427979,6,1.420000017,1,2.840000033,19.94239807,20.32427979,20.14704323,400.0575256,383.6854248,16.40542412,17.46067047,71.19257355,75.77150726,499.7070923,999.3469849,459.0983582,101.4662628,8.510894775,0.172987193,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832845154,0.000894475,293.4742798,293.0923981,159.895514,1.386479033,2.394152525,23.59555244,6.134881969,20.13333893,2.366059503,0.142808463,1.771668979,0.594390524,0.089905161,23.61846577,0.606673069,74.78972783,377.3669363,0.026343646
7,c2,14:07:13,6599.500011,0,13.49329492,0.145810863,225.8597487,0.856426765,0.613679672,20.23337364,6,1.420000017,1,2.840000033,19.90929413,20.23337364,20.1512413,400.0168762,383.4211426,16.40704155,17.41744614,71.3343277,75.72392273,499.7067566,999.1879272,604.9934692,101.4535446,8.405822754,0.182466716,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832844594,0.000856427,293.3833736,293.0592941,159.8700648,1.413867793,2.380741321,23.46631978,6.048873642,20.07133389,2.356999074,0.138690249,1.767061649,0.589937426,0.087294208,22.91427209,0.589064409,74.970316,377.0070764,0.026832297
8,c2,14:09:47,6753.000011,0,17.7226813,0.158774888,386.2324162,0.925883209,0.611862337,20.2705307,6,1.420000017,1,2.840000033,19.92821312,20.2705307,20.14789009,600.0118408,578.0900879,16.39769554,17.48993301,71.21126556,75.95175934,499.7207642,999.230835,749.8220215,101.4499435,5.706237793,0.186336726,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83286794,0.000925883,293.4205307,293.0782131,159.87693,1.374985504,2.386215054,23.52110776,6.031174743,20.09937191,2.361092332,0.1503683,1.774352717,0.586739615,0.094700963,39.18325682,0.66811804,75.2077112,569.665574,0.023397628
9,c2,14:12:21,6907.500011,0,20.15040098,0.15703159,653.4506913,0.910074388,0.607850154,20.14083862,6,1.420000017,1,2.840000033,19.87914848,20.14083862,20.15037537,901.0629272,875.9106445,16.26761818,17.34141922,70.86173248,75.53205109,499.6972656,999.1774902,574.510437,101.4511719,-0.102172852,0.208772868,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832828776,0.000910074,293.2908386,293.0291485,159.8683949,1.393912955,2.367157455,23.33297301,5.991553792,20.00999355,2.348065703,0.148803809,1.759307302,0.588758401,0.09370818,66.2933384,0.746024375,75.16181916,866.332109,0.017482219
10,c2,14:14:55,7061.000011,0,20.8174969,0.163784722,949.9782743,0.954962451,0.612920535,20.12806511,6,1.420000017,1,2.840000033,19.87812042,20.12806511,20.14444351,1200.121948,1173.780396,16.14666176,17.27348328,70.33527374,75.24492645,499.706604,999.0757446,736.5128174,101.4483948,-7.347290039,0.181066722,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83284434,0.000954962,293.2780651,293.0281204,159.8521156,1.371659295,2.365287686,23.315181,6.041697719,20.00309277,2.347062558,0.154854177,1.752367151,0.594695407,0.097548458,96.373771,0.809332204,74.9922789,1163.884754,0.013413283
11,c2,14:17:32,7218.000011,0,21.18009031,0.174340735,1254.695076,1.039818608,0.629135453,20.23294067,6,1.420000017,1,2.840000033,19.91830254,20.23294067,20.14722443,1500.258545,1472.990112,16.03837013,17.26525497,69.69128418,75.02415466,499.7368164,998.8383789,745.1392822,101.4489594,-15.18273926,0.189554423,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832894694,0.001039819,293.3829407,293.0683025,159.8141371,1.317992771,2.380677603,23.46675233,6.201497358,20.0756216,2.357624633,0.164257372,1.75154215,0.606082483,0.103521544,127.2875098,0.851801425,74.58408655,1462.922112,0.010798235
1,c3,14:30:41,8007.000011,0,12.15468876,0.137507354,234.9087485,0.718043659,0.544574904,19.18449593,6,1.420000017,1,2.840000033,19.5494976,19.18449593,20.14974785,399.8239746,384.8974915,15.77568913,16.62354088,70.12472534,73.89287567,499.6915283,1001.078796,193.4529572,101.4298019,8.400970459,0.208208293,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832819214,0.000718044,292.3344959,292.6994976,160.1726038,1.581349895,2.230697363,21.99252409,5.368983214,19.36699677,2.256192599,0.131156985,1.686122459,0.570070141,0.082520944,23.82674783,0.610315093,76.25622058,379.1197345,0.024447966
2,c3,14:33:14,8160.000011,0,9.311442376,0.144878757,178.2531295,0.745959962,0.538401645,19.04857254,6,1.420000017,1,2.840000033,19.47348022,19.04857254,20.14973068,299.0190735,287.5804749,15.61710358,16.49806023,69.75072479,73.68267822,499.6748047,1001.001038,261.9549866,101.4344559,9.315002441,0.201893061,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832791341,0.00074596,292.1985725,292.6234802,160.1601624,1.57443955,2.211873407,21.80593752,5.307877292,19.26102638,2.241357698,0.137846694,1.673471762,0.567885936,0.086759529,18.0810092,0.619837385,76.38782221,283.1542611,0.025119905
3,c3,14:35:55,8321.000011,0,5.996263837,0.152170296,124.5877789,0.790552477,0.544557232,19.0502224,6,1.420000017,1,2.840000033,19.47305679,19.0502224,20.15005493,199.2865143,191.904007,15.5068531,16.44054413,69.25750732,73.42556763,499.6655273,1000.671753,226.2088318,101.4287491,10.01708984,0.197862834,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832775879,0.000790552,292.2002224,292.6230568,160.1074769,1.550056436,2.212101057,21.80940884,5.368864714,19.2616396,2.241443296,0.144431499,1.667543825,0.573899471,0.09093447,12.63678257,0.649219268,76.17916814,189.0536703,0.024161942
4,c3,14:38:40,8486.00001,0,2.332152958,0.166035529,71.60582165,0.874012014,0.554344395,19.08070755,6,1.420000017,1,2.840000033,19.49115181,19.08070755,20.15205002,98.84638214,95.94552612,15.35298252,16.38519669,68.49580383,73.09757996,499.7167358,1000.827148,223.8766632,101.4309921,10.28137207,0.198297709,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832861226,0.000874012,292.2307076,292.6411518,160.1323402,1.504758922,2.216311151,21.85043353,5.465236842,19.28592968,2.244836228,0.156864714,1.661966756,0.582869472,0.098825107,7.263049532,0.746317463,75.90891758,94.8369323,0.018666906
5,c3,14:41:14,8640.500011,0,0.389755448,0.167572223,45.57124785,0.909764716,0.57205341,19.16637421,6,1.420000017,1,2.840000033,19.52764893,19.16637421,20.15147972,50.43887711,49.91637802,15.25172806,16.32623482,67.89307404,72.67609406,499.7148743,1000.563721,253.670578,101.4395676,10.33561325,0.183397502,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832858124,0.000909765,292.3163742,292.6776489,160.0901917,1.478962057,2.22817961,21.96558664,5.639351822,19.34701157,2.253388284,0.15823564,1.6561262,0.597262084,0.099695767,4.622727675,0.912951814,75.28365485,49.73110695,0.005900173
6,c3,14:43:48,8794.000011,0,12.20968553,0.163286459,257.3285562,0.899839284,0.57986558,19.1517067,6,1.420000017,1,2.840000033,19.5171051,19.1517067,20.14842033,400.9098206,385.8329163,15.16638947,16.22928238,67.55432129,72.28947449,499.7129211,1000.512207,226.2218475,101.4387436,8.445262909,0.1866934,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832854869,0.000899839,292.3017067,292.6671051,160.0819495,1.484643542,2.226143594,21.94569368,5.716411304,19.3344059,2.251621034,0.154408695,1.646278014,0.60534302,0.097265622,26.10308543,0.666942983,74.88891579,380.0290165,0.024060534
7,c3,14:46:22,8948.500011,0,11.99144392,0.160029671,256.5542041,0.889616138,0.584387489,19.12825584,6,1.420000017,1,2.840000033,19.50927925,19.12825584,20.14980888,400.0324402,385.2228699,15.10052299,16.15143013,67.30105591,71.9821167,499.7097473,1000.381653,173.8791199,101.4463882,8.53156662,0.180162638,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832849579,0.000889616,292.2782558,292.6592793,160.0610609,1.491827166,2.222891741,21.91198503,5.7605549,19.31876755,2.249430305,0.151493257,1.638504252,0.610926053,0.095414928,26.0264974,0.665989027,74.63000289,379.5227117,0.023580183
8,c3,14:48:56,9102.500011,0,15.46242658,0.171783365,424.304054,0.952171545,0.584973583,19.13650703,6,1.420000017,1,2.840000033,19.52927017,19.13650703,20.15196037,599.696167,580.4671631,15.03182125,16.15660095,66.91492462,71.91825104,499.7179565,1000.62616,167.2175446,101.4484329,5.602794647,0.192215174,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832863261,0.000952172,292.286507,292.6792702,160.100182,1.460856265,2.224035431,21.92281701,5.766216062,19.3328886,2.251408399,0.161985341,1.639061848,0.612346551,0.102077782,43.04498136,0.730969951,74.71646845,573.117066,0.020158149
9,c3,14:51:33,9259.000011,0,16.81942394,0.175256442,709.5712789,0.974780939,0.587729061,19.10559654,6,1.420000017,1,2.840000033,19.50341606,19.10559654,20.15319061,899.9002686,878.6779785,14.93509865,16.08662415,66.59344482,71.72445679,499.7370911,1000.495605,155.6279297,101.4522705,-0.266345978,0.196186274,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832895152,0.000974781,292.2555965,292.6534161,160.0792933,1.449396371,2.219753605,21.87978242,5.793158276,19.3045063,2.24743412,0.165069972,1.632024544,0.615409575,0.104037992,71.98761733,0.80754417,74.57915175,870.6828299,0.014406835
10,c3,14:54:07,9413.500011,0,17.38818252,0.179107206,1002.887215,1.015277005,0.59968007,19.19558525,6,1.420000017,1,2.840000033,19.55350494,19.19558525,20.15095139,1199.339844,1177.026611,14.89324284,16.09268951,66.19085693,71.52618408,499.699646,1000.264404,137.2088318,101.447258,-7.683948517,0.204832286,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832832743,0.001015277,292.3455853,292.7035049,160.0423011,1.422358198,2.232239295,22.00393918,5.911249667,19.3745451,2.257252574,0.16848175,1.632559225,0.624693349,0.106206816,101.7401581,0.852051437,74.23850548,1168.761102,0.011044795
11,c3,14:56:41,9567.500011,0,17.86226106,0.173645103,1290.860272,0.987485827,0.600589861,19.12308311,6,1.420000017,1,2.840000033,19.52067566,19.12308311,20.15397835,1500.512451,1477.316284,14.81785202,15.98443985,65.99645233,71.18904877,499.7659302,1000.256042,137.9042969,101.447731,-16.30601883,0.194867343,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832943217,0.000987486,292.2730831,292.6706757,160.0409632,1.442194935,2.222175016,21.90463003,5.920190184,19.32187939,2.249866084,0.163639738,1.621585154,0.62828093,0.103129035,130.9548457,0.873787344,74.03834299,1468.825421,0.00900374
1,c4,15:08:20,10266.00001,0,10.757782,0.136206226,251.4864622,0.829699303,0.635464622,19.05356789,6,1.420000017,1,2.840000033,19.46668625,19.05356789,20.15302467,399.5839233,386.282074,14.5662632,15.54700661,65.0870285,69.47066498,499.7025452,1000.697205,74.80941772,101.4406281,8.501598358,0.189893931,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832837575,0.000829699,292.2035679,292.6166862,160.1115492,1.5282312,2.212562737,21.81140613,6.264399526,19.26012707,2.241232169,0.129972741,1.577098115,0.664134055,0.081770912,25.51094467,0.651043574,72.07198291,381.1683396,0.020341004
2,c4,15:10:54,10420.50001,0,8.515767454,0.136261024,183.9776124,0.835519407,0.639657833,19.0649929,6,1.420000017,1,2.840000033,19.46675301,19.0649929,20.15332031,301.0180664,290.5022888,14.53416061,15.52174664,64.94307709,69.35545349,499.7341003,1000.587769,60.32026291,101.4371796,9.308513641,0.196189135,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832890167,0.000835519,292.2149929,292.616753,160.0940394,1.523475767,2.214140034,21.82769713,6.305950497,19.26587296,2.242034304,0.130022637,1.574482201,0.667552104,0.081802511,18.66217011,0.63330865,71.9083677,286.4543008,0.021377055
3,c4,15:13:28,10574.00001,0,5.488792937,0.137258092,124.483882,0.842746777,0.640790048,18.98906517,6,1.420000017,1,2.840000033,19.43712997,18.98906517,20.15441513,199.5224304,192.7364349,14.41104221,15.40742207,64.5118103,68.97075653,499.6661987,1000.513794,59.01299667,101.4372253,10.09356308,0.191609591,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832776998,0.000842747,292.1390652,292.58713,160.0822035,1.525607603,2.203676192,21.72453144,6.317109378,19.21309757,2.234676226,0.130930195,1.562886144,0.671790082,0.082377302,12.62729959,0.64587623,71.73762043,190.1273256,0.020709961
4,c4,15:16:02,10728.50001,0,2.103987471,0.136735153,69.71592877,0.84769536,0.646916488,19.00321007,6,1.420000017,1,2.840000033,19.43907356,19.00321007,20.15052605,98.8312912,96.20743561,14.36402893,15.36609268,64.29116058,68.77781677,499.7703552,1000.279419,76.38759613,101.4380035,10.32769394,0.181652278,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832950592,0.000847695,292.1532101,292.5890736,160.0447035,1.520960495,2.205622252,21.74354951,6.377456828,19.22114182,2.235796405,0.130454278,1.558705764,0.677090641,0.082075879,7.07184463,0.724641794,71.48790143,95.20730073,0.015798121
5,c4,15:18:36,10882.00001,0,0.390047682,0.141502064,44.79457816,0.893329121,0.659771042,19.10308266,6,1.420000017,1,2.840000033,19.47176743,19.10308266,20.15628052,50.41356277,49.89172363,14.31937313,15.37548923,63.96333313,68.67905426,499.7142334,1000.377747,71.67931366,101.4364243,10.28785324,0.185953349,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832857056,0.000893329,292.2530827,292.6217674,160.0604359,1.488310353,2.219405691,21.87977058,6.504281343,19.28742504,2.245045253,0.134786377,1.559634649,0.685410604,0.08482016,4.543801834,0.897835851,71.14600488,49.70631365,0.005582859
6,c4,15:21:10,11036.50001,0,11.12796656,0.146235164,256.1126083,0.909837095,0.651323725,19.01945114,6,1.420000017,1,2.840000033,19.44300842,19.01945114,20.15573883,400.3581238,386.5748291,14.26859665,15.34424686,63.85096741,68.66407776,499.7217407,1000.348206,79.63775635,101.4409409,8.518657684,0.196008891,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832869568,0.000909837,292.1694511,292.5930084,160.0557093,1.486754727,2.207858564,21.76496536,6.420718493,19.23122978,2.237201874,0.139074066,1.556534839,0.680667035,0.087537503,25.98030395,0.662517549,71.41397013,381.2851267,0.020842467
7,c4,15:23:44,11190.00001,0,11.12451034,0.151336341,260.2098323,0.957687259,0.66355801,19.1183815,6,1.420000017,1,2.840000033,19.48806381,19.1183815,20.15495491,400.4163208,386.6138611,14.22588634,15.35817814,63.48495865,68.53479004,499.6833496,1000.15863,93.38990021,101.4420929,8.641368866,0.194723338,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832805583,0.000957687,292.2683815,292.6380638,160.0253773,1.454107388,2.221523744,21.89942735,6.541249211,19.30322266,2.247254521,0.143680001,1.557965733,0.689288787,0.090457858,26.39622998,0.673048378,71.10333505,381.3258017,0.020743149
8,c4,15:26:18,11344.50001,0,14.18659348,0.144355622,412.0916239,0.909055826,0.658774402,19.07613754,6,1.420000017,1,2.840000033,19.4743576,19.07613754,20.15213203,599.0662231,581.3985596,14.27367687,15.34838009,63.74747467,68.54418182,499.7304993,999.9934692,114.7962341,101.4377518,5.919994354,0.187354296,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832884165,0.000909056,292.2261375,292.6243576,159.9989515,1.483141596,2.215679572,21.84275118,6.494371086,19.27524757,2.243343557,0.137373028,1.55690517,0.686438387,0.08645932,41.80164786,0.708793679,71.16967667,574.6549325,0.017569766
9,c4,15:29:03,11509.00001,0,15.69377157,0.14455666,691.3770059,0.906432383,0.65584091,19.16909218,6,1.420000017,1,2.840000033,19.50708199,19.16909218,20.15536118,900.6826172,880.8820801,14.4344511,15.50583744,64.32353973,69.09905243,499.7510376,1000.367615,279.3089905,101.4273605,0.051769257,0.203026026,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832918396,0.000906432,292.3190922,292.657082,160.0588148,1.47733472,2.228557074,21.97195177,6.466114334,19.33808708,2.252136991,0.137555075,1.572716164,0.679420827,0.086574699,70.12454484,0.784868964,71.4616625,873.4220127,0.012840334
10,c4,15:31:37,11663.00001,0,16.81832447,0.121807903,938.0244813,0.754806836,0.642890939,19.43612671,6,1.420000017,1,2.840000033,19.6270237,19.43612671,20.15161896,1199.189941,1177.928345,15.11040688,16.00221252,66.83488464,70.77828217,499.7018738,999.508606,175.8839874,101.4250717,-7.019641876,0.195384234,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832836456,0.000754807,292.5861267,292.7770237,159.9213734,1.536102881,2.265916492,22.3407926,6.338580076,19.5315752,2.279402745,0.116798407,1.623025553,0.656377192,0.073433133,95.13920029,0.796334077,72.26285343,1169.933719,0.010388111
