PlotName,ForestPlotsCode,Subplot,PlotCensusNumber,CensusDate,TagNumber,HPOM_m,D_POM_cm,Height_m,Alive_1_Dead_0_At2015Census,Comments,Family,Genus,SpeciesName,GenusSpecies,SpeciesIDsource,Group,WoodDensity,CrownProjection_Area_m2_in2016,X_m,Y_m,GirdlingDeathDate,Time_since_Girdle,Survived,Biomass_kgPerStem,Carbon_kgCperStem
Tower,SAF-05,15,4,04/08/2015 00:00,198,1.3,11.6,12.6,1,NA,Dipterocarpaceae,Shorea,sp.,Shorea sp.,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.569943683,5.809,567818.898,521250.129,03/12/2016 00:00,304,0,49.18540488,23.46143813
Tower,SAF-05,15,4,04/08/2015 00:00,199,1.3,24.2,10.4,1,NA,Dipterocarpaceae,Shorea,johorensis,Shorea johorensis,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.393333333,17.729,567819.973,521248.376,20/09/2016 00:00,230,0,121.9389936,58.16489993
Tower,SAF-05,15,4,04/08/2015 00:00,200,1.3,35.9,15.4,1,NA,Malvaceae,Scaphium,macropodum,Scaphium macropodum,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.53,24.594,567822.27,521246.333,03/12/2016 00:00,304,0,535.4307015,255.4004446
Tower,SAF-05,15,4,04/08/2015 00:00,201,1.3,12.5,6.6,1,NA,Euphorbiaceae,Mallotus,korthalsii,Mallotus korthalsii,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.467715143,12.127,567822.797,521245.392,,,1,24.55066017,11.7106649
Tower,SAF-05,15,4,04/08/2015 00:00,202,1.8,27.3,13.1,1,NA,Dipterocarpaceae,Shorea,sp.,Shorea sp.,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.569943683,17.56,567820.03,521244.426,24/08/2016 00:00,203,0,283.2346073,135.1029077
Tower,SAF-05,15,4,04/08/2015 00:00,203,1.3,15.1,10.9,1,NA,Calophyllaceae,Calophyllum,pyriforme,Calophyllum pyriforme,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.551142857,8.509,567818.009,521245.294,,,1,69.72079943,33.25682133
Tower,SAF-05,15,4,04/08/2015 00:00,204,1.3,16.2,6.9,1,NA,Fagaceae,Lithocarpus,sp.,Lithocarpus sp.,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.688026316,14.081,567814.741,521240.096,24/08/2016 00:00,203,0,63.41645362,30.24964838
Tower,SAF-05,15,4,04/08/2015 00:00,205,1.7,15.6,10.4,1,NA,Dipterocarpaceae,Dryobalanops,lanceolata,Dryobalanops lanceolata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.62,10.375,567814.649,521238.538,07/11/2016 00:00,278,0,79.87153075,38.09872017
Tower,SAF-05,15,4,04/08/2015 00:00,206,1.7,38.1,10,1,NA,Dipterocarpaceae,Shorea,sp.,Shorea sp.,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.569943683,0,567816.55,521238.943,29/06/2016 00:00,147,0,421.1139987,200.8713774
Tower,SAF-05,15,4,04/08/2015 00:00,207,1.4,15.6,7.5,1,NA,Fagaceae,Lithocarpus,leptogyne,Lithocarpus leptogyne,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",DEAD,0.68,8.318,567817.893,521236.946,,,0,63.1738224,30.13391328
Tower,SAF-05,15,4,04/08/2015 00:00,208,0,0,0,0,dead,Violaceae,Rinorea,sp.,Rinorea sp.,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2012-2014, earliest IDs",DEAD,0.671,,,,,,0,0,0
Tower,SAF-05,15,4,04/08/2015 00:00,209,1.3,24.1,19.7,1,tag lost,Dipterocarpaceae,Shorea,ovalis,Shorea ovalis,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.43,24.376,567823.255,521242.177,07/11/2016 00:00,278,0,250.4301129,119.4551638
