Campaign,Tree_tag,repeat,date,code branch,leaf,code leaf,leaf fresh weight,dry weight,Leaf_2018,Leaf area,LMA,resp,photo,day,month,monthday_code,SampleID
'C1',358,1,19-janv-16,'C1_358_1',L3,C1_358_1_L3,4.01,1.776,'T',180.3725551,98.46287308,-1.134546462,4.712569053,19,1,JAN19,T358_JAN19_L3
'C1',358,1,19-janv-16,'C1_358_1',L4,C1_358_1_L4,5.45,2.683,'T',260.9117899,102.8316889,-1.026721067,3.453647376,19,1,JAN19,T358_JAN19_L4
'C1',358,1,19-janv-16,'C1_358_1',L5,C1_358_1_L5,1.95,0.887,'T',84.06226136,105.5170282,-1.156171539,2.750486063,19,1,JAN19,T358_JAN19_L5
'C1',330,1,19-janv-16,'C1_330_1',L1,C1_330_1_L1,0.7,0.419,'T',NaN,NaN,NaN,NaN,19,1,JAN19,T330_JAN19_L1
'C1',330,1,19-janv-16,'C1_330_1',L2,C1_330_1_L2,0.85,0.539,'T',NaN,NaN,NaN,NaN,19,1,JAN19,T330_JAN19_L2
'C1',330,1,19-janv-16,'C1_330_1',L3,C1_330_1_L3,0.81,0.578,'T',NaN,NaN,NaN,NaN,19,1,JAN19,T330_JAN19_L3
'C1',330,1,19-janv-16,'C1_330_1',L4,C1_330_1_L4,1.76,1.32,'T',NaN,NaN,NaN,NaN,19,1,JAN19,T330_JAN19_L4
'C1',330,1,19-janv-16,'C1_330_1',L5,C1_330_1_L5,1.05,0.692,'T',NaN,NaN,NaN,NaN,19,1,JAN19,T330_JAN19_L5
'C1',246,1,19-janv-16,'C1_246_1',L1,C1_246_1_L1,9.84,1.959,'T',399.0642454,49.08984011,-0.738092031,NaN,19,1,JAN19,T246_JAN19_L1
'C1',246,1,19-janv-16,'C1_246_1',L2,C1_246_1_L2,11.36,2.162,'T',497.8863668,43.42356297,-0.792315553,NaN,19,1,JAN19,T246_JAN19_L2
'C1',246,1,19-janv-16,'C1_246_1',L3,C1_246_1_L3,10.44,1.572,'T',526.5636263,29.85394208,-1.019981472,NaN,19,1,JAN19,T246_JAN19_L3
'C1',246,1,19-janv-16,'C1_246_1',L4,C1_246_1_L4,7.32,1.198,'T',497.0944422,24.10004817,-0.619964144,NaN,19,1,JAN19,T246_JAN19_L4
'C1',246,1,19-janv-16,'C1_246_1',L5,C1_246_1_L5,8.48,1.377,'T',571.8461274,24.07990426,-1.072152849,NaN,19,1,JAN19,T246_JAN19_L5
'C1',219,1,20-janv-16,'C1_219_1',L1,C1_219_1_L1,8.83,1.91,'T',383.9940156,49.7403585,-0.904124914,5.627343566,20,1,JAN20,T219_JAN20_L1
