SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Plant_type,Soil,LMA,Narea,Nmass,Parea,Pmass,LWC
W9_986,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,127.2264631,1.874936387,14.737,NA,NA,NA
W9_987,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,153.7022186,3.606545708,23.4645,NA,NA,NA
W9_988,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,102.7830487,2.62358871,25.5255,NA,NA,NA
W9_989,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,130.3497719,3.46046057,26.5475,NA,NA,NA
W9_990,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,94.50219575,2.54489688,26.9295,NA,NA,NA
W9_991,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,144.3196681,3.229729852,22.379,NA,NA,NA
W9_992,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,154.6016733,4.981111312,32.219,NA,NA,NA
W9_993,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,219.7981113,4.330462389,19.702,NA,NA,NA
W9_994,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,91.76650524,2.106362478,22.9535,NA,NA,NA
W9_995,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,122.0338983,2.91819661,23.913,NA,NA,NA
W9_996,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,124.4992963,2.212290246,17.7695,NA,NA,NA
W6_902,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_903,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_904,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_905,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_906,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_907,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_908,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_909,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_910,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_911,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_912,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
