"SampleID","A","Ci","Patm","Qin","Tleaf","gsw"
"20221020_CECA_30",2.71012928332889,178.786366994724,100.906709677419,2000.03419354838,19.9613064516129,0.0209820799077724
"20221021_ACRU_32",3.24067380661373,267.045231612026,101.280933333333,2000.02166666666,20.0977633333333,0.056323967691978
"20221020_QUPA_34",9.87872432381031,211.236842843136,100.865666666666,1999.97766666666,20.11618,0.105918403942239
"20221020_TITO_35",3.96270883181718,271.75125817579,100.755548387096,1999.98580645161,19.9734,0.0694473260082587
"20221020_QUPA_36",5.35196019515088,147.496752927758,100.833258064516,2000.00032258064,20.0911580645161,0.0557952941523021
"20221020_TITO_37",6.94372166493883,241.540768082087,100.739766666666,1999.997,20.0488599999999,0.0935182464682611
"20221020_QUPA_38",6.44605640197559,280.717106296387,100.846033333333,2000.02699999999,19.6901799999999,0.0855703123497984
"20221021_ACSA_40",4.54853492525286,264.346955145405,101.336193548387,1999.99,20.0467193548387,0.0771839514488935
"20221020_CECA_41",2.34143997487698,244.500781168059,100.81964516129,1999.96451612903,19.9512903225806,0.033013300925907
"20221020_QURU_46",7.83193779099241,234.94953402486,100.811064516129,2000.00129032258,20.1391193548387,0.0958797548527991
"20221020_BENI_47",6.85624686437602,237.941853655068,100.779096774193,2000.0093548387,20.071593548387,0.0940060196157742
"20221020_LIST_48",4.37547837014975,185.486239085997,100.755033333333,1999.98233333333,19.9406633333333,0.0450295199734143
"20221020_BENI_49",4.94580760392357,230.665120381204,100.768799999999,1999.97533333333,19.99671,0.0682965229423244
"20221020_QURU_56",6.75191910300511,204.794328311771,100.954451612903,2000.05,19.9508838709677,0.0611405768009774
"20221021_LIST_57",10.2694577325228,242.162291230339,101.355966666666,2000.001,19.9414833333333,0.124178190541592
"20221021_BENI_58",4.74656967899976,345.381144059458,101.379433333333,2000.017,20.9677433333333,0.136989552713344
"20221020_BENI_69",6.15538291867657,230.445233829463,100.79329032258,1999.97741935483,19.8561096774193,0.0672677854808367
"20220926_CECA_4",3.29701669376518,284.467721722283,100.132580645161,2000.00129032258,24.3102612903225,0.0505861563468619
"20220927_QUPH_5",7.73255172609468,320.387173640931,100.6502,2000.02066666666,23.6740233333333,0.154236921850573
"20220926_ACSA_7",2.19722991168796,307.981135672855,100.1443,1999.985,25.0329466666666,0.198025271820386
"20220926_TITO_8",1.52557417106145,264.914803485215,100.133,1999.9729032258,24.9875,0.0865210618215557
"20220926_TITO_9",5.50444852018631,173.65169283036,100.1467,2000.00833333333,24.9716233333333,0.255862953797398
"20220927_QUPH_11",11.5102477904829,202.973500414426,100.613866666666,1999.95333333333,25.0337933333333,0.151185226686149
"20220927_QUPH_16",6.26263601862674,242.660385948873,100.6077,1999.98533333333,24.5753966666666,0.0770427388424993
"20220926_ACSA_19",6.43048566097975,218.694278988266,100.130774193548,1999.99483870967,26.1538870967741,0.164923206209813
"20220927_QUPH_20",5.78347471885363,262.803598007314,100.634866666666,1999.96733333333,24.8551433333333,0.0413234550536495
"20220927_QUPA_22",7.23089567893852,175.163332753535,100.618533333333,1999.975,25.1415199999999,0.0804521301865206
"20220927_QUPA_23",9.34602888642347,207.913152840766,100.629066666666,1999.97233333333,25.0406066666666,0.102647498437766
"20220927_ACSA_24",1.52329413910388,302.493354593517,100.615966666666,1999.98566666666,25.27064,0.0337061141238105
"20220926_QUPA_26",8.37583429367802,174.766639141863,100.1692,1999.99433333333,25.00475,0.0835306635395771
"20220927_ACRU_28",8.97356469661942,341.939294013369,100.652566666666,1999.965,23.57789,0.183766733028129
"20220927_ACRU_29",4.32913132381418,280.97711476903,100.6518,1999.97833333333,26.9313233333333,0.0448897744461659
