no,sample,Species,Plant_type,Sun_Shade,Phenological_stage,Soil,photosynthesis,conditions,experiment,Site_name,FieldSpec file,FieldSpec_original,FieldSpec_original_splice_corrected,Li6400 file,LWC,CN Ratio,N%,C%,13C
184,30N_brassica7,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00252.asd.txt,040815brassi00252.asd,040815brassi00252.asd.sco,110815_30N_B7_.csv,89.48021508,8.2773,4.48,37.08,-32.02649428
185,30N_brassica8,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00258.asd.txt,040815brassi00258.asd,040815brassi00258.asd.sco,110815_30N_B8_.csv,77.52574792,9.0307,4.18,37.73,-31.57338215
186,30N_brassica9,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00264.asd.txt,040815brassi00264.asd,040815brassi00264.asd.sco,110815_30N_B9_.csv,71.53228298,7.6391,5.31,40.57,-31.51855692
187,30N_brassica10,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00270.asd.txt,040815brassi00270.asd,040815brassi00270.asd.sco,120815_30N_B10_.csv,75.0324025,12.2781,2.92,35.89,-32.96205386
188,30N_brassica11,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00276.asd.txt,040815brassi00276.asd,040815brassi00276.asd.sco,120815_30N_B11_.csv,74.90056234,10.1819,3.67,37.33,-32.66195859
189,30N_brassica12,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00282.asd.txt,040815brassi00282.asd,040815brassi00282.asd.sco,120815_30N_B12_.csv,73.46203047,9.5558,3.97,37.9,-32.19731495
190,30N_brassica13,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00288.asd.txt,040815brassi00288.asd,040815brassi00288.asd.sco,120815_30N_B13_.csv,64.61994495,7.5611,5.01,37.86,-31.84778056
191,30N_brassica14,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00294.asd.txt,040815brassi00294.asd,040815brassi00294.asd.sco,120815_30N_B14_.csv,74.79618898,9.246,3.42,31.62,-32.92891003
192,30N_brassica15,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00300.asd.txt,040815brassi00300.asd,040815brassi00300.asd.sco,120815_30N_B15_.csv,72.71924011,8.4166,4.48,37.71,-32.37690076
193,30N_brassica16,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00306.asd.txt,040815brassi00306.asd,040815brassi00306.asd.sco,120815_30N_B16_.csv,71.59684274,7.5443,5.07,38.25,-32.45319387
194,30N_brassica17,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00312.asd.txt,040815brassi00312.asd,040815brassi00312.asd.sco,120815_30N_B17_.csv,62.14778087,5.9821,6.57,39.31,-31.43014139
195,30N_brassica18,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00318.asd.txt,040815brassi00318.asd,040815brassi00318.asd.sco,120815_30N_B18_.csv,68.80781624,7.3378,4,29.37,-32.5459717
196,30N_brassica19,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00324.asd.txt,040815brassi00324.asd,040815brassi00324.asd.sco,120815_30N_B19_.csv,64.75392448,6.9304,5.06,35.05,-31.91586859
197,30N_brassica20,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00330.asd.txt,040815brassi00330.asd,040815brassi00330.asd.sco,120815_30N_B20_.csv,70.83243476,6.5617,5.08,33.36,-32.24658821
198,30N_brassica21,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00336.asd.txt,040815brassi00336.asd,040815brassi00336.asd.sco,120815_30N_B21_.csv,65.38129186,5.3881,6.65,35.83,-31.87756175
199,30N_brassica22,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00342.asd.txt,040815brassi00342.asd,040815brassi00342.asd.sco,130815_30B_B22_.csv,65.72438163,5.0556,7.64,38.6,-31.30683165
200,50N_brassica1,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00348.asd.txt,040815brassi00348.asd,040815brassi00348.asd.sco,130815_50N_B1_.csv,73.75296912,6.8806,5.11,35.13,-31.93961308
201,50N_brassica2,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00354.asd.txt,040815brassi00354.asd,040815brassi00354.asd.sco,130815_50N_B2_.csv,75.97319719,5.945,5.97,35.48,-31.3413435
202,50N_brassica3,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00360.asd.txt,040815brassi00360.asd,040815brassi00360.asd.sco,130815_50N_B3_.csv,76.11640743,5.0631,7.22,36.56,-31.74556603
203,50N_brassica4,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00366.asd.txt,040815brassi00366.asd,040815brassi00366.asd.sco,130815_50N_B4_.csv,67.64899934,5.4372,7.16,38.93,-30.90989329
204,50N_brassica5,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00372.asd.txt,040815brassi00372.asd,040815brassi00372.asd.sco,130815_50N_B5_.csv,79.19217855,8.8343,3.78,33.42,-32.39039768
205,50N_brassica7,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00384.asd.txt,040815brassi00384.asd,040815brassi00384.asd.sco,130815_50N_B7_.csv,76.41341931,7.1183,5.18,36.88,-31.5192578
206,50N_brassica8,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00390.asd.txt,040815brassi00390.asd,040815brassi00390.asd.sco,130815_50N_B8_.csv,80.52459755,7.2564,5.27,38.23,-31.30930284
207,50N_brassica9,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00396.asd.txt,040815brassi00396.asd,040815brassi00396.asd.sco,130815_50N_B9_.csv,86.29652734,12.0052,2.68,32.13,-32.13263691
208,50N_brassica10,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00402.asd.txt,040815brassi00402.asd,040815brassi00402.asd.sco,130815_50N_B10_.csv,85.13994421,10.9094,3.34,36.48,-30.77912989
209,50N_brassica11,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00408.asd.txt,040815brassi00408.asd,040815brassi00408.asd.sco,140815_50N_B11_.csv,79.01865576,8.6069,4.41,37.94,-31.19247699
210,50N_brassica12,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00414.asd.txt,040815brassi00414.asd,040815brassi00414.asd.sco,140815_50N_B12_.csv,83.91202103,7.7252,4.96,38.31,-31.19102992
211,50N_brassica13,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00420.asd.txt,040815brassi00420.asd,040815brassi00420.asd.sco,140815_50N_B13_.csv,72.13291617,6.6272,6.25,41.43,-30.49885163
212,50N_brassica14,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00426.asd.txt,040815brassi00426.asd,040815brassi00426.asd.sco,140815_50N_B14_.csv,73.68964869,9.1458,3.92,35.87,-32.02217951
213,50N_brassica15,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00432.asd.txt,040815brassi00432.asd,040815brassi00432.asd.sco,140815_50N_B15_.csv,74.30950875,8.6407,4.34,37.5,-30.97612239
214,50N_brassica16,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00438.asd.txt,040815brassi00438.asd,040815brassi00438.asd.sco,140815_50N_B16_.csv,73.76977917,7.9121,4.64,36.69,-31.65665705
215,50N_brassica17,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00444.asd.txt,040815brassi00444.asd,040815brassi00444.asd.sco,140815_50N_B17_.csv,72.80620416,10.2581,3.22,33.01,-31.47441656
216,50N_brassica18,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00450.asd.txt,040815brassi00450.asd,040815brassi00450.asd.sco,140815_50N_B18_.csv,69.75068618,9.4025,3.94,37.04,-32.01946096
217,50N_brassica19,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00456.asd.txt,040815brassi00456.asd,040815brassi00456.asd.sco,140815_50N_B19_.csv,73.6981206,8.8294,4.16,36.76,-31.09738296
218,50N_brassica20,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00462.asd.txt,040815brassi00462.asd,040815brassi00462.asd.sco,140815_50N_B20_.csv,66.23931624,8.4074,4.51,37.9,-31.01683729
219,50N_brassica21,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00468.asd.txt,040815brassi00468.asd,040815brassi00468.asd.sco,160815_50N_B21_.csv,70.07914482,8.0629,4.13,33.26,-31.46721896
220,50N_brassica22,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00474.asd.txt,040815brassi00474.asd,040815brassi00474.asd.sco,160815_50N_B22_.csv,66.33999246,7.4884,4.73,35.44,-32.25124248
221,50N_brassica23,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00480.asd.txt,040815brassi00480.asd,040815brassi00480.asd.sco,160815_50N_B23_.csv,66.78688155,6.9221,5.21,36.03,-31.72917944
222,50N_brassica24,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,50% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00486.asd.txt,040815brassi00486.asd,040815brassi00486.asd.sco,160815_50N_B24_.csv,58.98224852,5.4821,6.98,38.25,-30.6845541
223,100N_brassica1,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00492.asd.txt,040815brassi00492.asd,040815brassi00492.asd.sco,160815_100N_B1_.csv,84.63430421,7.724,4.9,37.85,-31.5147145
224,100N_brassica2,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00498.asd.txt,040815brassi00498.asd,040815brassi00498.asd.sco,160815_100N_B2_.csv,83.59004739,6.8138,5.31,36.18,-31.99865703
225,100N_brassica3,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00504.asd.txt,040815brassi00504.asd,040815brassi00504.asd.sco,170815_100N_B3_.csv,79.09536785,7.1191,5.6,39.85,-31.94932138
226,100N_brassica4,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00510.asd.txt,040815brassi00510.asd,040815brassi00510.asd.sco,170815_100N_B4_.csv,78.90772128,7.6898,4.65,35.78,-32.21076685
227,100N_brassica5,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00516.asd.txt,040815brassi00516.asd,040815brassi00516.asd.sco,170815_100N_B5_.csv,81.26207341,8.2986,3.9,32.34,-32.21566934
228,100N_brassica6,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00522.asd.txt,040815brassi00522.asd,040815brassi00522.asd.sco,170815_100N_B6_.csv,81.41583958,6.8604,5.52,37.84,-32.40847689
229,100N_brassica7,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00528.asd.txt,040815brassi00528.asd,040815brassi00528.asd.sco,170815_100N_B7_.csv,78.33152763,9.8721,3.61,35.67,-31.62744564
230,100N_brassica8,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00534.asd.txt,040815brassi00534.asd,040815brassi00534.asd.sco,170815_100N_B8_.csv,80.27265437,7.864,4.88,38.41,-31.07457961
231,100N_brassica9,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00540.asd.txt,040815brassi00540.asd,040815brassi00540.asd.sco,170815_100N_B9_.csv,79.07934802,8.8169,4,35.28,-30.97260513
232,100N_brassica10,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00546.asd.txt,040815brassi00546.asd,040815brassi00546.asd.sco,170815_100N_B10_.csv,83.09155767,8.067,4.66,37.61,-30.83386927
233,100N_brassica11,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00552.asd.txt,040815brassi00552.asd,040815brassi00552.asd.sco,170815_100N_B11_.csv,77.56475627,6.639,5.79,38.47,-30.61027506
234,100N_brassica12,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00558.asd.txt,040815brassi00558.asd,040815brassi00558.asd.sco,170815_100N_B12_.csv,87.16915995,8.8986,3.84,34.15,-32.02405763
235,100N_brassica13,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00564.asd.txt,040815brassi00564.asd,040815brassi00564.asd.sco,170815_100N_B13_.csv,90.04529886,8.8056,4.47,39.36,-31.25219634
236,100N_brassica14,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00570.asd.txt,040815brassi00570.asd,040815brassi00570.asd.sco,170815_100N_B14_.csv,86.42969984,7.7623,5.15,39.99,-32.32751103
237,100N_brassica15,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00576.asd.txt,040815brassi00576.asd,040815brassi00576.asd.sco,190815_100N_B15_.csv,67.72959184,5.6122,6.85,38.46,-30.33627057
238,100N_brassica16,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00582.asd.txt,040815brassi00582.asd,040815brassi00582.asd.sco,190815_100N_B16_.csv,73.44907407,8.1238,4.12,33.49,-31.40979702
239,100N_brassica17,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00588.asd.txt,040815brassi00588.asd,040815brassi00588.asd.sco,190815_100N_B17_.csv,76.97547684,7.5629,4.82,36.47,-31.55651468
240,100N_brassica18,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00594.asd.txt,040815brassi00594.asd,040815brassi00594.asd.sco,190815_100N_B18_.csv,76.68967402,7.2878,4.91,35.78,-31.22020599
241,100N_brassica19,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00600.asd.txt,040815brassi00600.asd,040815brassi00600.asd.sco,190815_100N_B19_.csv,78.04262833,7.0334,5.62,39.52,-31.62065068
242,100N_brassica20,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00606.asd.txt,040815brassi00606.asd,040815brassi00606.asd.sco,190815_100N_B20_.csv,70.63238189,5.7395,7.07,40.59,-31.12473002
243,100N_brassica21,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00612.asd.txt,040815brassi00612.asd,040815brassi00612.asd.sco,190815_100N_B21_.csv,69.62513782,5.2367,8.34,43.67,-30.20786246
244,100N_brassica22,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00618.asd.txt,040815brassi00618.asd,040815brassi00618.asd.sco,190815_100N_B22_.csv,78.46615039,7.4884,5.13,38.42,-32.58433216
245,100N_brassica23,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00624.asd.txt,040815brassi00624.asd,040815brassi00624.asd.sco,190815_100N_B23_.csv,77.46270356,6.6809,5.87,39.19,-32.5504436
246,100N_brassica24,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00630.asd.txt,040815brassi00630.asd,040815brassi00630.asd.sco,190815_100N_B24_.csv,74.09645836,5.8053,6.61,38.35,-32.53728108
247,100N_brassica25,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00636.asd.txt,040815brassi00636.asd,040815brassi00636.asd.sco,190815_100N_B25_.csv,73.48212892,5.268,7.73,40.7,-31.64131249
248,100N_brassica26,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00642.asd.txt,040815brassi00642.asd,040815brassi00642.asd.sco,190815_100N_B26_.csv,85.07650916,10.4124,3.4,35.43,-31.02851542
249,100N_brassica27,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00648.asd.txt,040815brassi00648.asd,040815brassi00648.asd.sco,190815_100N_B27_.csv,84.23854115,9.1338,4.2,38.38,-31.12489359
250,100N_brassica28,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00654.asd.txt,040815brassi00654.asd,040815brassi00654.asd.sco,190815_100N_B28_.csv,90.15169952,10.9695,3.4,37.35,-29.93033521
251,100N_brassica29,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00660.asd.txt,040815brassi00660.asd,040815brassi00660.asd.sco,190815_100N_B29_.csv,84.73709834,8.6744,4.46,38.73,-31.56539059
252,100N_brassica30,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00666.asd.txt,040815brassi00666.asd,040815brassi00666.asd.sco,190815_100N_B30_.csv,83.05725403,7.8871,4.98,39.28,-30.98043311
253,100N_brassica31,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00672.asd.txt,040815brassi00672.asd,040815brassi00672.asd.sco,190815_100N_B31_.csv,90.46177139,9.9896,3.81,38.05,-30.6367863
254,100N_brassica32,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00678.asd.txt,040815brassi00678.asd,040815brassi00678.asd.sco,190815_100N_B32_.csv,79.38911369,6.9329,6.04,41.87,-30.98631716
255,100N_brassica33,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00684.asd.txt,040815brassi00684.asd,040815brassi00684.asd.sco,190815_100N_B33_.csv,84.91183613,8.5491,4.45,38.08,-31.44978844
256,100N_brassica34,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00690.asd.txt,040815brassi00690.asd,040815brassi00690.asd.sco,190815_100N_B34_.csv,79.64441766,5.9229,7.33,43.39,-29.69589384
257,MmOLV_1,Moricandia moricandioides OLVERA,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00696.asd.txt,040815brassi00696.asd,040815brassi00696.asd.sco,280815_MmOLV1_.csv,84.78388422,21.2955,1.97,41.92,-32.20932515
258,MmBAZ_2,Moricandia moricandioides BAZA,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00705.asd.txt,040815brassi00705.asd,040815brassi00705.asd.sco,280815_MmBAZ_2_.csv,87.88409981,11.7512,3.2,37.58,-32.8043867
259,MmBAZ_3,Moricandia moricandioides BAZA,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00711.asd.txt,040815brassi00711.asd,040815brassi00711.asd.sco,290815_MmBAZ_3_.csv,86.40169377,11.9697,2.95,35.34,-31.89177129
260,MmOLV 4,Moricandia moricandioides OLVERA,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00720.asd.txt,040815brassi00720.asd,040815brassi00720.asd.sco,290815_MmOLV_4_.csv,94.62172443,19.7712,2.06,40.7,-31.91469961
261,MmOLV_5,Moricandia moricandioides OLVERA,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00726.asd.txt,040815brassi00726.asd,040815brassi00726.asd.sco,290815_MmOLV_5_.csv,90.30714001,21.4052,1.92,41.18,-31.90837147
262,MmBAZ_6,Moricandia moricandioides BAZA,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00735.asd.txt,040815brassi00735.asd,040815brassi00735.asd.sco,290815_MmBAZ_6_.csv,86.64444213,11.4436,3.07,35.12,-32.41797212
263,MmOLV_7,Moricandia moricandioides OLVERA,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00741.asd.txt,040815brassi00741.asd,040815brassi00741.asd.sco,290815_MmOLV_7_.csv,88.41367645,17.1731,2.37,40.72,-31.88523024
264,MmBAZ_8,Moricandia moricandioides BAZA,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00747.asd.txt,040815brassi00747.asd,040815brassi00747.asd.sco,290815_MmBAZ_8_.csv,87.41896759,12.7701,2.94,37.6,-31.97331822
