no,sample,Species,Plant_type,Sun_Shade,Phenological_stage,Soil,photosynthesis,conditions,experiment,Site_name,FieldSpec file,FieldSpec_original,FieldSpec_original_splice_corrected,Li6400 file,LWC,CN Ratio,N%,C%,13C
56,B32,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400536.asd.txt,ExpUrteAugust201400536.asd,ExpUrteAugust201400536.asd.sco,August2014_B32_.csv,82.69670833,7.7955,5.26,41.01,-30.30816739
57,B33,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400542.asd.txt,ExpUrteAugust201400542.asd,ExpUrteAugust201400542.asd.sco,August2014_B33_.csv,79.57887701,6.6737,6.25,41.72,-29.69872856
58,B34,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400551.asd.txt,ExpUrteAugust201400551.asd,ExpUrteAugust201400551.asd.sco,August2014_B34_.csv,78.85266346,7.3684,5.93,43.69,-30.49513092
59,B35,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400560.asd.txt,ExpUrteAugust201400560.asd,ExpUrteAugust201400560.asd.sco,August2014_B35_.csv,79.89871445,7.4568,5.51,41.1,-30.45793256
60,B36,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400569.asd.txt,ExpUrteAugust201400569.asd,ExpUrteAugust201400569.asd.sco,August2014_B36_.csv,79.75411461,7.273,5.78,42.01,-30.19630723
61,B37,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400579.asd.txt,ExpUrteAugust201400579.asd,ExpUrteAugust201400579.asd.sco,August2014_B37_.csv,79.81144343,8.6096,4.44,38.24,-30.528562
62,B38,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400590.asd.txt,ExpUrteAugust201400590.asd,ExpUrteAugust201400590.asd.sco,August2014_B38_.csv,70.22274326,5.2823,8.16,43.13,-29.12291668
63,B39,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400596.asd.txt,ExpUrteAugust201400596.asd,ExpUrteAugust201400596.asd.sco,August2014_B39_.csv,73.39719971,5.9086,6.92,40.88,-32.36397799
64,B40,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400605.asd.txt,ExpUrteAugust201400605.asd,ExpUrteAugust201400605.asd.sco,August2014_B40_.csv,78.56541269,8.8402,4.83,42.72,-30.69643005
1,M1,Zea mays,Agricultural,Sun,Mature,Pot,C4,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400002.asd.txt,ExpUrteAugust201400002.asd,ExpUrteAugust201400002.asd.sco,August2014_M1_.csv,97.64641489,30.8165,1.38,42.64,-12.8501313
2,M2,Zea mays,Agricultural,Sun,Mature,Pot,C4,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400008.asd.txt,ExpUrteAugust201400008.asd,ExpUrteAugust201400008.asd.sco,August2014_M2_.csv,97.4128234,36.5184,1.15,41.96,-12.67547194
3,M3,Zea mays,Agricultural,Sun,Mature,Pot,C4,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400017.asd.txt,ExpUrteAugust201400017.asd,ExpUrteAugust201400017.asd.sco,August2014_M3_.csv,96.77906392,34.8616,1.24,43.14,-12.71084369
4,M4,Zea mays,Agricultural,Sun,Mature,Pot,C4,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400026.asd.txt,ExpUrteAugust201400026.asd,ExpUrteAugust201400026.asd.sco,August2014_M4_.csv,96.93934335,33.9749,1.26,42.9,-12.67778977
5,M5,Zea mays,Agricultural,Sun,Mature,Pot,C4,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400035.asd.txt,ExpUrteAugust201400035.asd,ExpUrteAugust201400035.asd.sco,August2014_M5_.csv,96.67326733,36.5446,1.16,42.43,-12.8120467
6,M6,Zea mays,Agricultural,Sun,Mature,Pot,C4,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400044.asd.txt,ExpUrteAugust201400044.asd,ExpUrteAugust201400044.asd.sco,August2014_M6_.csv,97.23356009,42.2881,1.02,42.95,-12.99275021
7,M7,Zea mays,Agricultural,Sun,Mature,Pot,C4,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400053.asd.txt,ExpUrteAugust201400053.asd,ExpUrteAugust201400053.asd.sco,August2014_M7_.csv,96.16576297,40.349,1.05,42.25,-12.73913989
8,M8,Zea mays,Agricultural,Sun,Mature,Pot,C4,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400062.asd.txt,ExpUrteAugust201400062.asd,ExpUrteAugust201400062.asd.sco,August2014_M8_.csv,96.92246203,38.6095,1.1,42.44,-12.83219456
9,M9,Zea mays,Agricultural,Sun,Mature,Pot,C4,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400071.asd.txt,ExpUrteAugust201400071.asd,ExpUrteAugust201400071.asd.sco,August2014_M9_.csv,95.44487016,39.8389,1.06,42.38,-12.90871782
10,M10,Zea mays,Agricultural,Sun,Mature,Pot,C4,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400080.asd.txt,ExpUrteAugust201400080.asd,ExpUrteAugust201400080.asd.sco,August2014_M10_.csv,95.13788099,41.7115,1.01,42.07,-12.78786248
31,M11,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400269.asd.txt,ExpUrteAugust201400269.asd,ExpUrteAugust201400269.asd.sco,August2014_M11_.csv,97.24901751,14.1769,3.16,44.85,-14.95202463
32,M12,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400278.asd.txt,ExpUrteAugust201400278.asd,ExpUrteAugust201400278.asd.sco,August2014_M12_.csv,97.83693844,15.3802,2.89,44.52,-14.9948936
33,M13,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400287.asd.txt,ExpUrteAugust201400287.asd,ExpUrteAugust201400287.asd.sco,August2014_M13_.csv,97.58064516,18.0411,2.45,44.13,-14.67053145
34,M14,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400296.asd.txt,ExpUrteAugust201400296.asd,ExpUrteAugust201400296.asd.sco,August2014_M14_.csv,98.039902,18.7641,2.36,44.29,-14.78817924
35,M15,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400305.asd.txt,ExpUrteAugust201400305.asd,ExpUrteAugust201400305.asd.sco,August2014_M15_.csv,97.03615886,21.9959,2,43.98,-15.14832146
36,M16,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400314.asd.txt,ExpUrteAugust201400314.asd,ExpUrteAugust201400314.asd.sco,August2014_M16_.csv,96.81238616,20.2176,2.2,44.47,-14.94033457
37,M17,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400326.asd.txt,ExpUrteAugust201400326.asd,ExpUrteAugust201400326.asd.sco,August2014_M17_.csv,97.58274451,13.3108,3.34,44.41,-14.62861178
38,M18,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400332.asd.txt,ExpUrteAugust201400332.asd,ExpUrteAugust201400332.asd.sco,August2014_M18_.csv,97.60670124,21.0496,2.1,44.14,-14.36274462
39,M19,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400341.asd.txt,ExpUrteAugust201400341.asd,ExpUrteAugust201400341.asd.sco,August2014_M19_.csv,98.10233819,22.0782,2,44.25,-14.84784947
40,M20,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400350.asd.txt,ExpUrteAugust201400350.asd,ExpUrteAugust201400350.asd.sco,August2014_M20_.csv,96.10054786,29.7807,1.46,43.61,-14.71936312
41,M21,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400359.asd.txt,ExpUrteAugust201400359.asd,ExpUrteAugust201400359.asd.sco,August2014_M21_.csv,98.3805668,16.6724,2.63,43.85,-14.67956696
42,M22,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400368.asd.txt,ExpUrteAugust201400368.asd,ExpUrteAugust201400368.asd.sco,August2014_M22_.csv,98.25274279,16.537,2.71,44.74,-14.22405333
