SampleID,date,TreeID,USDA_Code,Na,Ca,C_N,LMA,LDMC,T_Asat,Asat,Vcmax25,Vcmax,T_Rdark,Rdark25,Rdark
BNL19226,20210721,81,BEAL2,1278.128008,25895.29596,20.26033058,52.81520693,0.410280374,25.99648333,14.33887804,57.1090652,62.65754491,26.00723333,0.58266813,0.602751085
BNL19252,20210722,87,QUAL,2092.01155,47896.0539,22.89473684,100.0962464,0.481481481,25.99643333,5.100715648,38.76480886,37.71185919,26.00145,1.126796285,1.17013871
BNL19253,20210722,87,QUAL,2109.961501,45497.23292,21.56306306,95.04331088,0.5,25.99918333,8.197582633,56.33089597,54.79595506,25.99735,1.027464586,1.066821884
BNL19254,20210722,82,ACRU,1221.559192,28721.25295,23.51196172,58.44780821,0.428205128,25.9987,4.226378381,25.26166359,25.9685621,25.9987,0.729866348,0.750903395
BNL19255,20210722,86,QURU,1445.795783,39269.4199,27.16111111,80.32198793,0.441346154,25.99181667,8.93023254,42.5673526,46.15406712,25.99903333,0.774400263,0.818982962
BNL19256,20210722,83,BEAL2,1322.74623,29600.25666,22.37788018,60.95604748,0.452380952,25.98795,12.52025073,46.22366581,50.67403824,26.00566667,0.907318457,0.938541906
BNL19257,20210722,82,ACRU,1320.635226,34595.05294,26.1957672,69.87487969,0.422093023,26.00113333,4.031311697,30.11455069,30.95934366,26.00535,0.551985011,0.568002058
BNL19282,20210723,89,QUAL,1272.473532,32986.42926,25.92307692,69.91612815,0.452,26.00206667,3.504528164,22.9959749,22.36728743,25.99775,1.015420968,1.054332775
BNL19283,20210723,89,QUAL,1001.876805,24427.95958,24.38219895,52.45428296,0.421935484,25.99853333,3.759845231,24.59329127,23.92365809,26.00741667,0.737257225,0.765787569
BNL19284,20210723,91,ACRU,1191.049086,40058.95091,33.63333333,79.40327238,0.509259259,26.00195,4.808860599,27.47250183,28.24382004,25.9996,0.914273199,0.940649439
BNL19285,20210723,92,BEAL2,1393.52743,28638.99583,20.55144033,57.34680783,0.438650307,25.9992,11.88016168,46.48253019,51.01156064,25.99763333,1.004314255,1.038595809
BNL19286,20210723,92,BEAL2,1666.645279,33002.3313,19.80165289,68.86963961,0.45034965,25.9819,16.02811218,64.32523424,70.47844938,25.99115,1.384617119,1.431568777
BNL19287,20210723,91,QURU,1433.750401,34696.7597,24.2,69.93904395,0.461864407,25.99746667,13.04988129,55.48356827,60.18651993,25.98778333,0.951593367,1.005745135
BNL19312,20210808,95,QUAL,1804.427334,39043.50337,21.63761468,82.77189605,0.505882353,25.99678333,6.48160684,36.32930079,35.34210749,25.99845,0.81584357,0.847129673
BNL19313,20210808,95,QUAL,1426.275265,33619.34552,23.57142857,70.25986526,0.46416185,26.00033333,7.120532188,38.7337513,37.676913,25.99901667,0.915303329,0.950423763
