"","X","fname","Obs","HHMMSS","plot","study","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","QC"
"601",601,"b2_pop_e04_aci_mb_06-09-2016",10,"8:41:47",NA,NA,1233,0,33.1,0.451,983,7.71,1.69,28.34,6,1.42,1,2.84,26.29,28.34,24.93,1199.85,1149.42,15.595,24.635,40.18,63.47,499.3,1800,833,88.43,-7.5,0.219,0.7,-0.22,2.74,1,0,0.16,111115,1
"602",602,"b2_pop_e04_aci_mb_06-09-2016",11,"8:45:01",NA,NA,1426.5,0,35.2,0.446,1350,7.72,1.71,28.51,6,1.42,1,2.84,26.36,28.51,24.93,1599.72,1543.12,15.793,24.845,40.51,63.73,499.2,1799,854,88.43,-12.9,0.226,1,-0.22,2.74,1,0,0.16,111115,1
"603",603,"b2_pop_e04_aci_mb_06-09-2016",12,"8:48:49",NA,NA,1654.5,0,37.8,0.424,1760,7.6,1.76,28.5,6,1.42,1,2.84,26.34,28.5,24.92,2040.73,1977.27,15.371,24.283,39.48,62.38,499.3,1799,871,88.42,-18.8,0.228,0.7,-0.22,2.74,1,0,0.16,111115,1
"605",605,"b2_pop_e04_aci_mb_06_01_2016",1,"9:21:46",NA,NA,115,0,25.5,0.463,256,7.41,1.59,27.1,6,1.42,1,2.84,26.09,27.1,24.96,399.44,365.58,14.136,22.821,36.74,59.32,500,1801,0,88.18,2.72,-0.185,1,-0.22,2.74,1,0,0.16,111115,1
"606",606,"b2_pop_e04_aci_mb_06_01_2016",2,"9:23:16",NA,NA,205,0,18.6,0.464,196,7.37,1.58,27.07,6,1.42,1,2.84,26.06,27.07,24.96,300.35,275.62,14.222,22.861,37.04,59.53,500,1800,0,88.18,2.62,-0.181,1,-0.22,2.74,1,0,0.16,111115,1
"607",607,"b2_pop_e04_aci_mb_06_01_2016",3,"9:24:46",NA,NA,295,0,11,0.463,137,7.33,1.57,27.06,6,1.42,1,2.84,26.04,27.06,24.95,199.92,185.12,14.329,22.918,37.35,59.74,500,1800,0,88.18,2.32,-0.19,1,-0.22,2.74,1,0,0.16,111115,1
"608",608,"b2_pop_e04_aci_mb_06_01_2016",4,"9:26:16",NA,NA,385,0,3.17,0.463,80.1,7.28,1.56,27,6,1.42,1,2.84,26.01,27,24.95,99.71,95.07,14.353,22.886,37.49,59.78,500,1801,0,88.18,1.93,-0.187,1,-0.22,2.74,1,0,0.16,111115,1
"609",609,"b2_pop_e04_aci_mb_06_01_2016",5,"9:27:46",NA,NA,475,0,-0.726,0.456,52.6,7.2,1.56,26.98,6,1.42,1,2.84,25.99,26.98,24.96,50.74,51.16,14.353,22.801,37.54,59.63,500,1800,0,88.17,1.82,-0.187,1,-0.22,2.74,1,0,0.16,111115,1
"612",612,"b2_pop_e04_aci_mb_06_01_2016",8,"9:32:59",NA,NA,788.5,0,36.3,0.452,392,7.3,1.6,27.23,6,1.42,1,2.84,26.12,27.23,24.97,599.79,551.37,14.506,23.059,37.63,59.81,500,1799,0,88.17,2.92,-0.18,1,-0.22,2.74,1,0,0.16,111115,1
"613",613,"b2_pop_e04_aci_mb_06_01_2016",9,"9:34:30",NA,NA,879.5,0,42.2,0.452,555,7.34,1.61,27.3,6,1.42,1,2.84,26.16,27.3,24.96,801.05,743.86,14.506,23.116,37.56,59.85,500,1800,0,88.17,2.99,-0.184,1,-0.22,2.74,1,0,0.16,111115,1
"614",614,"b2_pop_e04_aci_mb_06_01_2016",10,"9:36:20",NA,NA,989.5,0,45.3,0.449,922,7.36,1.62,27.37,6,1.42,1,2.84,26.19,27.37,24.96,1200.59,1136.17,14.472,23.1,37.4,59.69,500,1799,0,88.17,2.82,-0.182,0.7,-0.22,2.74,1,0,0.16,111115,1
"615",615,"b2_pop_e04_aci_mb_06_01_2016",11,"9:38:18",NA,NA,1107.5,0,47.2,0.446,1290,7.41,1.64,27.49,6,1.42,1,2.84,26.25,27.49,24.96,1599.58,1529.34,14.512,23.198,37.36,59.71,500,1799,0,88.17,2.49,-0.179,1,-0.22,2.74,1,0,0.16,111115,1
"616",616,"b2_pop_e04_aci_mb_06_01_2016",12,"9:39:57",NA,NA,1206,0,48.8,0.443,1670,7.51,1.67,27.7,6,1.42,1,2.84,26.36,27.7,24.95,1999.83,1923.92,14.547,23.346,37.22,59.73,500,1800,0,88.17,2.26,-0.182,0.7,-0.22,2.74,1,0,0.16,111115,1
"618",618,"b2_pop_e04_aci_mb_07_06_2016",1,"10:08:37",NA,NA,298.5,0,22.3,0.311,235,5.96,1.82,28.2,6,1.42,1,2.84,26.06,28.2,25,399.94,370.51,15.797,22.799,41.3,59.61,499.3,1799,1025,88.53,4.52,-0.255,1,-0.22,2.74,1,0,0.16,111115,1
"619",619,"b2_pop_e04_aci_mb_07_06_2016",2,"10:10:08",NA,NA,389.5,0,15.5,0.286,177,5.76,1.9,28.28,6,1.42,1,2.84,26.04,28.28,25,300.04,279.52,15.339,22.107,40.14,57.85,499.3,1799,997,88.54,4.1,-0.226,1,-0.22,2.74,1,0,0.16,111115,1
"620",620,"b2_pop_e04_aci_mb_07_06_2016",3,"10:11:52",NA,NA,493.5,0,8.89,0.254,122,5.48,2.01,28.46,6,1.42,1,2.84,26.06,28.46,25.01,200.19,188.26,14.9,21.34,38.97,55.81,499.3,1799,1093,88.54,3.53,-0.206,1,-0.22,2.74,1,0,0.16,111115,1
"621",621,"b2_pop_e04_aci_mb_07_06_2016",4,"10:13:24",NA,NA,585.5,0,2.62,0.24,74.2,5.34,2.07,28.53,6,1.42,1,2.84,26.05,28.53,25,100.05,96.28,14.567,20.847,38.1,54.53,499.3,1799,1110,88.54,2.81,-0.188,1,-0.22,2.74,1,0,0.16,111115,1
"622",622,"b2_pop_e04_aci_mb_07_06_2016",5,"10:14:46",NA,NA,667.5,0,-0.486,0.234,51.8,5.31,2.1,28.59,6,1.42,1,2.84,26.05,28.59,25,49.95,50.22,14.328,20.583,37.48,53.84,499.3,1800,1104,88.54,2.44,-0.182,1,-0.22,2.74,1,0,0.16,111115,1
"625",625,"b2_pop_e04_aci_mb_07_06_2016",8,"10:19:31",NA,NA,952.5,0,26.5,0.178,296,4.53,2.32,28.93,6,1.42,1,2.84,26.06,28.93,25,600.36,565.48,13.695,19.033,35.8,49.76,499.3,1800,1164,88.54,4.57,-0.117,1,-0.22,2.74,1,0,0.16,111115,1
"626",626,"b2_pop_e04_aci_mb_07_06_2016",9,"10:21:48",NA,NA,1089.5,0,27,0.115,348,3.29,2.56,29.32,6,1.42,1,2.84,26.1,29.32,25,799.68,764.2,13.457,17.346,35.11,45.25,499.3,1799,1180,88.54,4.74,-0.0689,1,-0.22,2.74,1,0,0.16,111115,1
"627",627,"b2_pop_e04_aci_mb_07_06_2016",10,"10:24:02",NA,NA,1223.5,0,33.4,0.0971,548,2.88,2.63,29.35,6,1.42,1,2.84,26.1,29.35,25,1200.11,1155.99,13.27,16.671,34.61,43.48,499.3,1799,1198,88.54,4.7,-0.0489,1,-0.22,2.74,1,0,0.16,111115,1
"628",628,"b2_pop_e04_aci_mb_07_06_2016",11,"10:25:48",NA,NA,1329.5,0,35.4,0.0925,865,2.78,2.66,29.4,6,1.42,1,2.84,26.12,29.4,25,1601.46,1553.78,13.162,16.447,34.3,42.86,499.3,1801,1213,88.54,4.23,-0.0359,1,-0.22,2.74,1,0,0.16,111115,1
"629",629,"b2_pop_e04_aci_mb_07_06_2016",12,"10:28:19",NA,NA,1480.5,0,35.1,0.0779,1140,2.44,2.76,29.61,6,1.42,1,2.84,26.15,29.61,25,2000.5,1952.6,13.049,15.931,33.95,41.44,499.3,1800,1223,88.54,3.31,-0.0159,1,-0.22,2.74,1,0,0.16,111115,1
"631",631,"b2_pop_e10_aci_km_05_24_2016",1,"9:44:04",NA,NA,719.5,0,16.5,0.163,197,4.11,2.3,26.44,6,1.42,1,2.84,25.38,26.44,24.97,400.3,378.69,8.367,13.239,22.67,35.87,500,1799,0,88.11,2.34,-0.1,1,-0.22,2.74,1,0,0.16,111125,1
"632",632,"b2_pop_e10_aci_km_05_24_2016",2,"9:45:34",NA,NA,810,0,11.7,0.162,154,4.15,2.32,26.54,6,1.42,1,2.84,25.42,26.54,24.97,300.43,284.95,8.31,13.223,22.46,35.74,500,1799,0,88.12,2.26,-0.0979,1,-0.22,2.74,1,0,0.16,111125,1
"633",633,"b2_pop_e10_aci_km_05_24_2016",3,"9:47:04",NA,NA,900,0,6.91,0.161,113,4.15,2.33,26.6,6,1.42,1,2.84,25.44,26.6,24.96,200.93,191.68,8.258,13.168,22.29,35.54,500,1800,0,88.11,2.12,-0.104,1,-0.22,2.74,1,0,0.16,111125,1
"634",634,"b2_pop_e10_aci_km_05_24_2016",4,"9:48:34",NA,NA,989.5,0,4.26,0.16,93.1,4.14,2.35,26.62,6,1.42,1,2.84,25.45,26.62,24.96,148.82,143,8.205,13.104,22.14,35.35,500,1800,0,88.11,2.05,-0.102,1,-0.22,2.74,1,0,0.16,111125,1
"635",635,"b2_pop_e10_aci_km_05_24_2016",5,"9:50:04",NA,NA,1080,0,1.89,0.158,73,4.16,2.38,26.78,6,1.42,1,2.84,25.52,26.78,24.97,99.52,96.77,8.168,13.097,21.95,35.19,500,1798,0,88.12,1.93,-0.106,1,-0.22,2.74,1,0,0.16,111125,1
"636",636,"b2_pop_e10_aci_km_05_24_2016",6,"9:51:34",NA,NA,1170,0,-0.59,0.158,52.8,4.15,2.38,26.76,6,1.42,1,2.84,25.5,26.76,24.96,48.36,48.82,8.127,13.046,21.86,35.09,500,1801,0,88.12,1.71,-0.106,1,-0.22,2.74,1,0,0.16,111125,1
"640",640,"b2_pop_e10_aci_km_05_24_2016",10,"9:58:53",NA,NA,1608.5,0,20.1,0.153,237,4.07,2.41,26.78,6,1.42,1,2.84,25.51,26.78,24.95,499.49,473.1,7.946,12.765,21.36,34.32,500,1800,0,88.12,2.4,-0.0934,1,-0.22,2.74,1,0,0.16,111125,1
"641",641,"b2_pop_e10_aci_km_05_24_2016",11,"10:00:46",NA,NA,1721.5,0,27.2,0.15,338,4.01,2.42,26.77,6,1.42,1,2.84,25.51,26.77,24.97,700.15,664.3,7.874,12.629,21.17,33.95,500,1799,0,88.12,2.29,-0.0966,1,-0.22,2.74,1,0,0.16,111125,1
"642",642,"b2_pop_e10_aci_km_05_24_2016",12,"10:03:09",NA,NA,1865,0,40.5,0.148,1550,3.95,2.41,26.65,6,1.42,1,2.84,25.46,26.65,24.96,2147.92,2089.38,7.751,12.427,20.91,33.52,500,1801,0,88.12,0.0499,-0.087,0.7,-0.22,2.74,1,0,0.16,111125,1
"647",647,"b2_pop_e10_aci_mb_05_31_2016",1,"9:53:41",NA,NA,192.5,0,18,0.204,211,6.43,2.89,28.54,6,1.42,1,2.84,26.61,28.54,24.94,401.71,377.17,4.033,11.657,10.14,29.3,500,1801,0,87.94,2.99,-0.153,0.7,-0.22,2.74,1,0,0.16,111115,1
"648",648,"b2_pop_e10_aci_mb_05_31_2016",2,"9:55:11",NA,NA,282.5,0,12.5,0.198,165,6.27,2.9,28.48,6,1.42,1,2.84,26.56,28.48,24.95,301,283.84,4.016,11.451,10.12,28.87,500,1801,0,87.94,2.84,-0.152,1,-0.22,2.74,1,0,0.16,111115,1
"649",649,"b2_pop_e10_aci_mb_05_31_2016",3,"9:56:41",NA,NA,372.5,0,7.19,0.192,119,6.08,2.89,28.38,6,1.42,1,2.84,26.49,28.38,24.95,200.96,190.93,3.987,11.206,10.09,28.37,500,1800,0,87.94,2.58,-0.148,1,-0.22,2.74,1,0,0.16,111115,1
"650",650,"b2_pop_e10_aci_mb_05_31_2016",4,"9:58:11",NA,NA,462.5,0,1.85,0.188,76.1,6,2.92,28.43,6,1.42,1,2.84,26.5,28.43,24.95,100.36,97.43,3.964,11.087,10.03,28.05,500,1801,0,87.94,2.23,-0.153,1,-0.22,2.74,1,0,0.16,111115,1
"651",651,"b2_pop_e10_aci_mb_05_31_2016",5,"9:59:41",NA,NA,552.5,0,0.0321,0.186,61.3,5.96,2.93,28.44,6,1.42,1,2.84,26.5,28.44,24.95,65.54,65.04,3.933,11.006,9.95,27.84,500,1800,0,87.94,2.06,-0.151,1,-0.22,2.74,1,0,0.16,111135,1
"654",654,"b2_pop_e10_aci_mb_05_31_2016",8,"10:04:52",NA,NA,863.5,0,26.1,0.181,298,5.96,2.99,28.7,6,1.42,1,2.84,26.65,28.7,24.96,600.44,565.09,3.861,10.94,9.69,27.44,500,1800,0,87.94,3.27,-0.141,1,-0.22,2.74,1,0,0.16,111115,1
"655",655,"b2_pop_e10_aci_mb_05_31_2016",9,"10:06:25",NA,NA,956.5,0,33.5,0.179,407,5.92,3,28.73,6,1.42,1,2.84,26.65,28.73,24.95,799.98,754.4,3.852,10.881,9.66,27.28,500,1800,0,87.93,3.39,-0.14,1,-0.22,2.74,1,0,0.16,111115,1
"656",656,"b2_pop_e10_aci_mb_05_31_2016",10,"10:08:20",NA,NA,1072,0,41.3,0.174,693,5.75,3,28.62,6,1.42,1,2.84,26.59,28.62,24.95,1200.63,1143.14,3.823,10.654,9.62,26.81,500,1800,0,87.93,3.28,-0.134,1,-0.22,2.74,1,0,0.16,111115,1
"657",657,"b2_pop_e10_aci_mb_05_31_2016",11,"10:09:59",NA,NA,1170.5,0,44,0.17,1030,5.6,2.99,28.52,6,1.42,1,2.84,26.53,28.52,24.95,1600.7,1537.54,3.788,10.441,9.57,26.36,500,1800,0,87.93,2.91,-0.13,0.7,-0.22,2.74,1,0,0.16,111115,1
"658",658,"b2_pop_e10_aci_mb_05_31_2016",12,"10:12:04",NA,NA,1295.5,0,45.4,0.166,1380,5.54,3.03,28.64,6,1.42,1,2.84,26.58,28.64,24.96,2000.2,1932.81,3.746,10.327,9.43,26,500,1800,0,87.93,2.47,-0.124,0.7,-0.22,2.74,1,0,0.16,111115,1
"660",660,"b2_pop_e10_aci_mb_06_08_2016",1,"8:25:59",NA,NA,135,0,23.3,0.462,265,8.87,1.91,27.61,6,1.42,1,2.84,26.3,27.61,24.93,399.67,367.81,9.98,20.417,25.65,52.47,499.3,1800,881,88.27,-0.432,0.173,1,-0.22,2.74,1,0,0.16,111115,1
"661",661,"b2_pop_e10_aci_mb_06_08_2016",2,"8:27:29",NA,NA,225,0,16.9,0.463,201,8.88,1.91,27.67,6,1.42,1,2.84,26.31,27.67,24.93,299.33,276.04,10.129,20.577,26.01,52.85,499.2,1800,887,88.27,0.169,0.189,1,-0.22,2.74,1,0,0.16,111115,1
"662",662,"b2_pop_e10_aci_mb_06_08_2016",3,"8:29:12",NA,NA,328,0,10.3,0.482,142,8.89,1.85,27.47,6,1.42,1,2.84,26.34,27.47,24.93,201.39,187.05,10.304,20.767,26.41,53.24,499.3,1799,891,88.27,0.489,0.0984,1,-0.22,2.74,1,0,0.16,111115,1
"663",663,"b2_pop_e10_aci_mb_06_08_2016",4,"8:30:42",NA,NA,418,0,3,0.482,82.2,8.84,1.83,27.46,6,1.42,1,2.84,26.32,27.46,24.93,101.22,96.59,10.47,20.867,26.87,53.56,499.3,1800,898,88.27,0.743,0.111,1,-0.22,2.74,1,0,0.16,111115,1
"664",664,"b2_pop_e10_aci_mb_06_08_2016",5,"8:32:13",NA,NA,509.5,0,-0.609,0.482,51.5,8.8,1.83,27.46,6,1.42,1,2.84,26.32,27.46,24.93,50.66,50.86,10.617,20.973,27.26,53.84,499.3,1801,900,88.27,0.774,0.122,1,-0.22,2.74,1,0,0.16,111115,1
"667",667,"b2_pop_e10_aci_mb_06_08_2016",8,"8:38:10",NA,NA,866,0,33.1,0.47,409,8.62,1.83,27.59,6,1.42,1,2.84,26.38,27.59,24.93,599.71,554.16,11.143,21.281,28.5,54.43,499.2,1800,925,88.27,-1.74,0.147,1,-0.22,2.74,1,0,0.16,111115,1
"668",668,"b2_pop_e10_aci_mb_06_08_2016",9,"8:40:16",NA,NA,992,0,39,0.465,570,8.62,1.84,27.73,6,1.42,1,2.84,26.44,27.73,24.93,799.5,744.87,11.315,21.451,28.83,54.66,499.2,1799,928,88.27,-3.27,0.15,1,-0.22,2.74,1,0,0.16,111115,1
"669",669,"b2_pop_e10_aci_mb_06_08_2016",10,"8:42:44",NA,NA,1140.5,0,42.8,0.46,931,8.64,1.86,27.93,6,1.42,1,2.84,26.52,27.93,24.92,1199.35,1136.1,11.531,21.689,29.25,55.02,499.3,1799,939,88.27,-7.64,0.169,0.7,-0.22,2.74,1,0,0.16,111115,1
"670",670,"b2_pop_e10_aci_mb_06_08_2016",11,"8:45:14",NA,NA,1290,0,44,0.451,1300,8.49,1.86,27.91,6,1.42,1,2.84,26.49,27.91,24.92,1599.33,1530.79,11.67,21.652,29.65,55.02,499.2,1801,949,88.28,-12.7,0.173,1,-0.22,2.74,1,0,0.16,111115,1
"671",671,"b2_pop_e10_aci_mb_06_08_2016",12,"8:48:28",NA,NA,1484.5,0,44.9,0.439,1720,8.33,1.87,27.91,6,1.42,1,2.84,26.48,27.91,24.92,2038.07,1964.4,11.761,21.562,29.9,54.82,499.2,1799,960,88.28,-18.8,0.18,0.7,-0.22,2.74,1,0,0.16,111115,1
"673",673,"b2_pop_e10_aci_mb_06_15_2016",1,"8:40:38",NA,NA,118.5,0,18.1,0.252,244,3.85,1.41,29.08,6,1.42,1,2.84,26.75,29.08,24.95,399.53,376.04,25.287,29.768,63.29,74.5,500,1799,0,88.26,2.91,-0.25,1,-0.22,2.74,1,0,0.16,111115,1
"674",674,"b2_pop_e10_aci_mb_06_15_2016",2,"8:42:08",NA,NA,208.5,0,12.9,0.252,190,3.79,1.39,29.03,6,1.42,1,2.84,26.7,29.03,24.95,300.65,283.94,25.487,29.899,63.97,75.04,499.9,1800,0,88.26,2.72,-0.255,1,-0.22,2.74,1,0,0.16,111115,1
"675",675,"b2_pop_e10_aci_mb_06_15_2016",3,"8:43:38",NA,NA,298,0,7.33,0.25,137,3.73,1.38,29.04,6,1.42,1,2.84,26.69,29.04,24.95,200.9,191.26,25.716,30.052,64.59,75.48,500,1801,0,88.26,2.39,-0.257,1,-0.22,2.74,1,0,0.16,111115,1
"676",676,"b2_pop_e10_aci_mb_06_15_2016",4,"8:45:08",NA,NA,388,0,1.67,0.252,83.8,3.7,1.36,29.02,6,1.42,1,2.84,26.67,29.02,24.95,99.99,97.55,25.964,30.271,65.26,76.09,500,1800,0,88.26,2.01,-0.25,1,-0.22,2.74,1,0,0.16,111115,1
"677",677,"b2_pop_e10_aci_mb_06_15_2016",5,"8:46:38",NA,NA,478.5,0,-0.962,0.256,57.2,3.7,1.34,29.03,6,1.42,1,2.84,26.66,29.03,24.95,51.17,52.09,26.17,30.47,65.84,76.66,500,1800,0,88.26,1.77,-0.255,1,-0.22,2.74,1,0,0.16,111115,1
"680",680,"b2_pop_e10_aci_mb_06_15_2016",8,"8:51:58",NA,NA,798.5,0,28.3,0.275,374,3.74,1.26,28.97,6,1.42,1,2.84,26.67,28.97,24.95,599.7,563.23,26.828,31.175,67.44,78.37,500,1801,0,88.26,3.22,-0.264,1,-0.22,2.74,1,0,0.16,111115,1
"681",681,"b2_pop_e10_aci_mb_06_15_2016",9,"8:53:42",NA,NA,902.5,0,33.8,0.279,532,3.7,1.24,28.89,6,1.42,1,2.84,26.63,28.89,24.95,800.34,756.45,26.984,31.284,68.01,78.85,500,1800,0,88.25,3.36,-0.256,1,-0.22,2.74,1,0,0.16,111115,1
"682",682,"b2_pop_e10_aci_mb_06_15_2016",10,"8:55:13",NA,NA,993.5,0,36.6,0.28,902,3.64,1.21,28.84,6,1.42,1,2.84,26.6,28.84,24.95,1200.79,1151.79,27.177,31.41,68.62,79.3,499.9,1800,0,88.25,3.23,-0.261,0.7,-0.22,2.74,1,0,0.16,111115,1
"683",683,"b2_pop_e10_aci_mb_06_15_2016",11,"8:56:51",NA,NA,1091,0,38.1,0.281,1280,3.6,1.2,28.82,6,1.42,1,2.84,26.58,28.82,24.95,1600.5,1548.05,27.364,31.547,69.18,79.76,500,1801,0,88.25,2.99,-0.261,0.7,-0.22,2.74,1,0,0.16,111115,1
"684",684,"b2_pop_e10_aci_mb_06_15_2016",12,"8:58:51",NA,NA,1211,0,39.4,0.284,1660,3.63,1.19,28.91,6,1.42,1,2.84,26.63,28.91,24.95,2000.93,1945.18,27.565,31.785,69.47,80.1,500,1800,0,88.25,2.78,-0.257,0.7,-0.22,2.74,1,0,0.16,111115,1
"686",686,"b2_pop_e10_aci_mb_06_23_2016",1,"8:03:41",NA,NA,154.5,0,15.6,0.225,247,5.13,2.11,27.44,6,1.42,1,2.84,26.25,27.44,24.97,399.11,378.01,11.584,17.626,29.94,45.56,500,1799,0,88.5,2.89,-0.145,1,-0.22,2.74,1,0,0.16,111115,1
"687",687,"b2_pop_e10_aci_mb_06_23_2016",2,"8:05:10",NA,NA,243.5,0,11.6,0.23,189,5.23,2.11,27.48,6,1.42,1,2.84,26.26,27.48,24.97,299.9,284.19,11.619,17.779,30.01,45.92,500,1799,0,88.5,2.62,-0.15,1,-0.22,2.74,1,0,0.16,111115,1
"688",688,"b2_pop_e10_aci_mb_06_23_2016",3,"8:06:40",NA,NA,333.5,0,6.76,0.235,135,5.28,2.09,27.46,6,1.42,1,2.84,26.25,27.46,24.96,199.73,190.41,11.678,17.904,30.17,46.26,500,1801,0,88.5,2.36,-0.152,1,-0.22,2.74,1,0,0.16,111115,1
"689",689,"b2_pop_e10_aci_mb_06_23_2016",4,"8:08:10",NA,NA,423.5,0,1.59,0.237,83,5.28,2.07,27.38,6,1.42,1,2.84,26.22,27.38,24.96,100.47,97.95,11.726,17.946,30.35,46.46,500,1801,0,88.5,2.05,-0.155,1,-0.22,2.74,1,0,0.16,111115,1
"690",690,"b2_pop_e10_aci_mb_06_23_2016",5,"8:09:40",NA,NA,514,0,-0.93,0.231,55.6,5.15,2.07,27.32,6,1.42,1,2.84,26.2,27.32,24.97,49.88,50.69,11.75,17.815,30.46,46.19,500,1799,0,88.5,1.79,-0.15,1,-0.22,2.74,1,0,0.16,111115,1
"693",693,"b2_pop_e10_aci_mb_06_23_2016",8,"8:14:37",NA,NA,811,0,25,0.241,370,5.29,2.05,27.3,6,1.42,1,2.84,26.21,27.3,24.96,600.18,566.54,11.77,18.003,30.49,46.64,500,1801,0,88.5,3,-0.145,1,-0.22,2.74,1,0,0.16,111115,1
"694",694,"b2_pop_e10_aci_mb_06_23_2016",9,"8:16:09",NA,NA,903,0,29.7,0.242,525,5.31,2.05,27.29,6,1.42,1,2.84,26.21,27.29,24.97,800.85,760.32,11.759,18.015,30.47,46.67,500,1799,0,88.5,3.22,-0.147,1,-0.22,2.74,1,0,0.16,111115,1
"695",695,"b2_pop_e10_aci_mb_06_23_2016",10,"8:17:47",NA,NA,1001,0,33.3,0.248,884,5.42,2.04,27.32,6,1.42,1,2.84,26.23,27.32,24.97,1200.6,1153.19,11.746,18.135,30.4,46.93,500,1799,0,88.5,3.17,-0.147,1,-0.22,2.74,1,0,0.16,111115,1
"696",696,"b2_pop_e10_aci_mb_06_23_2016",11,"8:19:26",NA,NA,1100,0,35.1,0.251,1260,5.48,2.04,27.33,6,1.42,1,2.84,26.23,27.33,24.97,1600.76,1548.41,11.747,18.204,30.39,47.1,500,1800,0,88.51,2.83,-0.141,1,-0.22,2.74,1,0,0.16,111115,1
"697",697,"b2_pop_e10_aci_mb_06_23_2016",12,"8:21:05",NA,NA,1198.5,0,36.5,0.251,1630,5.49,2.04,27.37,6,1.42,1,2.84,26.25,27.37,24.97,2000.3,1943.65,11.768,18.236,30.42,47.14,500,1799,0,88.51,2.71,-0.138,0.7,-0.22,2.74,1,0,0.16,111115,1
"699",699,"b2_pop_e10_aci_mb_06_27_2016",1,"7:43:17",NA,NA,347,0,22.3,0.43,264,8.09,1.86,28.08,6,1.42,1,2.84,26.22,28.08,24.93,398.76,368.38,12.564,22.073,32.58,57.24,499.2,1799,830,88.62,-0.377,0.206,1,-0.22,2.74,1,0,0.16,111115,1
"700",700,"b2_pop_e10_aci_mb_06_27_2016",2,"7:44:47",NA,NA,437,0,16.3,0.426,200,8.05,1.86,28.18,6,1.42,1,2.84,26.23,28.18,24.92,299.35,277.03,12.777,22.238,33.1,57.61,499.2,1799,681,88.62,0.271,0.247,1,-0.22,2.74,1,0,0.16,111115,1
"701",701,"b2_pop_e10_aci_mb_06_27_2016",3,"7:46:17",NA,NA,527,0,9.69,0.421,139,7.99,1.87,28.22,6,1.42,1,2.84,26.24,28.22,24.92,199.59,186.16,12.897,22.285,33.39,57.7,499.2,1800,370,88.62,0.642,0.218,1,-0.22,2.74,1,0,0.16,111115,1
"702",702,"b2_pop_e10_aci_mb_06_27_2016",4,"7:47:47",NA,NA,617,0,2.69,0.414,82.1,7.91,1.88,28.11,6,1.42,1,2.84,26.17,28.11,24.92,101.07,96.91,12.625,21.922,32.84,57.02,499.2,1801,249,88.62,0.879,0.235,1,-0.22,2.74,1,0,0.16,111115,1
"703",703,"b2_pop_e10_aci_mb_06_27_2016",5,"7:49:17",NA,NA,707,0,-0.735,0.401,52.3,7.78,1.9,28.03,6,1.42,1,2.84,26.11,28.03,24.92,50.35,50.75,12.313,21.457,32.12,55.98,499.2,1801,252,88.62,0.896,0.229,1,-0.22,2.74,1,0,0.16,111115,1
"706",706,"b2_pop_e10_aci_mb_06_27_2016",8,"7:55:03",NA,NA,1053.5,0,27.7,0.366,411,7.39,1.96,27.73,6,1.42,1,2.84,25.98,27.73,24.93,600.54,562.42,11.372,20.044,29.9,52.69,501,1800,196,88.62,-1.78,0.187,1,-0.22,2.74,1,0,0.16,111115,1
"707",707,"b2_pop_e10_aci_mb_06_27_2016",9,"7:57:02",NA,NA,1172.5,0,30.4,0.352,580,7.24,1.99,27.69,6,1.42,1,2.84,25.95,27.69,24.93,800.09,757.13,11.149,19.653,29.37,51.76,501,1800,215,88.62,-3.69,0.177,1,-0.22,2.74,1,0,0.16,111115,1
"708",708,"b2_pop_e10_aci_mb_06_27_2016",10,"7:59:24",NA,NA,1314.5,0,31.6,0.335,948,7.07,2.03,27.71,6,1.42,1,2.84,25.94,27.71,24.93,1201.06,1153.49,10.932,19.232,28.82,50.7,501,1800,239,88.62,-8.16,0.161,1,-0.22,2.74,1,0,0.16,111115,1
"709",709,"b2_pop_e10_aci_mb_06_27_2016",11,"8:01:59",NA,NA,1469,0,32.5,0.32,1320,6.92,2.06,27.75,6,1.42,1,2.84,25.94,27.75,24.93,1600.23,1548.43,10.766,18.897,28.38,49.82,501,1800,231,88.62,-13.3,0.14,1,-0.22,2.74,1,0,0.16,111115,1
"710",710,"b2_pop_e10_aci_mb_06_27_2016",12,"8:04:59",NA,NA,1649,0,33.2,0.304,1720,6.74,2.11,27.83,6,1.42,1,2.84,25.95,27.83,24.93,2040.09,1984.29,10.665,18.584,28.09,48.95,501.1,1800,260,88.63,-19.7,0.143,1,-0.22,2.74,1,0,0.16,111115,1
"712",712,"b2_pop_e10_aci_mb_06_30_2016",1,"8:28:20",NA,NA,599,0,9.83,0.266,312,4.42,1.56,25.37,6,1.42,1,2.84,25.06,25.37,24.98,399.64,385.81,13.925,19.122,38.58,52.98,500,1799,0,88.43,2.13,-0.163,1,-0.22,2.74,1,0,0.16,111115,1
"713",713,"b2_pop_e10_aci_mb_06_30_2016",2,"8:29:50",NA,NA,689,0,7.08,0.265,237,4.37,1.55,25.39,6,1.42,1,2.84,25.07,25.39,24.98,301.03,291.01,14.079,19.226,38.99,53.25,500,1799,0,88.43,2.03,-0.167,1,-0.22,2.74,1,0,0.16,111115,1
