ID,Year,Fertilisation,Season,Site,Plot,Tree,Rep,Family,Genus,Species,Photosynthesis,Vcmax,Jmax,Rd,Vcmax_TPU,Jmax_TPU,TPU,Asat,Cond,SLA,C,N,P,K,Ca,Mg,Mn,Phenol_Perc,Phenol,Tannin_Perc,Tannin,CII,Height,Diameter10cm,Diameter50cm,LAI,Herbivory
(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(cm² g-1),(%),(%),(%),(%),(%),(%),(%),(%),(mg g-1),(%),(mg g-1),(/),(cm),(mm),(mm),(m² m-2),(%)
2017_dry_PAR-B1_EF9_Asat,2017,N,dry,PAR,B1,EF9,1,Fabaceae,Eperua,falcata,Asat,NA,NA,NA,NA,NA,NA,4.236678251,0.07655588,60.23481781,50.41501236,1.115686059,0.063859981,0.7515965,0.275775781,0.165649243,0.005875118,NA,NA,NA,NA,1,91.6,6.48,3.6,NA,NA
2017_dry_PAR-B1_IH1_Asat,2017,N,dry,PAR,B1,IH1,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,3.563954498,0.077021563,344.2296719,51.40912247,1.846090794,0.06122449,0.830727452,0.523034891,0.287068795,0.007736998,NA,NA,NA,NA,1,108.6,14.17,10.71,NA,NA
2017_dry_PAR-B1_IH10_Asat,2017,N,dry,PAR,B1,IH10,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,5.096952959,0.120544624,155.8958873,52.00595474,2.052604198,0.054932073,0.995643828,0.480797401,0.230409037,0.010246604,NA,NA,NA,NA,1,74.4,9.54,5.3,NA,NA
2017_dry_PAR-B1_IH2_Asat,2017,N,dry,PAR,B1,IH2,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,5.414432105,0.124479722,115.9056474,51.43972778,1.465878725,0.052708638,0.700860176,0.569538799,0.193984261,0.007851391,NA,NA,NA,NA,1,75.6,12.86,8.8,NA,NA
2017_dry_PAR-B1_IH8_Asat,2017,N,dry,PAR,B1,IH8,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,3.064128539,0.059151909,120.6588059,51.84637451,1.444312096,0.04787234,0.470620013,0.566319814,0.247417719,0.013247174,NA,NA,NA,NA,1,99.8,11.59,8.65,NA,NA
2017_dry_PAR-B1_IH9_Asat,2017,N,dry,PAR,B1,IH9,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,4.278491741,0.113685265,128.1429898,51.13921738,1.805009007,0.056134969,0.581134969,0.772490798,0.308254601,0.017690184,NA,NA,NA,NA,1,72.3,11.44,5.25,NA,NA
2017_dry_PAR-B1_LP1_Asat,2017,N,dry,PAR,B1,LP1,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,2.99724246,0.094214769,149.817488,50.556427,1.517286658,0.061610594,1.423837945,0.161791185,0.141606215,0.002774345,NA,NA,NA,NA,1,92.5,8.01,5.8,NA,NA
2017_dry_PAR-B1_LP2_Asat,2017,N,dry,PAR,B1,LP2,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,3.368414912,0.122350258,145.7906216,50.11300278,1.487383366,0.069285481,1.101890228,0.085828291,0.095526639,0.001984316,NA,NA,NA,NA,1,160.4,13,10.43,NA,NA
2017_dry_PAR-B1_LP3_Asat,2017,N,dry,PAR,B1,LP3,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,4.405338921,0.126866112,230.7394199,50.0968132,1.493132591,0.049078924,0.497467004,0.302063724,0.255303848,0.003495522,NA,NA,NA,NA,1,125.5,16.92,11.3,NA,NA
2017_dry_PAR-B1_LP4_Asat,2017,N,dry,PAR,B1,LP4,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,3.544278635,0.064729728,118.1913108,50.84596634,1.57680738,0.044823547,0.626905458,0.307937413,0.206594537,0.012267999,NA,NA,NA,NA,1,141.5,11.13,8.59,NA,NA
