ID,Year,Fertilisation,Season,Site,Plot,Tree,Branch,Rep,Family,Genus,Species,Vcmax,Jmax,Rd,Vcmax_TPU,Jmax_TPU,TPU,CCI,SLA,C,N,P,K,Ca,Mg,Mn,S,Na,V,Sr,As,Cd,Cr,Cu,Fe,Pb,Zn,Mo,CII,Height,Remark_Height/CII
(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(/),(cm² g-1),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(/),(m),(/)
2019_wet_NOU-S1_107D1,2019,N,wet,NOU,S1,107,D,1,Chrysobalanaceae,Licania,alba,22.494,40.662,0.5,22.687,48.264,2.891,49.53333333,80.80821918,48.48043823,1.253645182,0.035450888,0.523664539,0.126618319,0.247897186,0.002343291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,
2019_wet_NOU-S1_107T3,2019,N,wet,NOU,S1,107,T,3,Chrysobalanaceae,Licania,alba,18.342,27.029,0.578,NA,NA,NA,43.13333333,69.07744734,48.35253143,1.042456388,0.028031809,0.373644552,0.177754995,0.23647699,0.003245542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,
2019_wet_NOU-S1_107T2,2019,N,wet,NOU,S1,107,T,2,Chrysobalanaceae,Licania,alba,7.654,13.213,0.578,NA,NA,NA,39.8,83.35959765,47.81269073,1.230902195,0.032186459,0.443503043,0.150047394,0.2640649,0.003140446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,
2019_wet_NOU-S1_107T1,2019,N,wet,NOU,S1,107,T,1,Chrysobalanaceae,Licania,alba,8.013,18.579,0.578,NA,NA,NA,38.3,71.57769145,48.28446579,1.130032063,0.027017665,0.398001235,0.165190271,0.232351132,0.002939294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,
2019_wet_NOU-S1_71D3,2019,N,wet,NOU,S1,71,D,3,Chrysobalanaceae,Licania,alba,13.606,21.753,1.025,NA,NA,NA,25.26666667,96.38333333,46.94715881,1.15086031,0.031173594,0.572706172,0.200962769,0.225809548,0.003838942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,23,
2019_wet_NOU-S1_71D2,2019,N,wet,NOU,S1,71,D,2,Chrysobalanaceae,Licania,alba,13.159,15.321,1.025,11.289,18.866,1.174,33.3,94.37914692,47.6035347,1.491735101,0.038946588,0.572282709,0.13275299,0.155484498,0.0019269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,23,
2019_wet_NOU-S1_71D1,2019,N,wet,NOU,S1,71,D,1,Chrysobalanaceae,Licania,alba,8.893,14.925,1.025,NA,NA,NA,31.63333333,96.69907407,47.22759628,1.216960073,0.033174866,0.661772922,0.14735293,0.185703117,0.002582507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,23,
2019_wet_NOU-S1_71T2,2019,N,wet,NOU,S1,71,T,2,Chrysobalanaceae,Licania,alba,16.986,44.338,0.438,NA,NA,NA,32.2,93.69218989,47.41461182,1.321447134,0.036337209,0.368482851,0.093100026,0.13644941,0.001680839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,25,
2019_wet_NOU-S1_71T1,2019,N,wet,NOU,S1,71,T,1,Chrysobalanaceae,Licania,alba,15.954,41.614,0.438,NA,NA,NA,28.46666667,91.3193096,47.66671371,1.045410872,0.034527972,0.350287428,0.10034606,0.152561467,0.001467749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,25,
2019_wet_NOU-S4_79T1,2019,C,wet,NOU,S4,79,T,1,Chrysobalanaceae,Licania,alba,8.391,32.511,1.001,NA,NA,NA,38.6,60.13131313,49.72257614,1.307699919,0.031390639,0.456121152,0.154198364,0.071590382,0.003765261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,32,
