SampleID,Spectra_name,date,Genus_species,Site,Plot,AQ,ACi,Rdark,survey,gswQ,gswTleaf,gswRH,gswdarkCO2,gswdarkRH,gswdarkTleaf,Refl,Tran,Vertical_Position,Vertical_Profile,Vertical_Level,Tleaf_Spec
SPC10046,B03_03,20220207,Anacardium excelsum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B03,B,3,NA
SPC10047,B04_01,20220207,Anacardium excelsum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B04,B,4,NA
SPC10048,B04_02,20220207,Anacardium excelsum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B04,B,4,NA
SPC10049,B04_03,20220207,Anacardium excelsum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B04,B,4,NA
SPC10050,B05_01,20220207,Anacardium excelsum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B05,B,5,NA
SPC10051,B05_02,20220207,Anacardium excelsum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B05,B,5,NA
SPC10052,B05_03,20220207,Anacardium excelsum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B05,B,5,NA
SPC10053,B05_04,20220207,Cecropia peltata,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B05,B,5,NA
SPC10054,B05_05,20220207,Cecropia peltata,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B05,B,5,NA
SPC10055,B05_06,20220207,Calycophyllum candidissimum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B05,B,5,NA
SPC10056,B05_07,20220207,Calycophyllum candidissimum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B05,B,5,NA
SPC10057,B05_08,20220207,Calycophyllum candidissimum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B05,B,5,NA
SPC10058,B06_01,20220207,Calycophyllum candidissimum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B06,B,6,NA
SPC10059,B06_02,20220207,Calycophyllum candidissimum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B06,B,6,NA
SPC10060,B06_03,20220207,Calycophyllum candidissimum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B06,B,6,NA
SPC10061,B06_04,20220207,Cecropia peltata,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B06,B,6,NA
SPC10062,B06_05,20220207,Cecropia peltata,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B06,B,6,NA
SPC10063,B06_06,20220207,Ficus insipida,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B06,B,6,NA
SPC10064,B06_07,20220207,Ficus insipida,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B06,B,6,NA
SPC10065,B07_01,20220207,Castilla elastica,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B07,B,7,NA
SPC10066,B07_02,20220207,Castilla elastica,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B07,B,7,NA
