SampleID,date,genus_species,site,fresh_mass,dry_mass,leaf_area,LMA,isotope_mass,15N,13C,N_pc,C_pc,CN_ratio,spectra_name,vertical_position,vertical_profile,vertical_level,Tleaf_spec
BNL20314,20220210,Chrysophyllum cainito,PA-PNM,0.191,0.071,8.1713,86.88947903,0.853,2,-34.2,1.9,47.8,25.6,BNL20314,C09,C,9,25.3
BNL20315,20220210,Chrysophyllum cainito,PA-PNM,0.159,0.0468,8.1713,57.27362843,0.759,1.7,-33.4,1.7,46.8,27.4,BNL20315,C09,C,9,26.2
BNL20316,20220210,Piper reticulatum,PA-PNM,0.119,0.0499,8.1713,61.06739442,0.732,2,-32.4,2.3,39.9,17.1,BNL20316,C10,C,10,27.2
BNL20317,20220211,Anacardium excelsum,PA-PNM,0.261,0.0883,8.1713,108.0611408,0.833,1.8,-26.3,1.7,50.2,30.4,BNL20317,D01,D,1,30.1
BNL20318,20220211,Anacardium excelsum,PA-PNM,0.212,0.0779,8.1713,95.33366784,0.769,2.5,-28.3,1.7,50.1,29.5,BNL20318,D02,D,2,29.4
BNL20319,20220211,Anacardium excelsum,PA-PNM,0.214,0.0725,8.1713,88.72517225,0.71,1.6,-28,1.9,51.4,26.9,BNL20319,D03,D,3,30
BNL20320,20220211,Castilla elastica,PA-PNM,0.158,0.0723,8.1713,88.48041315,0.833,0.9,-30.8,2.7,46.3,17.5,BNL20320,D04,D,4,29.3
BNL20321,20220211,Chrysophyllum cainito,PA-PNM,0.226,0.0996,8.1713,121.8900297,0.771,2.2,-29.9,2.5,50.4,19.9,BNL20321,D05,D,5,27.6
BNL20322,20220211,Lacistema aggregatum,PA-PNM,0.189,0.0467,8.1713,57.15124888,0.86,3,-33.1,2.3,49.5,22,BNL20322,D07,D,7,29
BNL20323,20220211,Lacistema aggregatum,PA-PNM,0.189,0.0377,8.1713,46.13708957,0.746,1.8,-32,2.4,48.5,20,BNL20323,D08,D,8,30
BNL20324,20220211,Cassipourea elliptica,PA-PNM,0.186,0.0701,8.1713,85.7880631,0.835,1.7,-33.8,2.6,49.1,18.9,BNL20324,D09,D,9,30.3
BNL20325,20220211,Cassipourea elliptica,PA-PNM,0.194,0.0664,8.1713,81.26001983,0.736,2.2,-34,2.3,45.4,20.1,BNL20325,D10,D,10,30.4
BNL20326,20220214,Castilla elastica,PA-PNM,0.307,0.1217,11.43982,106.3827927,0.774,2,-28.6,2.2,47.5,22,BNL20326,F01,F,1,26.5
BNL20327,20220214,Castilla elastica,PA-PNM,0.088,0.0243,8.1713,29.73823015,0.71,0.6,-32,3.5,44.9,12.7,BNL20327,F09,F,9,29.7
BNL20328,20220214,Castilla elastica,PA-PNM,0.274,0.1045,11.43982,91.34759113,0.726,2.4,-29,2.3,47.8,20.9,BNL20328,F03,F,3,27.4
BNL20329,20220214,Pittoniotis trichantha,PA-PNM,0.208,0.0795,8.1713,97.2917406,0.727,4.1,-31.3,2.1,52.6,24.9,BNL20329,F05,F,5,27.3
BNL20330,20220214,Castilla elastica,PA-PNM,0.222,0.0817,9.80556,83.32007555,0.788,0.8,-30.8,1.6,47.2,29.2,BNL20330,F04,F,4,27.9
BNL20331,20220214,Castilla elastica,PA-PNM,0.269,0.1043,9.80556,106.3682237,0.812,1.7,-28.5,2.2,47.7,21.9,BNL20331,F02,F,2,27.6
BNL20332,20220214,Luehea seemannii,PA-PNM,0.099,0.0322,8.1713,39.40621443,0.702,2.1,-30.6,3,49.4,16.5,BNL20332,F06,F,6,28.8
BNL20333,20220214,Luehea seemannii,PA-PNM,0.087,0.0284,8.1713,34.75579161,0.752,2.4,-31.2,3,48.6,16.4,BNL20333,F07,F,7,29
BNL20334,20220214,Piper reticulatum,PA-PNM,0.2,0.0844,13.07408,64.55521153,0.715,0.7,-31.5,2.6,41.9,16.1,BNL20334,F08,F,8,26.8
BNL20335,20220214,Piper reticulatum,PA-PNM,0.154,0.0469,10.62269,44.15077537,0.809,-0.8,-32.7,2.6,45.4,17.7,BNL20335,F10,F,10,28.8
BNL20340,20220215,Luehea seemannii,PA-PNM,0.245,0.1162,8.98843,129.2773043,0.746,0.3,-30.8,1.9,50.4,26.8,BNL20340,G01,G,1,27.1
BNL20341,20220215,Luehea seemannii,PA-PNM,0.274,0.1335,9.80556,136.1472471,0.773,0.3,-29.5,2.2,49.4,22.5,BNL20341,G02,G,2,27.5
BNL20342,20220215,Luehea seemannii,PA-PNM,0.211,0.0945,8.98843,105.1351571,0.75,2.8,-31,2.1,48.3,23.3,BNL20342,G03,G,3,27.8
BNL20344,20220215,Luehea seemannii,PA-PNM,0.171,0.0728,8.98843,80.9930099,0.74,1.6,-31.7,2.3,49.5,21.8,BNL20344,G05,G,5,30.5
BNL20345,20220215,Luehea seemannii,PA-PNM,0.16,0.0782,9.80556,79.75067207,0.72,1.4,-32.7,1.9,49.3,25.4,BNL20345,G06,G,6,30.5
BNL20346,20220215,Luehea seemannii,PA-PNM,0.146,0.0623,9.80556,63.53538197,0.745,1.6,-33.6,2.3,50.1,22.2,BNL20346,G07,G,7,28.9
BNL20347,20220215,Lacistema aggregatum,PA-PNM,0.2,0.0557,9.80556,56.80450683,0.835,1.6,-34.3,2.1,47.1,22.3,BNL20347,G08,G,8,31
